playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792,26,AM,Switzerland,4000000,14700000,Stoke City,/stoke-city/startseite/verein/512,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-10700000,31.0,1.69,left,ENG-Premier League,Stoke City,Xherdan Shaqiri,SUI,"MF,FW",25.0,1991.0,36,36,3039,33.8,8,7,15,8,0,1,5,0,5.0,4.2,7.1,11.3,81.0,161.0,183.0,0.24,0.21,0.44,0.24,0.44,0.15,0.21,0.36,0.12,0.33,2018
Ragnar Klavan,/ragnar-klavan/profil/spieler/26669,32,CB,Estonia,100000,1520000,Liverpool FC,/fc-liverpool/startseite/verein/31,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-1420000,37.0,1.87,left,ENG-Premier League,Liverpool,Ragnar Klavan,EST,DF,31.0,1985.0,19,16,1451,16.1,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.0,15.0,73.0,5.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,2018
Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279,23,GK,Spain,18000000,80000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-62000000,28.0,1.86,right,ESP-La Liga,Athletic Club,Kepa Arrizabalaga,ESP,GK,22.0,1994.0,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2018
Christian Pulisic,/christian-pulisic/profil/spieler/315779,20,LW,United States,25000000,64000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-39000000,24.0,1.77,right,GER-Bundesliga,Dortmund,Christian Pulisic,USA,"FW,DF",18.0,1998.0,32,27,2302,25.6,4,5,9,4,0,0,1,0,5.2,5.2,4.9,10.1,152.0,64.0,257.0,0.16,0.2,0.35,0.16,0.35,0.2,0.19,0.4,0.2,0.4,2018
Jorginho,/jorginho/profil/spieler/102017,26,DM,Italy,25000000,57000000,SSC Napoli,/ssc-neapel/startseite/verein/6195,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-32000000,31.0,1.78,right,ITA-Serie A,Napoli,Jorginho,ITA,MF,25.0,1991.0,33,33,2650,29.4,2,3,5,1,1,2,5,0,2.1,0.4,4.1,4.6,36.0,398.0,32.0,0.07,0.1,0.17,0.03,0.14,0.07,0.14,0.21,0.01,0.16,2018
Thibaut Courtois,/thibaut-courtois/profil/spieler/108390,26,GK,Belgium,45000000,35000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Real Madrid,/real-madrid/startseite/verein/418,out,2018,10000000,31.0,2.0,left,ENG-Premier League,Chelsea,Thibaut Courtois,BEL,GK,25.0,1992.0,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806,31,CM,Spain,0,9000000,Chelsea FC,/fc-chelsea/startseite/verein/631,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-9000000,36.0,1.79,right,ENG-Premier League,Chelsea,Cesc Fàbregas,ESP,MF,30.0,1987.0,32,25,2307,25.6,2,4,6,2,0,0,5,2,2.4,2.4,6.8,9.2,55.0,348.0,135.0,0.08,0.16,0.23,0.08,0.23,0.09,0.26,0.36,0.09,0.36,2018
Lucas Torreira,/lucas-torreira/profil/spieler/318077,22,DM,Uruguay,15000000,28650000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-13650000,27.0,1.66,right,ITA-Serie A,Sampdoria,Lucas Torreira,URU,MF,21.0,1996.0,36,36,3180,35.3,4,1,5,4,0,0,6,0,1.4,1.4,2.8,4.2,24.0,213.0,43.0,0.11,0.03,0.14,0.11,0.14,0.04,0.08,0.12,0.04,0.12,2018
Bernd Leno,/bernd-leno/profil/spieler/72476,26,GK,Germany,12000000,25000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-13000000,31.0,1.9,right,GER-Bundesliga,Leverkusen,Bernd Leno,GER,GK,25.0,1992.0,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322,30,CB,Greece,1000000,16000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-15000000,35.0,1.86,right,GER-Bundesliga,Dortmund,Sokratis Papastathopoulos,GRE,DF,29.0,1988.0,30,28,2373,26.4,2,0,2,2,0,0,5,1,1.0,1.0,0.2,1.2,27.0,115.0,10.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,2018
