playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Sylvain Wiltord,/sylvain-wiltord/profil/spieler/3188,26,SS,France,0,17500000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2000,-17500000
Johan Micoud,/johan-micoud/profil/spieler/2713,26,AM,France,0,7600000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,AC Parma,/parma-calcio-1913/startseite/verein/130,out,2000,-7600000
Michel Pavon,/michel-pavon/profil/spieler/156992,31,CM,France,0,342000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,out,2000,-342000
Demetrius Ferreira,/demetrius-ferreira/profil/spieler/5579,26,RB,Brazil,0,1500000,AS Nancy-Lorraine,/as-nancy-lorraine/startseite/verein/1159,SC Bastia,/sc-bastia/startseite/verein/595,in,2000,-1500000
Nicolas Anelka,/nicolas-anelka/profil/spieler/3226,21,CF,France,0,34500000,Real Madrid,/real-madrid/startseite/verein/418,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2000,-34500000
Frédéric Déhu,/frederic-dehu/profil/spieler/5552,27,CB,France,0,6000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2000,-6000000
Didier Domi,/didier-domi/profil/spieler/3965,22,LB,France,0,5340000,Newcastle United,/newcastle-united/startseite/verein/762,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2000,-5340000
Mauricio Pochettino,/mauricio-pochettino/profil/spieler/4767,28,CB,Argentina,0,3000000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2000,-3000000
Bernard Mendy,/bernard-mendy/profil/spieler/3707,18,RB,France,0,2700000,SM Caen,/sm-caen/startseite/verein/1162,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2000,-2700000
Mehdi Nafti,/mehdi-nafti/profil/spieler/7862,21,DM,Tunisia,0,750000,FC Toulouse,/fc-toulouse/startseite/verein/415,Racing Santander,/racing-santander/startseite/verein/630,out,2000,-750000
Iain Anderson,/iain-anderson/profil/spieler/22591,22,RW,Scotland,0,750000,FC Toulouse,/fc-toulouse/startseite/verein/415,Preston North End,/preston-north-end/startseite/verein/466,out,2000,-750000
Louis Saha,/louis-saha/profil/spieler/4015,21,CF,France,0,3150000,FC Metz,/fc-metz/startseite/verein/347,Fulham FC,/fc-fulham/startseite/verein/931,out,2000,-3150000
Sébastien Schemmel,/sebastien-schemmel/profil/spieler/3798,25,RB,France,0,700000,FC Metz,/fc-metz/startseite/verein/347,West Ham United,/west-ham-united/startseite/verein/379,out,2000,-700000
Pierre Deblock,/pierre-deblock/profil/spieler/5427,27,RM,France,0,2800000,CS Sedan-Ardennes,/cs-sedan-ardennes/startseite/verein/1081,AJ Auxerre,/aj-auxerre/startseite/verein/290,in,2000,-2800000
Bernard Diomède,/bernard-diomede/profil/spieler/3920,26,LW,France,0,4500000,AJ Auxerre,/aj-auxerre/startseite/verein/290,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2000,-4500000
Tomasz Klos,/tomasz-klos/profil/spieler/705,27,CB,Poland,0,1100000,AJ Auxerre,/aj-auxerre/startseite/verein/290,1.FC Kaiserslautern,/1-fc-kaiserslautern/startseite/verein/2,out,2000,-1100000
Anthony Basso,/anthony-basso/profil/spieler/26749,20,GK,France,0,500000,AJ Auxerre,/aj-auxerre/startseite/verein/290,Udinese Calcio,/udinese-calcio/startseite/verein/410,out,2000,-500000
Lucas,/lucas/profil/spieler/8517,21,CF,Brazil,0,21300000,Atlético Paranaense,/club-athletico-paranaense/startseite/verein/679,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-21300000
Luís Fabiano,/luis-fabiano/profil/spieler/19082,19,CF,Brazil,0,7000000,Associação Atlética Ponte Preta,/aa-ponte-preta/startseite/verein/1134,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-7000000
Philippe Delaye,/philippe-delaye/profil/spieler/3908,25,Midfield,France,0,6500000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-6500000
Olivier Echouafni,/olivier-echouafni/profil/spieler/5673,27,DM,France,0,1200000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-1200000
Grégory Paisley,/gregory-paisley/profil/spieler/6246,23,LB,France,0,585000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-585000
Nadir Benchenaa,/nadir-benchenaa/profil/spieler/23993,16,Midfield,Sweden,0,305000,UnknownUnknown,/unbekannt/startseite/verein/75,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2000,-305000
Jovan Stankovic,/jovan-stankovic/profil/spieler/14213,29,LM,Serbia,0,6860000,RCD Mallorca,/rcd-mallorca/startseite/verein/237,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-6860000
Lucas Bernardi,/lucas-bernardi/profil/spieler/5294,23,CM,Argentina,0,6100000,CA Newell's Old Boys,/club-atletico-newells-old-boys/startseite/verein/1286,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-6100000
Fernandão,/fernandao/profil/spieler/5332,22,CF,Brazil,0,5000000,Goiás EC,/goias-ec/startseite/verein/3197,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-5000000
Bruno N'Gotty,/bruno-ngotty/profil/spieler/3964,29,CB,France,0,950000,AC Venezia 1907,/venezia-fc/startseite/verein/607,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-950000
Abdoulaye Méïté,/abdoulaye-meite/profil/spieler/5315,19,CB,Cote d'Ivoire,0,600000,AS Red Star 93,/red-star-fc/startseite/verein/1154,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-600000
Dill,/dill/profil/spieler/13809,26,RW,Brazil,0,300000,Goiás EC,/goias-ec/startseite/verein/3197,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2000,-300000
Stéphane Dalmat,/stephane-dalmat/profil/spieler/7259,21,CM,France,0,10750000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2000,-10750000
Robert Pirès,/robert-pires/profil/spieler/3185,26,LM,France,0,9800000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2000,-9800000
Shabani Nonda,/shabani-nonda/profil/spieler/3499,23,CF,DR Congo,0,20000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,AS Monaco,/as-monaco/startseite/verein/162,in,2000,-20000000
Stéphane Porato,/stephane-porato/profil/spieler/5280,26,GK,France,0,10500000,Olympique Marseille,/olympique-marseille/startseite/verein/244,AS Monaco,/as-monaco/startseite/verein/162,in,2000,-10500000
Hassan El Fakiri,/hassan-el-fakiri/profil/spieler/8884,23,LB,Norway,0,1100000,Lyn 1896 FK,/lyn-oslo/startseite/verein/175,AS Monaco,/as-monaco/startseite/verein/162,in,2000,-1100000
David Trézéguet,/david-trezeguet/profil/spieler/4146,22,CF,France,0,23240000,AS Monaco,/as-monaco/startseite/verein/162,Juventus FC,/juventus-turin/startseite/verein/506,out,2000,-23240000
Fabien Barthez,/fabien-barthez/profil/spieler/3289,29,GK,France,0,11700000,AS Monaco,/as-monaco/startseite/verein/162,Manchester United,/manchester-united/startseite/verein/985,out,2000,-11700000
Sabri Lamouchi,/sabri-lamouchi/profil/spieler/5872,28,CM,France,0,7850000,AS Monaco,/as-monaco/startseite/verein/162,AC Parma,/parma-calcio-1913/startseite/verein/130,out,2000,-7850000
Willy Sagnol,/willy-sagnol/profil/spieler/213,23,RB,France,0,7700000,AS Monaco,/as-monaco/startseite/verein/162,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2000,-7700000
Péguy Luyindula,/peguy-luyindula/profil/spieler/3916,22,CF,France,0,8800000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2001,-8800000
Caçapa,/cacapa/profil/spieler/5340,25,CB,Brazil,0,6200000,Clube Atlético Mineiro,/clube-atletico-mineiro/startseite/verein/330,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2001,-6200000
Steve Marlet,/steve-marlet/profil/spieler/3240,27,CF,France,0,17600000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Fulham FC,/fc-fulham/startseite/verein/931,out,2001,-17600000
Steed Malbranque,/steed-malbranque/profil/spieler/3569,21,CM,France,0,6600000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Fulham FC,/fc-fulham/startseite/verein/931,out,2001,-6600000
