playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Lucas Moura,/lucas-moura/profil/spieler/77100,25,RW,Brazil,6000000,28400000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,in,2017,-22400000,30.0,1.72,right,ENG-Premier League,Tottenham,BRA,"FW,MF",24.0,1992.0,2.3,88.0,114.0,77.2,1247.0,262.0,56.0,67.0,83.6,30.0,39.0,76.9,1.0,2.0,50.0,1,0.3,0.5,0.7,6.0,3.0,2.0,0.0,12.0,2018
Lucas Moura,/lucas-moura/profil/spieler/77100,25,RW,Brazil,6000000,28400000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,in,2017,-22400000,30.0,1.72,right,FRA-Ligue 1,Paris S-G,BRA,FW,24.0,1992.0,0.8,42.0,50.0,84.0,602.0,131.0,20.0,22.0,90.9,16.0,16.0,100.0,2.0,5.0,40.0,1,0.7,0.5,0.3,1.0,1.0,1.0,0.0,6.0,2018
Serge Aurier,/serge-aurier/profil/spieler/127032,24,RB,Cote d'Ivoire,8000000,25000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,in,2017,-17000000,30.0,1.76,right,ENG-Premier League,Tottenham,CIV,DF,24.0,1992.0,15.9,779.0,1035.0,75.3,12584.0,4253.0,398.0,474.0,84.0,322.0,419.0,76.8,49.0,98.0,50.0,2,2.6,1.3,-0.6,14.0,37.0,25.0,6.0,67.0,2018
Nabil Bentaleb,/nabil-bentaleb/profil/spieler/245537,22,CM,Algeria,7000000,19000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,FC Schalke 04,/fc-schalke-04/startseite/verein/33,out,2017,-12000000,28.0,1.87,left,GER-Bundesliga,Schalke 04,ALG,MF,22.0,1994.0,11.2,432.0,533.0,81.1,8065.0,1655.0,172.0,196.0,87.8,207.0,240.0,86.3,46.0,81.0,56.8,3,0.6,0.5,2.4,9.0,32.0,3.0,1.0,43.0,2018
Clinton N'Jie,/clinton-njie/profil/spieler/241119,23,RW,Cameroon,1200000,7000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Olympique Marseille,/olympique-marseille/startseite/verein/244,out,2017,-5800000,29.0,1.75,right,FRA-Ligue 1,Marseille,CMR,FW,23.0,1993.0,9.7,173.0,217.0,79.7,2022.0,507.0,97.0,114.0,85.1,32.0,42.0,76.2,11.0,15.0,73.3,3,3.1,1.8,-0.1,16.0,10.0,7.0,4.0,17.0,2018
Federico Fazio,/federico-fazio/profil/spieler/45314,30,CB,Argentina,400000,3200000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,AS Roma,/as-rom/startseite/verein/12,out,2017,-2800000,36.0,1.95,right,ITA-Serie A,Roma,ARG,DF,30.0,1987.0,32.5,1680.0,1996.0,84.2,32616.0,11476.0,575.0,637.0,90.3,875.0,991.0,88.3,203.0,316.0,64.2,1,0.1,0.5,0.9,2.0,121.0,5.0,2.0,165.0,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,in,2017,-40000000,29.0,1.89,left,ENG-Premier League,Manchester City,ESP,DF,23.0,1994.0,9.0,762.0,826.0,92.3,13329.0,4972.0,337.0,354.0,95.2,346.0,366.0,94.5,61.0,81.0,75.3,0,0.1,0.3,-0.1,2.0,54.0,3.0,1.0,72.0,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,in,2017,-40000000,29.0,1.89,left,ESP-La Liga,Athletic Club,ESP,DF,23.0,1994.0,19.0,822.0,990.0,83.0,19242.0,6784.0,220.0,246.0,89.4,404.0,451.0,89.6,195.0,275.0,70.9,1,0.9,0.9,0.1,8.0,67.0,10.0,3.0,74.0,2018
Benjamin Mendy,/benjamin-mendy/profil/spieler/157495,23,LB,France,0,57500000,AS Monaco,/as-monaco/startseite/verein/162,Manchester City,/manchester-city/startseite/verein/281,in,2017,-57500000,28.0,1.85,left,ENG-Premier League,Manchester City,FRA,"DF,FW",23.0,1994.0,4.0,209.0,272.0,76.8,3437.0,932.0,110.0,126.0,87.3,76.0,100.0,76.0,18.0,27.0,66.7,1,0.8,0.6,0.2,9.0,20.0,11.0,5.0,27.0,2018
Kyle Walker,/kyle-walker/profil/spieler/95424,27,RB,England,13000000,52700000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Manchester City,/manchester-city/startseite/verein/281,in,2017,-39700000,33.0,1.83,right,ENG-Premier League,Manchester City,ENG,DF,27.0,1990.0,30.9,2307.0,2682.0,86.0,37708.0,9574.0,1149.0,1250.0,91.9,932.0,1046.0,89.1,167.0,273.0,61.2,6,4.6,5.1,1.4,29.0,221.0,32.0,4.0,221.0,2018
