playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Jonas Lössl,/jonas-lossl/profil/spieler/48870,29,GK,Denmark,500000,2500000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,Huddersfield Town,/huddersfield-town/startseite/verein/1110,in,2018,-2000000,34.0,1.95,right,ENG-Premier League,Huddersfield,DEN,GK,29,1989,31,30,2777.0,30.9,54.0,1.75,141.0,86.0,64.5,3.0,5.0,22.0,5.0,16.7,5.0,4.0,1.0,0.0,20.0,2019
Angus Gunn,/angus-gunn/profil/spieler/201574,22,GK,Scotland,2500000,11300000,Manchester City,/manchester-city/startseite/verein/281,Southampton FC,/fc-southampton/startseite/verein/180,in,2018,-8800000,27.0,1.96,right,ENG-Premier League,Southampton,SCO,GK,22,1996,12,12,1080.0,12.0,18.0,1.5,50.0,31.0,64.0,4.0,4.0,4.0,3.0,25.0,1.0,0.0,1.0,0.0,100.0,2019
Rui Patrício,/rui-patricio/profil/spieler/45026,30,GK,Portugal,5000000,18000000,Sporting CP,/sporting-lissabon/startseite/verein/336,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,in,2018,-13000000,35.0,1.9,left,ENG-Premier League,Wolves,POR,GK,30,1988,37,37,3330.0,37.0,46.0,1.24,138.0,96.0,68.8,15.0,9.0,13.0,7.0,18.9,4.0,3.0,0.0,1.0,0.0,2019
David Button,/david-button/profil/spieler/61814,29,GK,England,250000,4500000,Fulham FC,/fc-fulham/startseite/verein/931,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,-4250000,34.0,1.91,right,ENG-Premier League,Brighton,ENG,GK,29,1989,4,4,360.0,4.0,5.0,1.25,18.0,13.0,83.3,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,2019
Zack Steffen,/zack-steffen/profil/spieler/221624,24,GK,United States,3500000,6820000,Columbus Crew SC,/columbus-crew-sc/startseite/verein/813,Manchester City,/manchester-city/startseite/verein/281,in,2019,-3320000,28.0,1.91,right,GER-Bundesliga,Düsseldorf,USA,GK,24,1995,17,17,1530.0,17.0,36.0,2.12,99.0,63.0,64.6,4.0,3.0,10.0,2.0,11.8,2.0,1.0,1.0,0.0,50.0,2020
David Ospina,/david-ospina/profil/spieler/73396,30,GK,Colombia,3000000,3500000,Arsenal FC,/fc-arsenal/startseite/verein/11,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2019,-500000,34.0,1.83,right,ITA-Serie A,Napoli,COL,GK,30,1988,17,17,1469.0,16.3,17.0,1.04,54.0,37.0,72.2,9.0,3.0,5.0,4.0,23.5,2.0,2.0,0.0,0.0,0.0,2020
Darren Randolph,/darren-randolph/profil/spieler/51321,32,GK,Ireland,400000,4700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,West Ham United,/west-ham-united/startseite/verein/379,in,2019,-4300000,36.0,1.87,right,ENG-Premier League,West Ham,IRL,GK,32,1987,2,2,180.0,2.0,5.0,2.5,11.0,6.0,63.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2020
Tom Heaton,/tom-heaton/profil/spieler/34130,33,GK,England,500000,8800000,Burnley FC,/fc-burnley/startseite/verein/1132,Aston Villa,/aston-villa/startseite/verein/405,in,2019,-8300000,37.0,1.88,right,ENG-Premier League,Aston Villa,ENG,GK,33,1986,20,20,1794.0,19.9,35.0,1.76,102.0,68.0,68.6,6.0,3.0,11.0,4.0,20.0,3.0,3.0,0.0,0.0,0.0,2020
Rúnar Alex Rúnarsson,/runar-alex-runarsson/profil/spieler/205657,25,GK,Iceland,1500000,2000000,Dijon FCO,/dijon-fco/startseite/verein/2969,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2020,-500000,28.0,1.86,right,ENG-Premier League,Arsenal,ISL,GK,25,1995,1,0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2021
Emiliano Martínez,/emiliano-martinez/profil/spieler/111873,28,GK,Argentina,28000000,17400000,Arsenal FC,/fc-arsenal/startseite/verein/11,Aston Villa,/aston-villa/startseite/verein/405,in,2020,10600000,30.0,1.95,right,ENG-Premier League,Aston Villa,ARG,GK,27,1992,38,38,3420.0,38.0,46.0,1.21,186.0,133.0,78.0,16.0,7.0,15.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,2021
Edouard Mendy,/edouard-mendy/profil/spieler/442531,28,GK,Senegal,12000000,24000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2020,-12000000,31.0,1.94,right,ENG-Premier League,Chelsea,SEN,GK,28,1992,31,31,2745.0,30.5,25.0,0.82,81.0,56.0,71.6,17.0,7.0,7.0,16.0,51.6,3.0,2.0,1.0,0.0,33.3,2021
Edouard Mendy,/edouard-mendy/profil/spieler/442531,28,GK,Senegal,12000000,24000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2020,-12000000,31.0,1.94,right,FRA-Ligue 1,Rennes,SEN,GK,28,1992,1,1,90.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Jack Butland,/jack-butland/profil/spieler/128899,27,GK,England,1500000,1100000,Stoke City,/stoke-city/startseite/verein/512,Crystal Palace,/crystal-palace/startseite/verein/873,in,2020,400000,30.0,1.96,right,ENG-Premier League,Crystal Palace,ENG,GK,27,1993,1,1,90.0,1.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Illan Meslier,/illan-meslier/profil/spieler/542586,20,GK,France,20000000,6500000,FC Lorient,/fc-lorient/startseite/verein/1158,Leeds United,/leeds-united/startseite/verein/399,in,2020,13500000,23.0,1.97,left,ENG-Premier League,Leeds United,FRA,GK,20,2000,35,35,3150.0,35.0,52.0,1.49,188.0,137.0,76.6,16.0,5.0,14.0,11.0,31.4,9.0,8.0,1.0,0.0,11.1,2021
Aaron Ramsdale,/aaron-ramsdale/profil/spieler/427568,22,GK,England,40000000,20500000,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,Sheffield United,/sheffield-united/startseite/verein/350,in,2020,19500000,25.0,1.9,right,ENG-Premier League,Sheffield Utd,ENG,GK,22,1998,38,38,3420.0,38.0,63.0,1.66,206.0,145.0,70.9,7.0,2.0,29.0,5.0,13.2,4.0,3.0,0.0,1.0,0.0,2021
David Button,/david-button/profil/spieler/61814,31,GK,England,250000,1100000,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,in,2020,-850000,34.0,1.91,right,ENG-Premier League,West Brom,ENG,GK,31,1989,1,1,90.0,1.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Aaron Ramsdale,/aaron-ramsdale/profil/spieler/427568,23,GK,England,40000000,28000000,Sheffield United,/sheffield-united/startseite/verein/350,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2021,12000000,25.0,1.9,right,ENG-Premier League,Arsenal,ENG,GK,23,1998,34,34,3060.0,34.0,39.0,1.15,128.0,90.0,73.4,21.0,3.0,10.0,12.0,35.3,6.0,5.0,0.0,1.0,0.0,2022
Kristoffer Klaesson,/kristoffer-klaesson/profil/spieler/418561,20,GK,Norway,1800000,2400000,Vålerenga Fotball,/valerenga-fotball/startseite/verein/76,Leeds United,/leeds-united/startseite/verein/399,in,2021,-600000,22.0,1.89,left,ENG-Premier League,Leeds United,NOR,GK,20,2000,1,0,36.0,0.4,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2022
Angus Gunn,/angus-gunn/profil/spieler/201574,25,GK,Scotland,2500000,5850000,Southampton FC,/fc-southampton/startseite/verein/180,Norwich City,/norwich-city/startseite/verein/1123,out,2021,-3350000,27.0,1.96,right,ENG-Premier League,Norwich City,SCO,GK,25,1996,9,9,810.0,9.0,22.0,2.44,57.0,34.0,64.9,1.0,2.0,6.0,1.0,11.1,4.0,2.0,1.0,1.0,33.3,2022
José Sá,/jose-sa/profil/spieler/249994,28,GK,Portugal,18000000,8000000,Olympiacos Piraeus,/olympiakos-piraus/startseite/verein/683,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,in,2021,10000000,30.0,1.92,right,ENG-Premier League,Wolves,POR,GK,28,1993,37,37,3285.0,36.5,40.0,1.1,160.0,121.0,80.6,15.0,5.0,17.0,11.0,29.7,10.0,9.0,0.0,1.0,0.0,2022
Rui Patrício,/rui-patricio/profil/spieler/45026,33,GK,Portugal,5000000,11800000,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,AS Roma,/as-rom/startseite/verein/12,out,2021,-6800000,35.0,1.9,left,ITA-Serie A,Roma,POR,GK,33,1988,38,38,3420.0,38.0,43.0,1.13,146.0,104.0,74.0,18.0,9.0,11.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,2022
Robin Olsen,/robin-olsen/profil/spieler/75458,32,GK,Sweden,1500000,3500000,AS Roma,/as-rom/startseite/verein/12,Aston Villa,/aston-villa/startseite/verein/405,in,2022,-2000000,33.0,1.96,right,ENG-Premier League,Aston Villa,SWE,GK,32,1990,4,2,281.0,3.1,8.0,2.56,19.0,11.0,63.2,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,2023
Bernd Leno,/bernd-leno/profil/spieler/72476,30,GK,Germany,12000000,3600000,Arsenal FC,/fc-arsenal/startseite/verein/11,Fulham FC,/fc-fulham/startseite/verein/931,in,2022,8400000,31.0,1.9,right,ENG-Premier League,Fulham,GER,GK,30,1992,36,36,3240.0,36.0,51.0,1.42,192.0,142.0,77.1,15.0,5.0,16.0,8.0,22.2,8.0,7.0,1.0,0.0,12.5,2023
Kasper Schmeichel,/kasper-schmeichel/profil/spieler/16911,35,GK,Denmark,2000000,1000000,Leicester City,/leicester-city/startseite/verein/1003,OGC Nice,/ogc-nizza/startseite/verein/417,out,2022,1000000,36.0,1.89,right,FRA-Ligue 1,Nice,DEN,GK,35,1986,36,36,3240.0,36.0,35.0,0.97,141.0,105.0,77.3,15.0,12.0,9.0,11.0,30.6,5.0,3.0,1.0,1.0,25.0,2023
Nick Pope,/nick-pope/profil/spieler/192080,30,GK,England,20000000,11500000,Burnley FC,/fc-burnley/startseite/verein/1132,Newcastle United,/newcastle-united/startseite/verein/762,in,2022,8500000,31.0,1.98,right,ENG-Premier League,Newcastle Utd,ENG,GK,30,1992,37,37,3261.0,36.2,32.0,0.88,118.0,85.0,74.6,19.0,13.0,5.0,14.0,37.8,5.0,2.0,2.0,1.0,50.0,2023
Brice Samba,/brice-samba/profil/spieler/191056,28,GK,France,13000000,5000000,Nottingham Forest,/nottingham-forest/startseite/verein/703,RC Lens,/rc-lens/startseite/verein/826,out,2022,8000000,29.0,1.87,left,FRA-Ligue 1,Lens,FRA,GK,28,1994,37,37,3330.0,37.0,28.0,0.76,125.0,98.0,80.0,24.0,9.0,4.0,15.0,40.5,3.0,3.0,0.0,0.0,0.0,2023
Gavin Bazunu,/gavin-bazunu/profil/spieler/585550,20,GK,Ireland,15000000,14000000,Manchester City U21,/manchester-city-u23/startseite/verein/9265,Southampton FC,/fc-southampton/startseite/verein/180,in,2022,1000000,21.0,1.88,right,ENG-Premier League,Southampton,IRL,GK,20,2002,32,32,2880.0,32.0,56.0,1.75,120.0,67.0,54.2,6.0,6.0,20.0,4.0,12.5,2.0,1.0,1.0,0.0,50.0,2023
Alphonse Areola,/alphonse-areola/profil/spieler/120629,29,GK,France,8000000,9300000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,West Ham United,/west-ham-united/startseite/verein/379,in,2022,-1300000,30.0,1.95,right,ENG-Premier League,West Ham,FRA,GK,29,1993,5,2,309.0,3.4,7.0,2.04,16.0,9.0,68.8,0.0,1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,2023
Daniel Bentley,/daniel-bentley/profil/spieler/136401,29,GK,England,2000000,57000,Bristol City,/bristol-city/startseite/verein/698,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,in,2022,1943000,29.0,1.93,,ENG-Premier League,Wolves,ENG,GK,29,1993,2,2,180.0,2.0,3.0,1.5,13.0,10.0,76.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2023
