playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Anastasios Donis,/anastasios-donis/profil/spieler/243606,20,RW,Greece,750000,4000000,Juventus FC,/juventus-turin/startseite/verein/506,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-3250000,26.0,1.78,right,GER-Bundesliga,Stuttgart,GRE,"MF,FW",20.0,1996.0,10.5,369.0,7.0,42.0,141.0,208.0,36.0,369.0,80.0,41.0,51.3,39.0,48.8,243.0,2565.0,1550.0,60.0,37.0,19.0,15.0,8.0,254.0,50.0,2018
Ron-Robert Zieler,/ron-robert-zieler/profil/spieler/21327,28,GK,Germany,700000,4000000,Leicester City,/leicester-city/startseite/verein/1003,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-3300000,34.0,1.88,right,GER-Bundesliga,Stuttgart,GER,GK,28.0,1989.0,34.0,1431.0,1102.0,1423.0,9.0,0.0,0.0,1431.0,1.0,1.0,100.0,0.0,0.0,700.0,3879.0,2371.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,2018
Mario Gómez,/mario-gomez/profil/spieler/6288,32,CF,Germany,0,3000000,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-3000000,37.0,1.89,right,GER-Bundesliga,Stuttgart,GER,FW,32.0,1985.0,15.4,500.0,17.0,31.0,232.0,242.0,68.0,500.0,20.0,8.0,40.0,12.0,60.0,273.0,1281.0,544.0,19.0,15.0,15.0,37.0,22.0,390.0,85.0,2018
Mario Gómez,/mario-gomez/profil/spieler/6288,32,CF,Germany,0,3000000,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-3000000,37.0,1.89,right,GER-Bundesliga,Wolfsburg,GER,FW,32.0,1985.0,10.4,305.0,16.0,31.0,149.0,130.0,48.0,303.0,7.0,4.0,57.1,3.0,42.9,137.0,664.0,164.0,6.0,3.0,4.0,19.0,15.0,211.0,56.0,2018
Andreas Beck,/andreas-beck/profil/spieler/31182,30,RB,Germany,0,2500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,-2500000,36.0,1.8,right,GER-Bundesliga,Stuttgart,GER,DF,30.0,1987.0,21.4,1362.0,34.0,319.0,682.0,368.0,18.0,1362.0,13.0,2.0,15.4,11.0,84.6,615.0,2361.0,964.0,27.0,21.0,7.0,25.0,14.0,813.0,76.0,2018
Orel Mangala,/orel-mangala/profil/spieler/289592,19,CM,Belgium,16000000,1800000,RSC Anderlecht U21,/rsc-anderlecht-u21/startseite/verein/30857,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,14200000,25.0,1.78,right,GER-Bundesliga,Stuttgart,BEL,MF,19.0,1998.0,8.7,459.0,18.0,66.0,330.0,68.0,2.0,459.0,26.0,14.0,53.8,12.0,46.2,207.0,811.0,387.0,6.0,6.0,0.0,10.0,8.0,295.0,6.0,2018
Erik Thommy,/erik-thommy/profil/spieler/156779,23,AM,Germany,1800000,500000,FC Augsburg,/fc-augsburg/startseite/verein/167,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,1300000,28.0,1.75,right,GER-Bundesliga,Augsburg,GER,FW,22.0,1994.0,1.9,96.0,0.0,8.0,34.0,56.0,8.0,96.0,3.0,0.0,0.0,3.0,100.0,51.0,283.0,108.0,3.0,4.0,2.0,4.0,1.0,66.0,17.0,2018
Erik Thommy,/erik-thommy/profil/spieler/156779,23,AM,Germany,1800000,500000,FC Augsburg,/fc-augsburg/startseite/verein/167,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2017,1300000,28.0,1.75,right,GER-Bundesliga,Stuttgart,GER,MF,22.0,1994.0,10.9,473.0,9.0,62.0,183.0,239.0,16.0,473.0,22.0,7.0,31.8,15.0,68.2,246.0,1280.0,704.0,27.0,14.0,3.0,15.0,12.0,288.0,55.0,2018
Simon Terodde,/simon-terodde/profil/spieler/36284,29,CF,Germany,900000,3000000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2017,-2100000,35.0,1.92,right,GER-Bundesliga,Köln,GER,FW,29.0,1988.0,12.9,401.0,8.0,20.0,189.0,193.0,69.0,400.0,9.0,5.0,55.6,4.0,44.4,193.0,757.0,275.0,6.0,10.0,3.0,30.0,11.0,311.0,85.0,2018
Simon Terodde,/simon-terodde/profil/spieler/36284,29,CF,Germany,900000,3000000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2017,-2100000,35.0,1.92,right,GER-Bundesliga,Stuttgart,GER,FW,29.0,1988.0,10.6,327.0,12.0,17.0,153.0,159.0,44.0,326.0,6.0,1.0,16.7,5.0,83.3,148.0,563.0,211.0,9.0,6.0,6.0,23.0,15.0,244.0,59.0,2018
Alexandru Maxim,/alexandru-maxim/profil/spieler/129513,26,AM,Romania,2800000,3000000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,out,2017,-200000,32.0,1.77,right,GER-Bundesliga,Mainz 05,ROU,MF,27.0,1990.0,10.6,603.0,10.0,76.0,291.0,243.0,23.0,603.0,24.0,10.0,41.7,14.0,58.3,369.0,2400.0,1134.0,32.0,21.0,8.0,24.0,29.0,406.0,59.0,2018
Jonathas,/jonathas/profil/spieler/58345,28,CF,Brazil,300000,9000000,Rubin Kazan,/rubin-kazan/startseite/verein/2698,Hannover 96,/hannover-96/startseite/verein/42,in,2017,-8700000,34.0,1.92,right,GER-Bundesliga,Hannover 96,BRA,FW,28.0,1989.0,7.0,226.0,10.0,19.0,116.0,94.0,24.0,225.0,13.0,4.0,30.8,9.0,69.2,140.0,622.0,204.0,8.0,6.0,3.0,11.0,19.0,172.0,34.0,2018
