playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Noah Mbamba,/noah-mbamba/profil/spieler/743395,18,DM,Belgium,3000000,100000,Club Brugge KV,/fc-brugge/startseite/verein/2282,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,in,2022,2900000,18.0,1.87,right,GER-Bundesliga,Leverkusen,BEL,MF,17.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Joel Pohjanpalo,/joel-pohjanpalo/profil/spieler/173491,27,CF,Finland,3500000,2500000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Venezia FC,/venezia-fc/startseite/verein/607,out,2022,1000000,28.0,1.86,right,GER-Bundesliga,Leverkusen,FIN,"FW,MF",27.0,1994.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Timo Werner,/timo-werner/profil/spieler/170527,26,CF,Germany,25000000,20000000,Chelsea FC,/fc-chelsea/startseite/verein/631,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2022,5000000,27.0,1.8,right,GER-Bundesliga,RB Leipzig,GER,"FW,MF",26.0,1996.0,27,23,1937,21.5,9,3,12,9,0,0,2,0,9.1,9.1,3.1,12.2,65.0,51.0,209.0,0.42,0.14,0.56,0.42,0.56,0.42,0.15,0.57,0.42,0.57,2023
Tyler Adams,/tyler-adams/profil/spieler/332705,23,DM,United States,18000000,17000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Leeds United,/leeds-united/startseite/verein/399,out,2022,1000000,24.0,1.75,right,ENG-Premier League,Leeds United,USA,MF,23.0,1999.0,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19.0,136.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,2023
Nordi Mukiele,/nordi-mukiele/profil/spieler/348026,24,RB,France,18000000,12000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2022,6000000,25.0,1.87,right,FRA-Ligue 1,Paris S-G,FRA,DF,24.0,1997.0,19,12,1137,12.6,0,3,3,0,0,0,0,0,1.0,1.0,2.1,3.1,19.0,26.0,57.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,2023
Ademola Lookman,/ademola-lookman/profil/spieler/406040,24,SS,Nigeria,30000000,9200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2022,20800000,25.0,1.74,right,ITA-Serie A,Atalanta,NGA,"FW,MF",24.0,1997.0,31,20,1729,19.2,13,6,19,10,3,3,3,0,9.1,6.7,6.6,13.3,73.0,79.0,185.0,0.68,0.31,0.99,0.52,0.83,0.47,0.34,0.82,0.35,0.69,2023
Jamie Leweling,/jamie-leweling/profil/spieler/518505,21,SS,Germany,3000000,4000000,SpVgg Greuther Fürth,/spvgg-greuther-furth/startseite/verein/65,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,in,2022,-1000000,22.0,1.84,both,GER-Bundesliga,Union Berlin,GER,"FW,MF",21.0,2001.0,16,0,265,2.9,1,1,2,1,0,0,1,0,0.7,0.7,0.3,0.9,8.0,4.0,24.0,0.34,0.34,0.68,0.34,0.68,0.22,0.09,0.32,0.22,0.32,2023
Morten Thorsby,/morten-thorsby/profil/spieler/226524,26,CM,Norway,5500000,3000000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,in,2022,2500000,27.0,1.88,right,GER-Bundesliga,Union Berlin,NOR,MF,26.0,1996.0,24,8,833,9.3,1,1,2,1,0,0,3,0,0.8,0.8,0.5,1.3,0.0,15.0,21.0,0.11,0.11,0.22,0.11,0.22,0.09,0.05,0.14,0.09,0.14,2023
Aïssa Laïdouni,/aissa-laidouni/profil/spieler/233782,26,CM,Tunisia,7000000,2600000,Ferencvárosi TC,/ferencvaros-budapest/startseite/verein/279,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,in,2022,4400000,26.0,1.81,right,GER-Bundesliga,Union Berlin,TUN,MF,25.0,1996.0,14,11,871,9.7,2,0,2,2,0,0,4,0,0.8,0.8,0.9,1.7,10.0,40.0,25.0,0.21,0.0,0.21,0.21,0.21,0.09,0.09,0.18,0.09,0.18,2023
Taiwo Awoniyi,/taiwo-awoniyi/profil/spieler/295313,24,CF,Nigeria,25000000,20500000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,Nottingham Forest,/nottingham-forest/startseite/verein/703,out,2022,4500000,25.0,1.83,right,ENG-Premier League,Nott'ham Forest,NGA,FW,24.0,1997.0,27,17,1404,15.6,10,1,11,10,0,0,2,0,6.6,6.6,1.1,7.7,18.0,12.0,55.0,0.64,0.06,0.71,0.64,0.71,0.42,0.07,0.49,0.42,0.49,2023
Julian Ryerson,/julian-ryerson/profil/spieler/370789,25,RB,Norway,13000000,5000000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Dortmund,NOR,DF,24.0,1997.0,17,17,1410,15.7,1,1,2,1,0,0,2,0,0.5,0.5,1.5,2.0,54.0,55.0,69.0,0.06,0.06,0.13,0.06,0.13,0.03,0.1,0.13,0.03,0.13,2023
Julian Ryerson,/julian-ryerson/profil/spieler/370789,25,RB,Norway,13000000,5000000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Union Berlin,NOR,DF,24.0,1997.0,13,12,1037,11.5,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.2,20.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,2023
Ritsu Doan,/ritsu-doan/profil/spieler/358504,24,RW,Japan,18000000,8500000,PSV Eindhoven,/psv-eindhoven/startseite/verein/383,SC Freiburg,/sc-freiburg/startseite/verein/60,in,2022,9500000,25.0,1.72,left,GER-Bundesliga,Freiburg,JPN,"MF,FW",24.0,1998.0,33,30,2424,26.9,5,4,9,5,0,0,3,0,7.0,7.0,3.2,10.2,83.0,69.0,167.0,0.19,0.15,0.33,0.19,0.33,0.26,0.12,0.38,0.26,0.38,2023
Merlin Röhl,/merlin-rohl/profil/spieler/608832,20,CM,Germany,2000000,2900000,FC Ingolstadt 04,/fc-ingolstadt-04/startseite/verein/4795,SC Freiburg,/sc-freiburg/startseite/verein/60,in,2022,-900000,20.0,1.92,both,GER-Bundesliga,Freiburg,GER,"MF,FW",20.0,2002.0,3,0,57,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,1.0,4.0,0.0,1.58,1.58,0.0,1.58,0.0,0.73,0.73,0.0,0.73,2023
Nico Schlotterbeck,/nico-schlotterbeck/profil/spieler/388198,22,CB,Germany,40000000,20000000,SC Freiburg,/sc-freiburg/startseite/verein/60,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,20000000,23.0,1.91,left,GER-Bundesliga,Dortmund,GER,DF,22.0,1999.0,28,27,2252,25.0,4,5,9,4,0,0,3,0,1.6,1.6,1.7,3.3,39.0,159.0,14.0,0.16,0.2,0.36,0.16,0.36,0.06,0.07,0.13,0.06,0.13,2023
Steffen Tigges,/steffen-tigges/profil/spieler/296879,23,CF,Germany,3500000,1500000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,2000000,24.0,1.94,left,GER-Bundesliga,Köln,GER,FW,24.0,1998.0,30,17,1596,17.7,6,1,7,6,0,0,1,0,5.0,5.0,1.9,6.9,20.0,31.0,81.0,0.34,0.06,0.39,0.34,0.39,0.28,0.11,0.39,0.28,0.39,2023
Eric Martel,/eric-martel/profil/spieler/597000,20,DM,Germany,9000000,1200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,7800000,21.0,1.88,right,GER-Bundesliga,Köln,GER,MF,20.0,2002.0,29,23,2019,22.4,1,1,2,1,0,0,6,0,1.7,1.7,0.8,2.5,17.0,72.0,46.0,0.04,0.04,0.09,0.04,0.09,0.08,0.04,0.11,0.08,0.11,2023
Nikola Soldo,/nikola-soldo/profil/spieler/674921,21,CB,Croatia,1500000,500000,NK Lokomotiva Zagreb,/nk-lokomotiva-zagreb/startseite/verein/11194,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,1000000,22.0,1.89,right,GER-Bundesliga,Köln,CRO,DF,21.0,2001.0,7,6,593,6.6,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.7,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,2023
Denis Huseinbasic,/denis-huseinbasic/profil/spieler/678479,20,CM,Germany,5000000,50000,Kickers Offenbach,/kickers-offenbach/startseite/verein/107,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,4950000,21.0,1.84,right,GER-Bundesliga,Köln,GER,"MF,FW",21.0,2001.0,24,7,791,8.8,4,1,5,4,0,0,3,0,2.4,2.4,0.3,2.7,12.0,34.0,45.0,0.46,0.11,0.57,0.46,0.57,0.27,0.04,0.31,0.27,0.31,2023
Anthony Modeste,/anthony-modeste/profil/spieler/50512,34,CF,France,700000,5100000,1.FC Köln,/1-fc-koln/startseite/verein/3,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,-4400000,35.0,1.88,right,GER-Bundesliga,Dortmund,FRA,FW,34.0,1988.0,19,7,813,9.0,2,1,3,2,0,0,4,0,4.3,4.3,1.1,5.4,3.0,8.0,36.0,0.22,0.11,0.33,0.22,0.33,0.48,0.12,0.6,0.48,0.6,2023
Salih Özcan,/salih-ozcan/profil/spieler/244940,24,DM,Turkey,13000000,5000000,1.FC Köln,/1-fc-koln/startseite/verein/3,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Dortmund,TUR,MF,24.0,1998.0,26,17,1576,17.5,0,1,1,0,0,0,6,0,0.6,0.6,0.5,1.1,6.0,81.0,23.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.06,0.03,0.06,2023
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,27,RB,Netherlands,2500000,1500000,1.FC Köln,/1-fc-koln/startseite/verein/3,Udinese Calcio,/udinese-calcio/startseite/verein/410,out,2022,1000000,28.0,1.89,right,GER-Bundesliga,Köln,NED,DF,27.0,1995.0,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2023
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,27,RB,Netherlands,2500000,1500000,1.FC Köln,/1-fc-koln/startseite/verein/3,Udinese Calcio,/udinese-calcio/startseite/verein/410,out,2022,1000000,28.0,1.89,right,ITA-Serie A,Udinese,NED,DF,27.0,1995.0,27,16,1535,17.1,2,0,2,2,0,0,7,0,2.0,2.0,0.9,3.0,29.0,40.0,69.0,0.12,0.0,0.12,0.12,0.12,0.12,0.06,0.17,0.12,0.17,2023
