playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-2000000,40.0,1.98,right,GER-Bundesliga,Schalke 04,Naldo,BRA,DF,34.0,1982.0,34.0,30.0,0.88,24.0,0.0,0.0,5.0,1.0,0.0,4.0,0.12,2.0,0.0,0.0,2.0,0.0,0.0,2018
Coke,/coke/profil/spieler/71905,31,RB,Spain,400000,1500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Levante UD,/ud-levante/startseite/verein/3368,out,2018,-1100000,36.0,1.76,right,ESP-La Liga,Levante,Coke,ESP,DF,30.0,1987.0,15.4,25.0,1.63,20.0,0.0,2.0,1.0,1.0,1.0,4.0,0.26,3.0,0.0,0.0,1.0,0.0,0.0,2018
Coke,/coke/profil/spieler/71905,31,RB,Spain,400000,1500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Levante UD,/ud-levante/startseite/verein/3368,out,2018,-1100000,36.0,1.76,right,GER-Bundesliga,Schalke 04,Coke,ESP,MF,30.0,1987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Johannes Geis,/johannes-geis/profil/spieler/89650,25,DM,Germany,800000,500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2018,300000,29.0,1.81,right,ESP-La Liga,Sevilla,Johannes Geis,GER,"DF,MF",23.0,1993.0,7.5,16.0,2.13,12.0,3.0,0.0,1.0,0.0,0.0,2.0,0.27,1.0,1.0,0.0,0.0,0.0,0.0,2018
Leonardo Bittencourt,/leonardo-bittencourt/profil/spieler/93844,24,AM,Germany,2800000,6000000,1.FC Köln,/1-fc-koln/startseite/verein/3,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2018,-3200000,29.0,1.71,right,GER-Bundesliga,Köln,Leonardo Bittencourt,GER,"MF,FW",23.0,1993.0,17.9,59.0,3.29,49.0,3.0,4.0,0.0,2.0,1.0,5.0,0.28,4.0,1.0,0.0,0.0,0.0,0.0,2018
Ishak Belfodil,/ishak-belfodil/profil/spieler/111039,26,CF,Algeria,1700000,5500000,Standard Liège,/standard-luttich/startseite/verein/3057,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2018,-3800000,31.0,1.92,right,GER-Bundesliga,Werder Bremen,Ishak Belfodil,ALG,FW,25.0,1992.0,15.0,53.0,3.53,31.0,0.0,8.0,8.0,6.0,0.0,5.0,0.33,2.0,0.0,1.0,1.0,1.0,0.0,2018
Christian Pulisic,/christian-pulisic/profil/spieler/315779,20,LW,United States,25000000,64000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2018,-39000000,24.0,1.77,right,GER-Bundesliga,Dortmund,Christian Pulisic,USA,"FW,DF",18.0,1998.0,25.6,78.0,3.05,54.0,0.0,12.0,4.0,5.0,3.0,10.0,0.39,7.0,0.0,2.0,1.0,0.0,0.0,2018
Andriy Yarmolenko,/andriy-yarmolenko/profil/spieler/69015,28,RW,Ukraine,2000000,20000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,West Ham United,/west-ham-united/startseite/verein/379,out,2018,-18000000,33.0,1.89,left,GER-Bundesliga,Dortmund,Andriy Yarmolenko,UKR,"FW,MF",27.0,1989.0,11.5,56.0,4.86,40.0,3.0,3.0,3.0,5.0,2.0,6.0,0.52,5.0,0.0,0.0,1.0,0.0,0.0,2018
Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322,30,CB,Greece,1000000,16000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2018,-15000000,35.0,1.86,right,GER-Bundesliga,Dortmund,Sokratis Papastathopoulos,GRE,DF,29.0,1988.0,26.4,22.0,0.83,19.0,1.0,1.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,7000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Newcastle United,/newcastle-united/startseite/verein/762,out,2018,43000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,15.0,47.0,3.14,41.0,1.0,0.0,2.0,1.0,2.0,4.0,0.27,3.0,0.0,0.0,1.0,0.0,0.0,2018
