playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Julian Ryerson,/julian-ryerson/profil/spieler/370789,25,RB,Norway,13000000,5000000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Dortmund,NOR,DF,24.0,1997.0,17,1410.0,83.0,46.1,15.7,17,83.0,10.0,0,,0,2.35,47.0,19.0,28.0,1.79,1.19,37.2,17.3,19.9,1.27,0.83,2023
Julian Ryerson,/julian-ryerson/profil/spieler/370789,25,RB,Norway,13000000,5000000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Union Berlin,NOR,DF,24.0,1997.0,13,1037.0,80.0,33.9,11.5,12,84.0,7.0,1,29.0,1,1.85,21.0,15.0,6.0,0.52,0.21,11.5,13.0,-1.5,-0.13,0.01,2023
Ritsu Doan,/ritsu-doan/profil/spieler/358504,24,RW,Japan,18000000,8500000,PSV Eindhoven,/psv-eindhoven/startseite/verein/383,SC Freiburg,/sc-freiburg/startseite/verein/60,in,2022,9500000,25.0,1.72,left,GER-Bundesliga,Freiburg,JPN,"MF,FW",24.0,1998.0,33,2424.0,73.0,79.2,26.9,30,77.0,5.0,3,34.0,0,1.79,45.0,34.0,11.0,0.41,0.97,41.0,34.7,6.3,0.24,1.24,2023
Merlin Röhl,/merlin-rohl/profil/spieler/608832,20,CM,Germany,2000000,2900000,FC Ingolstadt 04,/fc-ingolstadt-04/startseite/verein/4795,SC Freiburg,/sc-freiburg/startseite/verein/60,in,2022,-900000,20.0,1.92,both,GER-Bundesliga,Freiburg,GER,"MF,FW",20.0,2002.0,3,57.0,19.0,1.9,0.6,0,,0.0,3,19.0,8,1.33,1.0,1.0,0.0,0.0,-0.21,1.0,0.9,0.1,0.18,0.21,2023
Nico Schlotterbeck,/nico-schlotterbeck/profil/spieler/388198,22,CB,Germany,40000000,20000000,SC Freiburg,/sc-freiburg/startseite/verein/60,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,20000000,23.0,1.91,left,GER-Bundesliga,Dortmund,GER,DF,22.0,1999.0,28,2252.0,80.0,73.6,25.0,27,83.0,23.0,1,1.0,3,2.11,57.0,34.0,23.0,0.92,-0.86,44.3,32.5,11.9,0.47,-1.31,2023
Steffen Tigges,/steffen-tigges/profil/spieler/296879,23,CF,Germany,3500000,1500000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,2000000,24.0,1.94,left,GER-Bundesliga,Köln,GER,FW,24.0,1998.0,30,1596.0,53.0,52.2,17.7,17,71.0,3.0,13,30.0,1,1.23,25.0,24.0,1.0,0.06,0.43,25.0,19.5,5.6,0.31,0.33,2023
Eric Martel,/eric-martel/profil/spieler/597000,20,DM,Germany,9000000,1200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,7800000,21.0,1.88,right,GER-Bundesliga,Köln,GER,MF,20.0,2002.0,29,2019.0,70.0,66.0,22.4,23,81.0,14.0,6,25.0,4,1.21,29.0,33.0,-4.0,-0.18,-0.09,30.2,27.3,3.0,0.13,-0.07,2023
Nikola Soldo,/nikola-soldo/profil/spieler/674921,21,CB,Croatia,1500000,500000,NK Lokomotiva Zagreb,/nk-lokomotiva-zagreb/startseite/verein/11194,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,1000000,22.0,1.89,right,GER-Bundesliga,Köln,CRO,DF,21.0,2001.0,7,593.0,85.0,19.4,6.6,6,90.0,6.0,1,53.0,13,0.43,4.0,13.0,-9.0,-1.37,-1.51,6.6,7.6,-1.0,-0.16,-0.39,2023
Denis Huseinbasic,/denis-huseinbasic/profil/spieler/678479,20,CM,Germany,5000000,50000,Kickers Offenbach,/kickers-offenbach/startseite/verein/107,1.FC Köln,/1-fc-koln/startseite/verein/3,in,2022,4950000,21.0,1.84,right,GER-Bundesliga,Köln,GER,"MF,FW",21.0,2001.0,24,791.0,33.0,25.8,8.8,7,67.0,2.0,17,19.0,5,1.25,17.0,16.0,1.0,0.11,0.35,14.2,10.1,4.1,0.46,0.42,2023
Anthony Modeste,/anthony-modeste/profil/spieler/50512,34,CF,France,700000,5100000,1.FC Köln,/1-fc-koln/startseite/verein/3,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,-4400000,35.0,1.88,right,GER-Bundesliga,Dortmund,FRA,FW,34.0,1988.0,19,813.0,43.0,26.6,9.0,7,83.0,3.0,12,19.0,12,1.79,13.0,9.0,4.0,0.44,-0.96,15.0,13.3,1.6,0.18,-0.87,2023
