playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-2000000,40.0,1.98,right,ESP-La Liga,Espanyol,Naldo,BRA,DF,28.0,1988.0,10.2,360.0,434.0,82.9,7538.0,2430.0,99.0,109.0,90.8,206.0,229.0,90.0,53.0,85.0,62.4,0,0.0,0.1,0.0,0.0,7.0,1.0,0.0,9.0,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-2000000,40.0,1.98,right,GER-Bundesliga,Schalke 04,Naldo,BRA,DF,34.0,1982.0,34.0,1453.0,1705.0,85.2,31771.0,10960.0,337.0,386.0,87.3,878.0,969.0,90.6,232.0,325.0,71.4,2,2.5,0.5,-0.5,14.0,50.0,8.0,0.0,73.0,2018
Coke,/coke/profil/spieler/71905,31,RB,Spain,400000,1500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Levante UD,/ud-levante/startseite/verein/3368,out,2018,-1100000,36.0,1.76,right,ESP-La Liga,Levante,Coke,ESP,DF,30.0,1987.0,15.4,543.0,748.0,72.6,8503.0,3984.0,306.0,352.0,86.9,181.0,251.0,72.1,44.0,96.0,45.8,0,0.4,0.6,-0.4,11.0,43.0,15.0,5.0,67.0,2018
Coke,/coke/profil/spieler/71905,31,RB,Spain,400000,1500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,Levante UD,/ud-levante/startseite/verein/3368,out,2018,-1100000,36.0,1.76,right,GER-Bundesliga,Schalke 04,Coke,ESP,MF,30.0,1987.0,0.0,2.0,2.0,100.0,30.0,10.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018
Johannes Geis,/johannes-geis/profil/spieler/89650,25,DM,Germany,800000,500000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2018,300000,29.0,1.81,right,ESP-La Liga,Sevilla,Johannes Geis,GER,"DF,MF",23.0,1993.0,7.5,316.0,379.0,83.4,6091.0,2559.0,128.0,144.0,88.9,135.0,155.0,87.1,47.0,70.0,67.1,1,0.5,0.5,0.5,5.0,37.0,3.0,1.0,26.0,2018
Leonardo Bittencourt,/leonardo-bittencourt/profil/spieler/93844,24,AM,Germany,2800000,6000000,1.FC Köln,/1-fc-koln/startseite/verein/3,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2018,-3200000,29.0,1.71,right,GER-Bundesliga,Köln,Leonardo Bittencourt,GER,"MF,FW",23.0,1993.0,17.9,492.0,689.0,71.4,6927.0,1800.0,278.0,335.0,83.0,161.0,220.0,73.2,26.0,66.0,39.4,3,2.3,2.8,0.7,26.0,41.0,28.0,7.0,69.0,2018
Ishak Belfodil,/ishak-belfodil/profil/spieler/111039,26,CF,Algeria,1700000,5500000,Standard Liège,/standard-luttich/startseite/verein/3057,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2018,-3800000,31.0,1.92,right,GER-Bundesliga,Werder Bremen,Ishak Belfodil,ALG,FW,25.0,1992.0,15.0,272.0,440.0,61.8,3981.0,985.0,167.0,247.0,67.6,86.0,140.0,61.4,11.0,20.0,55.0,1,2.4,2.1,-1.4,18.0,24.0,10.0,1.0,42.0,2018
Christian Pulisic,/christian-pulisic/profil/spieler/315779,20,LW,United States,25000000,64000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2018,-39000000,24.0,1.77,right,GER-Bundesliga,Dortmund,Christian Pulisic,USA,"FW,DF",18.0,1998.0,25.6,675.0,903.0,74.8,9673.0,1965.0,391.0,467.0,83.7,214.0,278.0,77.0,34.0,61.0,55.7,5,4.9,5.3,0.1,30.0,37.0,32.0,14.0,64.0,2018
Andriy Yarmolenko,/andriy-yarmolenko/profil/spieler/69015,28,RW,Ukraine,2000000,20000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,West Ham United,/west-ham-united/startseite/verein/379,out,2018,-18000000,33.0,1.89,left,GER-Bundesliga,Dortmund,Andriy Yarmolenko,UKR,"FW,MF",27.0,1989.0,11.5,330.0,452.0,73.0,5114.0,1259.0,182.0,214.0,85.0,102.0,146.0,69.9,27.0,57.0,47.4,3,3.2,3.2,-0.2,28.0,19.0,15.0,5.0,42.0,2018
Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322,30,CB,Greece,1000000,16000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2018,-15000000,35.0,1.86,right,GER-Bundesliga,Dortmund,Sokratis Papastathopoulos,GRE,DF,29.0,1988.0,26.4,1665.0,1921.0,86.7,33580.0,11781.0,522.0,560.0,93.2,940.0,1013.0,92.8,188.0,311.0,60.5,0,0.2,0.8,-0.2,5.0,125.0,8.0,1.0,115.0,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,7000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Newcastle United,/newcastle-united/startseite/verein/762,out,2018,43000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,15.0,645.0,818.0,78.9,10947.0,3524.0,281.0,342.0,82.2,268.0,314.0,85.4,61.0,105.0,58.1,1,0.9,0.7,0.1,16.0,84.0,14.0,0.0,108.0,2018
Paulinho,/paulinho/profil/spieler/428791,18,LW,Brazil,7500000,18500000,Clube de Regatas Vasco da Gama,/vasco-da-gama-rio-de-janeiro/startseite/verein/978,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,in,2018,-11000000,22.0,1.77,right,ESP-La Liga,Barcelona,Paulinho,BRA,MF,29.0,1988.0,21.6,1074.0,1231.0,87.2,14866.0,3366.0,615.0,679.0,90.6,324.0,366.0,88.5,47.0,58.0,81.0,2,2.7,1.7,-0.7,13.0,79.0,9.0,0.0,105.0,2018
