playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Diego Costa,/diego-costa/profil/spieler/44779,29,CF,Spain,2000000,60000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Atlético de Madrid,/atletico-madrid/startseite/verein/13,in,2017,-58000000,34.0,1.86,right,ESP-La Liga,Atlético Madrid,ESP,FW,28.0,1988.0,11.6,31.0,2.68,23.0,0.0,1.0,2.0,3.0,2.0,6.0,0.52,4.0,0.0,0.0,0.0,1.0,1.0,2018
Yannick Carrasco,/yannick-carrasco/profil/spieler/140776,24,LW,Belgium,25000000,30000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Dalian Yifang,/dalian-professional/startseite/verein/33304,out,2017,-5000000,29.0,1.81,right,ESP-La Liga,Atlético Madrid,BEL,"MF,FW",23.0,1993.0,10.0,34.0,3.4,21.0,3.0,10.0,0.0,0.0,0.0,5.0,0.5,3.0,0.0,2.0,0.0,0.0,0.0,2018
Theo Hernández,/theo-hernandez/profil/spieler/339808,19,LB,France,60000000,24000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Real Madrid,/real-madrid/startseite/verein/418,out,2017,36000000,25.0,1.84,left,ESP-La Liga,Real Madrid,FRA,DF,19.0,1997.0,10.7,27.0,2.52,20.0,1.0,4.0,1.0,1.0,0.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,2018
Javier Manquillo,/javier-manquillo/profil/spieler/162029,23,RB,Spain,2500000,5000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Newcastle United,/newcastle-united/startseite/verein/762,out,2017,-2500000,29.0,1.78,right,ENG-Premier League,Newcastle Utd,ESP,DF,23.0,1994.0,19.5,27.0,1.38,18.0,5.0,1.0,1.0,2.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,2018
Augusto Fernández,/augusto-fernandez/profil/spieler/39151,31,CM,Argentina,0,4500000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Beijing Renhe,/beijing-renhe/startseite/verein/17250,out,2017,-4500000,37.0,1.77,right,ESP-La Liga,Atlético Madrid,ARG,MF,31.0,1986.0,1.2,2.0,1.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Luis Muriel,/luis-muriel/profil/spieler/119228,26,CF,Colombia,5000000,24500000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,-19500000,32.0,1.79,right,ESP-La Liga,Sevilla,COL,FW,26.0,1991.0,17.9,52.0,2.91,32.0,1.0,13.0,4.0,2.0,0.0,4.0,0.22,1.0,0.0,3.0,0.0,0.0,0.0,2018
Guilherme Arana,/guilherme-arana/profil/spieler/346766,20,LB,Brazil,12000000,11000000,Sport Club Corinthians Paulista,/corinthians-sao-paulo/startseite/verein/199,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,1000000,26.0,1.76,left,ESP-La Liga,Sevilla,BRA,DF,20.0,1997.0,2.1,2.0,0.93,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Guido Pizarro,/guido-pizarro/profil/spieler/105899,27,DM,Argentina,1800000,8700000,Tigres UANL,/tigres-uanl/startseite/verein/7055,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,-6900000,33.0,1.85,right,ESP-La Liga,Sevilla,ARG,MF,27.0,1990.0,19.5,19.0,0.97,16.0,0.0,2.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,2018
Éver Banega,/ever-banega/profil/spieler/12249,29,CM,Argentina,1800000,7000000,Inter Milan,/inter-mailand/startseite/verein/46,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,-5200000,35.0,1.74,right,ESP-La Liga,Sevilla,ARG,MF,29.0,1988.0,26.7,144.0,5.4,96.0,33.0,8.0,1.0,3.0,3.0,6.0,0.23,2.0,4.0,0.0,0.0,0.0,0.0,2018
Nolito,/nolito/profil/spieler/70934,30,LW,Spain,300000,7000000,Manchester City,/manchester-city/startseite/verein/281,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,-6700000,36.0,1.75,right,ESP-La Liga,Sevilla,ESP,"FW,MF",30.0,1986.0,17.8,77.0,4.34,62.0,4.0,3.0,4.0,3.0,1.0,13.0,0.73,10.0,0.0,1.0,0.0,1.0,1.0,2018
