playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Pedro Bigas,/pedro-bigas/profil/spieler/203043,29,CB,Spain,1000000,3000000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,SD Eibar,/sd-eibar/startseite/verein/1533,in,2019,-2000000,33.0,1.81,left,ESP-La Liga,Eibar,Pedro Bigas,ESP,DF,27.0,1990.0,10,7,585,6.5,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,6.0,34.0,0.0,0.0,0.15,0.15,0.0,0.15,0.03,0.05,0.08,0.03,0.08,2019
Marc Cucurella,/marc-cucurella/profil/spieler/284857,20,LB,Spain,35000000,2000000,FC Barcelona,/fc-barcelona/startseite/verein/131,SD Eibar,/sd-eibar/startseite/verein/1533,in,2019,33000000,24.0,1.73,left,ESP-La Liga,Eibar,Marc Cucurella,ESP,"MF,FW",20.0,1998.0,31,26,2354,26.2,1,2,3,1,0,0,6,0,2.0,2.0,3.2,5.2,40.0,78.0,200.0,0.04,0.08,0.11,0.04,0.11,0.08,0.12,0.2,0.08,0.2,2019
Marc Cucurella,/marc-cucurella/profil/spieler/284857,20,LB,Spain,35000000,4000000,SD Eibar,/sd-eibar/startseite/verein/1533,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2019,31000000,24.0,1.73,left,ESP-La Liga,Eibar,Marc Cucurella,ESP,"MF,FW",20.0,1998.0,31,26,2354,26.2,1,2,3,1,0,0,6,0,2.0,2.0,3.2,5.2,40.0,78.0,200.0,0.04,0.08,0.11,0.04,0.11,0.08,0.12,0.2,0.08,0.2,2019
Joan Jordán,/joan-jordan/profil/spieler/263727,24,CM,Spain,9000000,14000000,SD Eibar,/sd-eibar/startseite/verein/1533,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2019,-5000000,28.0,1.85,right,ESP-La Liga,Eibar,Joan Jordán,ESP,MF,24.0,1994.0,36,32,2875,31.9,4,4,8,4,0,0,10,0,2.6,2.6,5.0,7.6,44.0,184.0,92.0,0.13,0.13,0.25,0.13,0.25,0.08,0.16,0.24,0.08,0.24,2019
Martin Braithwaite,/martin-braithwaite/profil/spieler/95732,28,CF,Denmark,5000000,5000000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,CD Leganés,/cd-leganes/startseite/verein/1244,in,2019,0,32.0,1.77,right,ESP-La Liga,Leganés,Martin Braithwaite,DEN,FW,27.0,1991.0,19,16,1402,15.6,4,5,9,4,0,0,5,0,5.1,5.1,1.4,6.6,24.0,23.0,75.0,0.26,0.32,0.58,0.26,0.58,0.33,0.09,0.42,0.33,0.42,2019
Martin Braithwaite,/martin-braithwaite/profil/spieler/95732,28,CF,Denmark,5000000,18000000,CD Leganés,/cd-leganes/startseite/verein/1244,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2019,-13000000,32.0,1.77,right,ESP-La Liga,Leganés,Martin Braithwaite,DEN,FW,27.0,1991.0,19,16,1402,15.6,4,5,9,4,0,0,5,0,5.1,5.1,1.4,6.6,24.0,23.0,75.0,0.26,0.32,0.58,0.26,0.58,0.33,0.09,0.42,0.33,0.42,2019
Kenneth Omeruo,/kenneth-omeruo/profil/spieler/131708,25,CB,Nigeria,1500000,5000000,Chelsea FC,/fc-chelsea/startseite/verein/631,CD Leganés,/cd-leganes/startseite/verein/1244,in,2019,-3500000,29.0,1.85,right,ESP-La Liga,Leganés,Kenneth Omeruo,NGA,DF,24.0,1993.0,28,27,2433,27.0,0,0,0,0,0,0,7,0,0.2,0.2,0.1,0.2,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2019
Jonathan Silva,/jonathan-silva/profil/spieler/189453,25,LB,Argentina,800000,2700000,Sporting CP,/sporting-lissabon/startseite/verein/336,CD Leganés,/cd-leganes/startseite/verein/1244,in,2019,-1900000,29.0,1.78,left,ESP-La Liga,Leganés,Jonathan Silva,ARG,"DF,FW",24.0,1994.0,30,30,2700,30.0,3,6,9,3,0,0,9,0,1.6,1.6,5.3,7.0,48.0,98.0,122.0,0.1,0.2,0.3,0.1,0.3,0.05,0.18,0.23,0.05,0.23,2019
Roberto Rosales,/roberto-rosales/profil/spieler/49500,30,RB,Venezuela,350000,1200000,Málaga CF,/fc-malaga/startseite/verein/1084,CD Leganés,/cd-leganes/startseite/verein/1244,in,2019,-850000,34.0,1.74,right,ESP-La Liga,Espanyol,Roberto Rosales,VEN,DF,29.0,1988.0,21,20,1749,19.4,3,1,4,3,0,0,2,0,1.1,1.1,1.2,2.2,23.0,100.0,97.0,0.15,0.05,0.21,0.15,0.21,0.05,0.06,0.12,0.05,0.12,2019
Youssef En-Nesyri,/youssef-en-nesyri/profil/spieler/433049,22,CF,Morocco,20000000,20000000,CD Leganés,/cd-leganes/startseite/verein/1244,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2019,0,26.0,1.92,left,ESP-La Liga,Leganés,Youssef En-Nesyri,MAR,FW,21.0,1997.0,31,22,2106,23.4,9,2,11,9,0,0,7,0,7.1,7.1,2.3,9.4,38.0,28.0,143.0,0.38,0.09,0.47,0.38,0.47,0.3,0.1,0.4,0.3,0.4,2019
Gerard Gumbau,/gerard-gumbau/profil/spieler/268670,24,DM,Spain,3500000,500000,CD Leganés,/cd-leganes/startseite/verein/1244,Girona FC,/fc-girona/startseite/verein/12321,out,2019,3000000,28.0,1.88,left,ESP-La Liga,Leganés,Gerard Gumbau,ESP,MF,23.0,1994.0,16,13,1199,13.3,1,1,2,0,1,1,6,1,2.0,1.2,0.4,1.6,11.0,41.0,23.0,0.08,0.08,0.15,0.0,0.08,0.15,0.03,0.18,0.09,0.12,2019
Borja Iglesias,/borja-iglesias/profil/spieler/278359,26,CF,Spain,20000000,28000000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,in,2019,-8000000,30.0,1.87,right,ESP-La Liga,Espanyol,Borja Iglesias,ESP,FW,25.0,1993.0,37,35,3075,34.2,17,3,20,14,3,3,5,0,16.0,13.6,4.1,17.7,52.0,31.0,251.0,0.5,0.09,0.59,0.41,0.5,0.47,0.12,0.59,0.4,0.52,2019
