playerLink,currAge,height,foot,currClub,playerPos,playerCountry,playerMarketValue,playerName
/steven-davis/profil/spieler/28973,38.0,1.72,right,Rangers FC,CM,Northern Ireland,750000,Steven Davis
/tamas-kadar/profil/spieler/64313,33.0,1.88,left,Paksi FC,CB,Hungary,400000,Tamás Kádár
/valeri-bozhinov/profil/spieler/4176,37.0,1.85,left,Vitosha Bistritsa,CF,Bulgaria,10000,Valeri Bozhinov
/felipe-caicedo/profil/spieler/37834,34.0,1.83,left,Abha Club,CF,Ecuador,600000,Felipe Caicedo
/lee-camp/profil/spieler/13443,38.0,1.83,right,Without Club,GK,Northern Ireland,150000,Lee Camp
/craig-gordon/profil/spieler/12589,40.0,1.93,left,Heart of Midlothian FC,GK,Scotland,450000,Craig Gordon
/jean-yves-mvoto/profil/spieler/55381,34.0,1.94,right,VfR Wormatia Worms,CB,France,50000,Jean-Yves M'voto
/neil-kilkenny/profil/spieler/2997,37.0,1.73,right,Western United FC,DM,Australia,200000,Neil Kilkenny
/zoran-tosic/profil/spieler/46180,36.0,1.71,left,PAS Lamia 1964,RW,Serbia,200000,Zoran Tosic
/ritchie-de-laet/profil/spieler/55687,34.0,1.84,right,Royal Antwerp FC,RB,Belgium,500000,Ritchie De Laet
/aaron-ramsey/profil/spieler/50057,32.0,1.78,right,OGC Nice,CM,Wales,3000000,Aaron Ramsey
/peter-gulacsi/profil/spieler/57071,33.0,1.9,right,RB Leipzig,GK,Hungary,5000000,Péter Gulácsi
/marouane-fellaini/profil/spieler/39679,35.0,1.94,right,Shandong Taishan,CM,Belgium,2500000,Marouane Fellaini
/seamus-coleman/profil/spieler/68390,34.0,1.77,right,Everton FC,RB,Ireland,1000000,Seamus Coleman
/brad-guzan/profil/spieler/39471,38.0,1.93,left,Atlanta United FC,GK,United States,100000,Brad Guzan
/luka-modric/profil/spieler/27992,37.0,1.72,right,Real Madrid,CM,Croatia,10000000,Luka Modric
/xisco/profil/spieler/34564,36.0,1.88,right,Atlético Baleares,CF,Spain,50000,Xisco
/haris-vuckic/profil/spieler/76560,30.0,1.86,left,Buriram United,SS,Slovenia,1200000,Haris Vuckic
/hugo-rodallega/profil/spieler/37934,37.0,1.81,right,Independiente Santa Fe,CF,Colombia,200000,Hugo Rodallega
/david-stockdale/profil/spieler/67339,37.0,1.9,right,Sheffield Wednesday,GK,England,100000,David Stockdale
/graham-dorrans/profil/spieler/36608,36.0,1.77,right,Without Club,CM,Scotland,225000,Graham Dorrans
/mark-oxley/profil/spieler/67232,32.0,1.9,right,Harrogate Town,GK,England,150000,Mark Oxley
/mame-diouf/profil/spieler/62049,35.0,1.85,right,Konyaspor,CF,Senegal,600000,Mame Diouf
/gabriel-obertan/profil/spieler/43261,34.0,1.86,right,Charlotte Independence,RW,France,150000,Gabriel Obertan
/fraizer-campbell/profil/spieler/42411,35.0,1.72,right,Without Club,CF,England,150000,Fraizer Campbell
/daniel-sturridge/profil/spieler/47082,33.0,1.82,left,Without Club,CF,England,200000,Daniel Sturridge
/nemanja-matic/profil/spieler/74683,34.0,1.94,left,AS Roma,DM,Serbia,4000000,Nemanja Matic
/kyle-naughton/profil/spieler/66219,34.0,1.81,right,Swansea City,RB,England,300000,Kyle Naughton
/kyle-walker/profil/spieler/95424,33.0,1.83,right,Manchester City,RB,England,13000000,Kyle Walker
/tomas-pekhart/profil/spieler/38746,34.0,1.94,right,Legia Warszawa,CF,Czech Republic,400000,Tomas Pekhart
/manuel-da-costa/profil/spieler/37398,37.0,1.91,right,Without Club,CB,Morocco,200000,Manuel da Costa
/fabio-daprela/profil/spieler/66109,32.0,1.83,left,FC Lugano,CB,Switzerland,200000,Fabio Daprelà
/ched-evans/profil/spieler/61622,34.0,1.83,right,Preston North End,CF,Wales,200000,Ched Evans
/james-mccarthy/profil/spieler/45333,32.0,1.8,right,Celtic FC,CM,Ireland,1200000,James McCarthy
/victor-moses/profil/spieler/59866,32.0,1.77,right,Spartak Moscow,RM,Nigeria,2000000,Victor Moses
/mohamed-diame/profil/spieler/70950,36.0,1.84,right,Al-Sailiya SC,CM,Senegal,125000,Mohamed Diamé
/asmir-begovic/profil/spieler/33873,36.0,1.99,right,Everton FC,GK,Bosnia-Herzegovina,800000,Asmir Begovic
/diego-arismendi/profil/spieler/72645,35.0,1.89,right,IA Sud America Montevideo,DM,Uruguay,50000,Diego Arismendi
/chung-yong-lee/profil/spieler/81801,34.0,1.8,right,Ulsan Hyundai,RW,"Korea, South",500000,Chung-yong Lee
/mark-connolly/profil/spieler/128285,31.0,1.85,right,Derry City,CB,Ireland,300000,Mark Connolly
/blerim-dzemaili/profil/spieler/9967,37.0,1.8,right,FC Zürich,CM,Switzerland,100000,Blerim Dzemaili
/nikola-kalinic/profil/spieler/36371,35.0,1.87,both,HNK Hajduk Split,CF,Croatia,300000,Nikola Kalinic
/steven-nzonzi/profil/spieler/73734,34.0,1.96,right,Al-Rayyan SC,DM,France,3000000,Steven Nzonzi
/matt-derbyshire/profil/spieler/15175,37.0,1.8,right,Bradford City,CF,England,100000,Matt Derbyshire
/elliott-bennett/profil/spieler/43193,34.0,1.79,right,Shrewsbury Town,RM,Jamaica,150000,Elliott Bennett
/scott-dann/profil/spieler/62688,36.0,1.94,right,Reading FC,CB,England,200000,Scott Dann
/jay-oshea/profil/spieler/68327,34.0,1.83,right,Brisbane Roar,CM,Ireland,300000,Jay O'Shea
/steven-fletcher/profil/spieler/35099,36.0,1.85,left,Dundee United FC,CF,Scotland,300000,Steven Fletcher
/brian-easton/profil/spieler/45331,35.0,1.83,left,Hamilton Academical FC,LB,Scotland,250000,Brian Easton
/kevin-long/profil/spieler/111114,32.0,1.88,right,Birmingham City,CB,Ireland,500000,Kevin Long
/chris-basham/profil/spieler/52495,34.0,1.9,right,Sheffield United,CB,England,300000,Chris Basham
/craig-cathcart/profil/spieler/59606,34.0,1.89,right,Watford FC,CB,Northern Ireland,600000,Craig Cathcart
