playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Martin Ødegaard,/martin-odegaard/profil/spieler/316264,22,AM,Norway,90000000,35000000,Real Madrid,/real-madrid/startseite/verein/418,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,55000000
Aaron Ramsdale,/aaron-ramsdale/profil/spieler/427568,23,GK,England,40000000,28000000,Sheffield United,/sheffield-united/startseite/verein/350,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,12000000
Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560,22,RB,Japan,25000000,18600000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,6400000
Albert Sambi Lokonga,/albert-sambi-lokonga/profil/spieler/381967,21,CM,Belgium,15000000,17500000,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,-2500000
Nuno Tavares,/nuno-tavares/profil/spieler/535955,21,LB,Portugal,18000000,8000000,SL Benfica,/benfica-lissabon/startseite/verein/294,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,10000000
Auston Trusty,/auston-trusty/profil/spieler/389253,23,CB,United States,10000000,1800000,Colorado Rapids,/colorado-rapids/startseite/verein/1247,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,8200000
Joe Willock,/joe-willock/profil/spieler/340329,21,CM,England,38000000,29400000,Arsenal FC,/fc-arsenal/startseite/verein/11,Newcastle United,/newcastle-united/startseite/verein/762,in,2021,8600000
Emiliano Buendía,/emiliano-buendia/profil/spieler/321247,24,RW,Argentina,28000000,38400000,Norwich City,/norwich-city/startseite/verein/1123,Aston Villa,/aston-villa/startseite/verein/405,out,2021,-10400000
Leon Bailey,/leon-bailey/profil/spieler/387626,23,LW,Jamaica,28000000,32000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Aston Villa,/aston-villa/startseite/verein/405,out,2021,-4000000
Lucas Digne,/lucas-digne/profil/spieler/126664,28,LB,France,15000000,30000000,Everton FC,/fc-everton/startseite/verein/29,Aston Villa,/aston-villa/startseite/verein/405,out,2021,-15000000
Danny Ings,/danny-ings/profil/spieler/134294,29,CF,England,12000000,29400000,Southampton FC,/fc-southampton/startseite/verein/180,Aston Villa,/aston-villa/startseite/verein/405,out,2021,-17400000
Jack Grealish,/jack-grealish/profil/spieler/203460,25,LW,England,75000000,117500000,Aston Villa,/aston-villa/startseite/verein/405,Manchester City,/manchester-city/startseite/verein/281,in,2021,-42500000
Ally Samatta,/ally-samatta/profil/spieler/182201,28,CF,Tanzania,2500000,6000000,Aston Villa,/aston-villa/startseite/verein/405,Fenerbahce,/fenerbahce-istanbul/startseite/verein/36,in,2021,-3500000
Björn Engels,/bjorn-engels/profil/spieler/193469,26,CB,Belgium,1000000,3500000,Aston Villa,/aston-villa/startseite/verein/405,Royal Antwerp FC,/royal-antwerpen-fc/startseite/verein/1096,in,2021,-2500000
Kristoffer Ajer,/kristoffer-ajer/profil/spieler/328658,23,CB,Norway,16000000,15700000,Celtic FC,/celtic-glasgow/startseite/verein/371,Brentford FC,/fc-brentford/startseite/verein/1148,out,2021,300000
Frank Onyeka,/frank-onyeka/profil/spieler/421637,23,CM,Nigeria,8000000,10000000,FC Midtjylland,/fc-midtjylland/startseite/verein/865,Brentford FC,/fc-brentford/startseite/verein/1148,out,2021,-2000000
Yoane Wissa,/yoane-wissa/profil/spieler/388165,24,LW,DR Congo,18000000,10000000,FC Lorient,/fc-lorient/startseite/verein/1158,Brentford FC,/fc-brentford/startseite/verein/1148,out,2021,8000000
Marc Cucurella,/marc-cucurella/profil/spieler/284857,23,LB,Spain,35000000,18000000,Getafe CF,/fc-getafe/startseite/verein/3709,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,17000000
Kacper Kozlowski,/kacper-kozlowski/profil/spieler/554284,18,CM,Poland,8000000,11000000,Pogon Szczecin,/pogon-stettin/startseite/verein/324,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,-3000000
Abdallah Sima,/abdallah-sima/profil/spieler/776798,20,RW,Senegal,7000000,8000000,SK Slavia Prague,/sk-slavia-prag/startseite/verein/62,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,-1000000
Deniz Undav,/deniz-undav/profil/spieler/339314,25,CF,Germany,10000000,7000000,Royale Union Saint Gilloise,/royale-union-saint-gilloise/startseite/verein/3948,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,3000000
Kjell Scherpen,/kjell-scherpen/profil/spieler/463527,21,GK,Netherlands,2000000,5000000,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,-3000000
Kaoru Mitoma,/kaoru-mitoma/profil/spieler/504849,24,LW,Japan,32000000,3000000,Kawasaki Frontale,/kawasaki-frontale/startseite/verein/9598,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2021,29000000
Dan Burn,/dan-burn/profil/spieler/134270,29,LB,England,10000000,15000000,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,Newcastle United,/newcastle-united/startseite/verein/762,in,2021,-5000000
Percy Tau,/percy-tau/profil/spieler/312239,27,RW,South Africa,1500000,1800000,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,El Ahly Cairo,/el-ahly-kairo/startseite/verein/7,in,2021,-300000
Viktor Gyökeres,/viktor-gyokeres/profil/spieler/325443,23,CF,Sweden,13000000,1200000,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,Coventry City,/coventry-city/startseite/verein/990,in,2021,11800000
Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268,27,RW,Iran,4000000,1000000,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,Feyenoord Rotterdam,/feyenoord-rotterdam/startseite/verein/234,in,2021,3000000
Wout Weghorst,/wout-weghorst/profil/spieler/228645,29,CF,Netherlands,12000000,17500000,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,Burnley FC,/fc-burnley/startseite/verein/1132,out,2021,-5500000
Maxwel Cornet,/maxwel-cornet/profil/spieler/234781,24,LW,Cote d'Ivoire,12000000,15000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Burnley FC,/fc-burnley/startseite/verein/1132,out,2021,-3000000
Nathan Collins,/nathan-collins/profil/spieler/469050,20,CB,Ireland,22000000,14000000,Stoke City,/stoke-city/startseite/verein/512,Burnley FC,/fc-burnley/startseite/verein/1132,out,2021,8000000
Connor Roberts,/connor-roberts/profil/spieler/214666,25,RB,Wales,8000000,2900000,Swansea City,/swansea-city/startseite/verein/2288,Burnley FC,/fc-burnley/startseite/verein/1132,out,2021,5100000
Chris Wood,/chris-wood/profil/spieler/108725,30,CF,New Zealand,8000000,30000000,Burnley FC,/fc-burnley/startseite/verein/1132,Newcastle United,/newcastle-united/startseite/verein/762,in,2021,-22000000
Ben Gibson,/ben-gibson/profil/spieler/128904,28,CB,England,2000000,9300000,Burnley FC,/fc-burnley/startseite/verein/1132,Norwich City,/norwich-city/startseite/verein/1123,in,2021,-7300000
Josh Benson,/josh-benson/profil/spieler/397102,21,CM,England,350000,1200000,Burnley FC,/fc-burnley/startseite/verein/1132,Barnsley FC,/fc-barnsley/startseite/verein/349,in,2021,-850000
Romelu Lukaku,/romelu-lukaku/profil/spieler/96341,28,CF,Belgium,40000000,113000000,Inter Milan,/inter-mailand/startseite/verein/46,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2021,-73000000
Tammy Abraham,/tammy-abraham/profil/spieler/331726,23,CF,England,40000000,41000000,Chelsea FC,/fc-chelsea/startseite/verein/631,AS Roma,/as-rom/startseite/verein/12,in,2021,-1000000
