playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Bruno Gaspar,/bruno-gaspar/profil/spieler/230457,24,RB,Angola,500000,4000000,Vitória Guimarães SC,/vitoria-guimaraes-sc/startseite/verein/2420,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-3500000,30.0,1.8,right,ITA-Serie A,Fiorentina,ANG,DF,24.0,1993.0,8.7,469.0,580.0,80.9,7728.0,2690.0,214.0,232.0,92.2,203.0,249.0,81.5,36.0,64.0,56.3,2,0.8,0.8,1.2,10.0,35.0,12.0,6.0,52.0,2018
Valentin Eysseric,/valentin-eysseric/profil/spieler/126687,25,AM,France,1500000,3500000,OGC Nice,/ogc-nizza/startseite/verein/417,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2000000,31.0,1.81,right,FRA-Ligue 1,Nice,FRA,FW,25.0,1992.0,1.0,58.0,76.0,76.3,969.0,258.0,29.0,34.0,85.3,19.0,22.0,86.4,7.0,14.0,50.0,0,0.2,0.2,-0.2,2.0,10.0,0.0,0.0,9.0,2018
Valentin Eysseric,/valentin-eysseric/profil/spieler/126687,25,AM,France,1500000,3500000,OGC Nice,/ogc-nizza/startseite/verein/417,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2000000,31.0,1.81,right,ITA-Serie A,Fiorentina,FRA,"FW,MF",25.0,1992.0,7.8,300.0,408.0,73.5,4693.0,1277.0,176.0,204.0,86.3,83.0,109.0,76.1,28.0,60.0,46.7,1,1.2,1.1,-0.2,23.0,30.0,13.0,0.0,47.0,2018
Carlos Sánchez,/carlos-sanchez/profil/spieler/51226,31,DM,Colombia,300000,3000000,Aston Villa,/aston-villa/startseite/verein/405,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2700000,37.0,1.82,left,ESP-La Liga,Espanyol,COL,MF,31.0,1986.0,12.5,478.0,584.0,81.8,8868.0,2053.0,209.0,249.0,83.9,197.0,223.0,88.3,63.0,85.0,74.1,0,0.3,0.2,-0.3,3.0,44.0,4.0,0.0,36.0,2018
Carlos Sánchez,/carlos-sanchez/profil/spieler/51226,31,DM,Colombia,300000,3000000,Aston Villa,/aston-villa/startseite/verein/405,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2700000,37.0,1.82,left,ITA-Serie A,Fiorentina,COL,"MF,DF",31.0,1986.0,4.1,210.0,252.0,83.3,3780.0,1079.0,87.0,96.0,90.6,97.0,111.0,87.4,21.0,35.0,60.0,0,0.0,0.1,0.0,0.0,13.0,0.0,0.0,21.0,2018
Bryan Dabo,/bryan-dabo/profil/spieler/149446,25,CM,Burkina Faso,600000,3000000,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2400000,31.0,1.87,right,FRA-Ligue 1,Saint-Étienne,BFA,"MF,FW",25.0,1992.0,14.3,498.0,645.0,77.2,7653.0,1844.0,279.0,346.0,80.6,180.0,217.0,82.9,28.0,46.0,60.9,0,0.7,0.5,-0.7,14.0,43.0,8.0,2.0,65.0,2018
Bryan Dabo,/bryan-dabo/profil/spieler/149446,25,CM,Burkina Faso,600000,3000000,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-2400000,31.0,1.87,right,ITA-Serie A,Fiorentina,BFA,MF,25.0,1992.0,6.6,253.0,331.0,76.4,3738.0,1000.0,140.0,162.0,86.4,90.0,119.0,75.6,13.0,28.0,46.4,0,0.1,0.2,-0.1,4.0,18.0,2.0,0.0,31.0,2018
Sebastián Cristóforo,/sebastian-cristoforo/profil/spieler/188157,23,CM,Uruguay,1000000,2500000,Sevilla FC,/fc-sevilla/startseite/verein/368,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-1500000,29.0,1.75,right,ITA-Serie A,Fiorentina,URU,MF,23.0,1993.0,3.0,156.0,193.0,80.8,2328.0,687.0,87.0,101.0,86.1,55.0,63.0,87.3,6.0,13.0,46.2,0,0.4,0.3,-0.4,2.0,11.0,2.0,0.0,18.0,2018
Maximiliano Olivera,/maximiliano-olivera/profil/spieler/179757,25,LB,Uruguay,1500000,2500000,CA Peñarol,/ca-penarol/startseite/verein/861,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-1000000,31.0,1.82,left,ITA-Serie A,Fiorentina,URU,DF,25.0,1992.0,4.6,218.0,278.0,78.4,4031.0,1429.0,90.0,100.0,90.0,104.0,127.0,81.9,22.0,38.0,57.9,0,0.2,0.4,-0.2,4.0,7.0,6.0,3.0,17.0,2018
Rafik Zekhnini,/rafik-zekhnini/profil/spieler/354278,19,LW,Norway,450000,1500000,Odds BK,/odds-bk/startseite/verein/1058,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2017,-1050000,25.0,1.79,right,ITA-Serie A,Fiorentina,NOR,FW,19.0,1998.0,0.1,4.0,5.0,80.0,29.0,9.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
