playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Samuel Bastien,/samuel-bastien/profil/spieler/289510,21,CM,DR Congo,1800000,3000000,Chievo Verona,/chievo-verona/startseite/verein/862,Standard Liège,/standard-luttich/startseite/verein/3057,out,2018,-1200000,26.0,1.75,right,ITA-Serie A,Chievo,Samuel Bastien,COD,MF,20.0,1996.0,15.1,3,2,1.0,17,15.0,3.0,12.0,18.0,13.0,0.0,0.0,0.0,74.0,15.0,28.0,34.9,2018
Valter Birsa,/valter-birsa/profil/spieler/26105,32,AM,Slovenia,0,300000,Chievo Verona,/chievo-verona/startseite/verein/862,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-300000,36.0,1.84,left,ITA-Serie A,Chievo,Valter Birsa,SVN,"MF,FW",30.0,1986.0,27.8,3,0,0.0,24,31.0,1.0,222.0,24.0,14.0,0.0,0.0,0.0,138.0,26.0,37.0,41.3,2018
Germán Pezzella,/german-pezzella/profil/spieler/113133,27,CB,Argentina,5000000,9750000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-4750000,32.0,1.87,right,ITA-Serie A,Fiorentina,Germán Pezzella,ARG,DF,26.0,1991.0,33.1,12,0,0.0,56,21.0,1.0,2.0,63.0,47.0,1.0,1.0,0.0,184.0,95.0,48.0,66.4,2018
Riccardo Saponara,/riccardo-saponara/profil/spieler/88909,26,AM,Italy,2000000,9000000,Empoli FC ,/fc-empoli/startseite/verein/749,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-7000000,31.0,1.84,right,ITA-Serie A,Fiorentina,Riccardo Saponara,ITA,"MF,FW",25.0,1991.0,10.0,3,0,0.0,15,21.0,1.0,24.0,1.0,8.0,0.0,0.0,0.0,63.0,9.0,5.0,64.3,2018
Alban Lafont,/alban-lafont/profil/spieler/357117,19,GK,France,16000000,8000000,FC Toulouse,/fc-toulouse/startseite/verein/415,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,8000000,24.0,1.96,right,FRA-Ligue 1,Toulouse,Alban Lafont,FRA,GK,18.0,1999.0,38.0,3,0,0.0,1,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,80.0,4.0,0.0,100.0,2018
Federico Ceccherini,/federico-ceccherini/profil/spieler/163639,26,CB,Italy,1500000,3600000,FC Crotone,/fc-crotone/startseite/verein/4083,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-2100000,31.0,1.87,right,ITA-Serie A,Crotone,Federico Ceccherini,ITA,DF,25.0,1992.0,35.9,4,1,0.0,42,36.0,6.0,4.0,83.0,21.0,0.0,3.0,0.0,184.0,74.0,58.0,56.1,2018
Cristiano Biraghi,/cristiano-biraghi/profil/spieler/124555,25,LB,Italy,5000000,3000000,Delfino Pescara 1936,/delfino-pescara-1936/startseite/verein/2921,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,2000000,30.0,1.85,left,ITA-Serie A,Fiorentina,Cristiano Biraghi,ITA,DF,24.0,1992.0,33.1,7,0,0.0,39,33.0,0.0,245.0,43.0,48.0,1.0,0.0,0.0,166.0,32.0,31.0,50.8,2018
Vincent Laurini,/vincent-laurini/profil/spieler/94936,29,RB,France,150000,1600000,Empoli FC ,/fc-empoli/startseite/verein/749,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2018,-1450000,34.0,1.73,right,ITA-Serie A,Fiorentina,Vincent Laurini,FRA,DF,28.0,1989.0,17.9,5,0,0.0,21,20.0,0.0,54.0,11.0,23.0,0.0,0.0,0.0,89.0,25.0,23.0,52.1,2018
Bruno Gaspar,/bruno-gaspar/profil/spieler/230457,25,RB,Angola,500000,4500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Sporting CP,/sporting-lissabon/startseite/verein/336,out,2018,-4000000,30.0,1.8,right,ITA-Serie A,Fiorentina,Bruno Gaspar,ANG,DF,24.0,1993.0,8.7,2,0,0.0,9,9.0,1.0,36.0,9.0,11.0,0.0,0.0,0.0,35.0,7.0,8.0,46.7,2018
Nenad Tomović,/nenad-tomovi%C4%87/profil/spieler/47085,30,CB,Serbia,250000,1300000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Chievo Verona,/chievo-verona/startseite/verein/862,out,2018,-1050000,35.0,1.84,right,ITA-Serie A,Chievo,Nenad Tomović,SRB,DF,29.0,1987.0,25.6,4,0,0.0,35,18.0,0.0,12.0,50.0,17.0,0.0,2.0,1.0,107.0,51.0,37.0,58.0,2018
Nenad Tomović,/nenad-tomovi%C4%87/profil/spieler/47085,30,CB,Serbia,250000,1300000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Chievo Verona,/chievo-verona/startseite/verein/862,out,2018,-1050000,35.0,1.84,right,ITA-Serie A,Fiorentina,Nenad Tomović,SRB,DF,29.0,1987.0,1.5,1,0,0.0,4,0.0,1.0,7.0,3.0,1.0,0.0,1.0,0.0,3.0,4.0,2.0,66.7,2018
Joel Campbell,/joel-campbell/profil/spieler/131248,26,RW,Costa Rica,1500000,1500000,Arsenal FC,/fc-arsenal/startseite/verein/11,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,in,2018,0,31.0,1.78,left,ESP-La Liga,Betis,Joel Campbell,CRC,"MF,FW",25.0,1992.0,2.4,1,0,0.0,3,13.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,2018
