playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Emiliano Viviano,/emiliano-viviano/profil/spieler/24316,32,GK,Italy,100000,1900000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Sporting CP,/sporting-lissabon/startseite/verein/336,out,2018,-1800000,37.0,1.95,left,ITA-Serie A,SPAL,ITA,GK,32,1985,17,17,1525.0,16.9,25.0,1.48,84.0,59.0,75.0,7.0,3.0,7.0,3.0,17.6,4.0,4.0,0.0,0.0,0.0,2019
Alfred Gomis,/alfred-gomis/profil/spieler/163568,24,GK,Senegal,2200000,1500000,Torino FC,/fc-turin/startseite/verein/416,SPAL,/spal/startseite/verein/2722,out,2018,700000,29.0,1.96,right,ITA-Serie A,SPAL,SEN,GK,24,1993,20,19,1723.0,19.2,27.0,1.41,76.0,49.0,65.8,3.0,6.0,10.0,6.0,31.6,1.0,1.0,0.0,0.0,0.0,2019
Juan Musso,/juan-musso/profil/spieler/242359,24,GK,Argentina,8000000,4000000,Racing Club,/racing-club/startseite/verein/1444,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2018,4000000,29.0,1.91,right,ITA-Serie A,Udinese,ARG,GK,24,1994,29,29,2610.0,29.0,40.0,1.38,144.0,105.0,77.8,9.0,8.0,12.0,7.0,24.1,8.0,8.0,0.0,0.0,0.0,2019
Jesse Joronen,/jesse-joronen/profil/spieler/131758,26,GK,Finland,1000000,5000000,FC Copenhagen,/fc-kopenhagen/startseite/verein/190,Brescia Calcio,/brescia-calcio/startseite/verein/19,in,2019,-4000000,30.0,1.97,right,ITA-Serie A,Brescia,FIN,GK,26,1993,29,29,2610.0,29.0,59.0,2.03,181.0,124.0,72.4,5.0,6.0,18.0,5.0,17.2,10.0,9.0,1.0,0.0,10.0,2020
David Ospina,/david-ospina/profil/spieler/73396,30,GK,Colombia,3000000,3500000,Arsenal FC,/fc-arsenal/startseite/verein/11,SSC Napoli,/ssc-neapel/startseite/verein/6195,in,2019,-500000,34.0,1.83,right,ITA-Serie A,Napoli,COL,GK,30,1988,17,17,1469.0,16.3,17.0,1.04,54.0,37.0,72.2,9.0,3.0,5.0,4.0,23.5,2.0,2.0,0.0,0.0,0.0,2020
Simone Colombi,/simone-colombi/profil/spieler/57285,28,GK,Italy,250000,51000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Parma Calcio 1913,/parma-calcio-1913/startseite/verein/130,in,2019,199000,32.0,1.88,right,ITA-Serie A,Parma,ITA,GK,28,1991,4,4,360.0,4.0,4.0,1.0,19.0,15.0,84.2,1.0,1.0,2.0,1.0,25.0,2.0,1.0,0.0,1.0,0.0,2020
Pau López,/pau-lopez/profil/spieler/286415,24,GK,Spain,14000000,23500000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,AS Roma,/as-rom/startseite/verein/12,in,2019,-9500000,28.0,1.89,left,ITA-Serie A,Roma,ESP,GK,24,1994,32,32,2880.0,32.0,45.0,1.41,132.0,86.0,72.0,18.0,6.0,8.0,5.0,15.6,9.0,8.0,1.0,0.0,11.1,2020
Emil Audero,/emil-audero/profil/spieler/256339,22,GK,Italy,6000000,20000000,Juventus FC,/juventus-turin/startseite/verein/506,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,in,2019,-14000000,26.0,1.92,right,ITA-Serie A,Sampdoria,ITA,GK,22,1997,36,36,3240.0,36.0,60.0,1.67,165.0,109.0,67.9,12.0,5.0,19.0,9.0,25.0,8.0,7.0,0.0,1.0,0.0,2020
Alfred Gomis,/alfred-gomis/profil/spieler/163568,25,GK,Senegal,2200000,1000000,SPAL,/spal/startseite/verein/2722,Dijon FCO,/dijon-fco/startseite/verein/2969,out,2019,1200000,29.0,1.96,right,FRA-Ligue 1,Dijon,SEN,GK,25,1993,19,19,1620.0,18.0,20.0,1.11,81.0,62.0,76.5,6.0,7.0,6.0,6.0,31.6,1.0,1.0,0.0,0.0,0.0,2020
Alex Meret,/alex-meret/profil/spieler/240414,22,GK,Italy,18000000,26000000,Udinese Calcio,/udinese-calcio/startseite/verein/410,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2019,-8000000,26.0,1.9,left,ITA-Serie A,Napoli,ITA,GK,22,1997,22,21,1951.0,21.7,33.0,1.52,84.0,51.0,66.7,9.0,5.0,7.0,3.0,14.3,6.0,5.0,1.0,0.0,16.7,2020
Ivor Pandur,/ivor-pandur/profil/spieler/371013,20,GK,Croatia,2000000,1900000,HNK Rijeka,/hnk-rijeka/startseite/verein/144,Hellas Verona,/hellas-verona/startseite/verein/276,in,2020,100000,23.0,1.87,right,ITA-Serie A,Hellas Verona,CRO,GK,20,2000,4,4,332.0,3.7,6.0,1.63,13.0,7.0,53.8,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Luigi Sepe,/luigi-sepe/profil/spieler/99254,29,GK,Italy,1000000,4580000,SSC Napoli,/ssc-neapel/startseite/verein/6195,Parma Calcio 1913,/parma-calcio-1913/startseite/verein/130,in,2020,-3580000,32.0,1.85,left,ITA-Serie A,Parma,ITA,GK,29,1991,36,36,3240.0,36.0,76.0,2.11,181.0,108.0,59.1,3.0,11.0,22.0,5.0,13.9,2.0,2.0,0.0,0.0,0.0,2021
