playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Giangiacomo Magnani,/giangiacomo-magnani/profil/spieler/310458,25,CB,Italy,3000000,4000000,US Sassuolo,/us-sassuolo/startseite/verein/6574,Hellas Verona,/hellas-verona/startseite/verein/276,in,2021,-1000000,27.0,1.91,right,ITA-Serie A,Hellas Verona,ITA,DF,25.0,1995.0,5.9,318.0,49.0,147.0,160.0,13.0,5.0,318.0,0.0,0.0,,0.0,,158.0,752.0,425.0,5.0,1.0,0.0,4.0,0.0,157.0,1.0,2022
Giangiacomo Magnani,/giangiacomo-magnani/profil/spieler/310458,25,CB,Italy,3000000,4000000,US Sassuolo,/us-sassuolo/startseite/verein/6574,Hellas Verona,/hellas-verona/startseite/verein/276,in,2021,-1000000,27.0,1.91,right,ITA-Serie A,Sampdoria,ITA,DF,25.0,1995.0,2.7,185.0,30.0,126.0,59.0,0.0,0.0,185.0,0.0,0.0,,0.0,,117.0,562.0,339.0,2.0,0.0,0.0,1.0,0.0,132.0,0.0,2022
Marash Kumbulla,/marash-kumbulla/profil/spieler/371371,21,CB,Albania,8000000,26500000,Hellas Verona,/hellas-verona/startseite/verein/276,AS Roma,/as-rom/startseite/verein/12,out,2021,-18500000,23.0,1.91,right,ITA-Serie A,Roma,ALB,DF,21.0,2000.0,11.4,737.0,48.0,348.0,368.0,24.0,9.0,737.0,1.0,1.0,100.0,0.0,0.0,453.0,2036.0,1147.0,5.0,1.0,0.0,6.0,2.0,503.0,0.0,2022
Matteo Lovato,/matteo-lovato/profil/spieler/459655,21,CB,Italy,6000000,7200000,Hellas Verona,/hellas-verona/startseite/verein/276,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2021,-1200000,23.0,1.88,right,ITA-Serie A,Atalanta,ITA,DF,21.0,2000.0,3.4,230.0,17.0,80.0,127.0,24.0,3.0,230.0,1.0,0.0,0.0,1.0,100.0,115.0,451.0,265.0,2.0,3.0,1.0,6.0,2.0,158.0,4.0,2022
Matteo Lovato,/matteo-lovato/profil/spieler/459655,21,CB,Italy,6000000,7200000,Hellas Verona,/hellas-verona/startseite/verein/276,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2021,-1200000,23.0,1.88,right,ITA-Serie A,Cagliari,ITA,DF,21.0,2000.0,13.8,729.0,110.0,418.0,305.0,15.0,6.0,729.0,4.0,3.0,75.0,1.0,25.0,319.0,1425.0,790.0,3.0,4.0,0.0,7.0,5.0,332.0,2.0,2022
Samuel Di Carmine,/samuel-di-carmine/profil/spieler/45389,32,CF,Italy,350000,600000,Hellas Verona,/hellas-verona/startseite/verein/276,US Cremonese,/us-cremonese/startseite/verein/2239,out,2021,-250000,34.0,1.87,right,ITA-Serie A,Hellas Verona,ITA,FW,32.0,1988.0,0.4,8.0,0.0,0.0,6.0,2.0,1.0,8.0,0.0,0.0,,0.0,,7.0,28.0,16.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,2022
Kelvin Yeboah,/kelvin-yeboah/profil/spieler/589737,21,CF,Italy,3500000,6500000,SK Sturm Graz,/sk-sturm-graz/startseite/verein/122,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-3000000,23.0,1.85,right,ITA-Serie A,Genoa,ITA,"FW,MF",21.0,2000.0,9.4,352.0,9.0,41.0,123.0,193.0,53.0,352.0,36.0,13.0,36.1,22.0,61.1,198.0,1318.0,527.0,23.0,15.0,10.0,44.0,13.0,240.0,60.0,2022
Silvan Hefti,/silvan-hefti/profil/spieler/237666,24,RB,Switzerland,3400000,5000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-1600000,25.0,1.82,right,ITA-Serie A,Genoa,SUI,DF,23.0,1997.0,14.3,732.0,42.0,225.0,310.0,212.0,15.0,732.0,27.0,13.0,48.1,14.0,51.9,298.0,1849.0,985.0,30.0,23.0,3.0,18.0,14.0,273.0,43.0,2022
Morten Frendrup,/morten-frendrup/profil/spieler/503871,20,CM,Denmark,4200000,3700000,Bröndby IF,/brondby-if/startseite/verein/206,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,500000,22.0,1.78,right,ITA-Serie A,Genoa,DEN,"DF,MF",20.0,2001.0,7.7,461.0,13.0,120.0,247.0,99.0,5.0,461.0,5.0,3.0,60.0,2.0,40.0,170.0,981.0,357.0,13.0,8.0,2.0,15.0,3.0,162.0,9.0,2022
Johan Vásquez,/johan-vasquez/profil/spieler/532937,23,CB,Mexico,3600000,3500000,UNAM Pumas,/unam-pumas/startseite/verein/7633,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,100000,24.0,1.85,left,ITA-Serie A,Genoa,MEX,DF,22.0,1998.0,25.3,1494.0,149.0,688.0,688.0,130.0,30.0,1494.0,9.0,2.0,22.2,7.0,77.8,675.0,2785.0,1462.0,12.0,13.0,3.0,17.0,12.0,725.0,9.0,2022
Abdoulaye Touré,/abdoulaye-toure/profil/spieler/181382,27,DM,France,1300000,3500000,FC Nantes,/fc-nantes/startseite/verein/995,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-2200000,29.0,1.88,right,ITA-Serie A,Genoa,FRA,MF,27.0,1994.0,4.8,224.0,8.0,51.0,139.0,37.0,5.0,224.0,9.0,6.0,66.7,3.0,33.3,120.0,459.0,186.0,2.0,1.0,1.0,4.0,4.0,128.0,4.0,2022
Felipe Caicedo,/felipe-caicedo/profil/spieler/37834,32,CF,Ecuador,600000,2000000,SS Lazio,/lazio-rom/startseite/verein/398,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-1400000,34.0,1.83,left,ITA-Serie A,Genoa,ECU,FW,32.0,1988.0,3.2,112.0,4.0,9.0,47.0,56.0,19.0,112.0,5.0,1.0,20.0,4.0,80.0,49.0,164.0,67.0,4.0,0.0,4.0,8.0,0.0,84.0,22.0,2022
Felipe Caicedo,/felipe-caicedo/profil/spieler/37834,32,CF,Ecuador,600000,2000000,SS Lazio,/lazio-rom/startseite/verein/398,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-1400000,34.0,1.83,left,ITA-Serie A,Inter,ECU,"FW,DF",32.0,1988.0,0.3,12.0,0.0,0.0,4.0,8.0,1.0,12.0,0.0,0.0,,0.0,,10.0,48.0,36.0,1.0,1.0,0.0,1.0,2.0,11.0,4.0,2022
Caleb Ekuban,/caleb-ekuban/profil/spieler/199953,27,CF,Ghana,1300000,1900000,Trabzonspor,/trabzonspor/startseite/verein/449,Genoa CFC,/genua-cfc/startseite/verein/252,in,2021,-600000,29.0,1.82,right,ITA-Serie A,Genoa,GHA,"FW,MF",27.0,1994.0,19.1,687.0,16.0,70.0,327.0,299.0,83.0,687.0,52.0,26.0,50.0,26.0,50.0,394.0,2076.0,817.0,31.0,17.0,21.0,73.0,38.0,483.0,133.0,2022
Eldor Shomurodov,/eldor-shomurodov/profil/spieler/358166,26,CF,Uzbekistan,6000000,18000000,Genoa CFC,/genua-cfc/startseite/verein/252,AS Roma,/as-rom/startseite/verein/12,out,2021,-12000000,28.0,1.9,right,ITA-Serie A,Roma,UZB,"FW,MF",26.0,1995.0,8.7,341.0,3.0,24.0,130.0,191.0,69.0,341.0,12.0,3.0,25.0,9.0,75.0,179.0,1367.0,654.0,28.0,15.0,12.0,22.0,16.0,248.0,85.0,2022
Musa Barrow,/musa-barrow/profil/spieler/486624,22,LW,The Gambia,11000000,14340000,Atalanta BC,/atalanta-bergamo/startseite/verein/800,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2021,-3340000,24.0,1.84,right,ITA-Serie A,Bologna,GAM,"FW,MF",22.0,1998.0,23.7,1193.0,6.0,118.0,495.0,600.0,78.0,1193.0,63.0,31.0,49.2,32.0,50.8,753.0,4411.0,2030.0,61.0,51.0,22.0,63.0,52.0,911.0,158.0,2022
Kevin Bonifazi,/kevin-bonifazi/profil/spieler/247377,25,CB,Italy,2800000,5850000,SPAL,/spal/startseite/verein/2722,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2021,-3050000,27.0,1.87,right,ITA-Serie A,Bologna,ITA,DF,25.0,1996.0,13.4,833.0,95.0,384.0,404.0,61.0,10.0,833.0,21.0,17.0,81.0,4.0,19.0,458.0,2804.0,1505.0,18.0,16.0,0.0,10.0,4.0,505.0,4.0,2022
