league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ENG-Premier League,2010,Aston Villa,Brad Friedel,USA,GK,39,1971,38,38,3420,38.0,59,1.55,189,130,68.8,12,12,14,7,18.4,,,,,,2011
ENG-Premier League,2010,Birmingham City,Ben Foster,ENG,GK,27,1983,38,38,3369,37.4,55,1.47,250,195,78.0,8,15,14,9,23.7,,,,,,2011
ENG-Premier League,2010,Birmingham City,Colin Doyle,IRL,GK,25,1985,1,0,51,0.6,3,5.29,7,4,57.1,0,0,1,0,,,,,,,2011
ENG-Premier League,2010,Blackburn,Mark Bunn,ENG,GK,25,1984,3,2,225,2.5,4,1.60,14,10,71.4,2,0,1,0,0.0,,,,,,2011
ENG-Premier League,2010,Blackburn,Paul Robinson,ENG,GK,30,1979,36,36,3195,35.5,55,1.55,180,125,69.4,9,10,16,8,22.2,,,,,,2011
ENG-Premier League,2010,Blackpool,Mark Halstead,ENG,GK,19,1990,1,0,25,0.3,0,0.00,4,4,100.0,0,0,0,0,,,,,,,2011
ENG-Premier League,2010,Blackpool,Matt Gilks,SCO,GK,28,1982,18,18,1575,17.5,35,2.00,101,66,65.3,5,5,7,3,16.7,,,,,,2011
ENG-Premier League,2010,Blackpool,Paul Rachubka,ENG,GK,29,1981,2,1,125,1.4,7,5.04,16,9,56.3,0,0,2,0,0.0,,,,,,2011
ENG-Premier League,2010,Blackpool,Richard Kingson,GHA,GK,32,1978,20,19,1695,18.8,38,2.02,119,81,68.1,5,4,10,3,15.8,,,,,,2011
ENG-Premier League,2010,Bolton,Jussi Jääskeläinen,FIN,GK,35,1975,35,35,3097,34.4,50,1.45,174,124,71.3,12,8,14,5,14.3,,,,,,2011
ENG-Premier League,2010,Bolton,Ádám Bogdán,HUN,GK,22,1987,4,3,323,3.6,6,1.67,19,13,68.4,0,2,2,0,0.0,,,,,,2011
ENG-Premier League,2010,Chelsea,Petr Čech,CZE,GK,28,1982,38,38,3420,38.0,33,0.87,148,115,77.7,21,8,9,15,39.5,,,,,,2011
ENG-Premier League,2010,Everton,Tim Howard,USA,GK,31,1979,38,38,3420,38.0,45,1.18,153,108,70.6,13,15,10,9,23.7,,,,,,2011
ENG-Premier League,2010,Fulham,David Stockdale,ENG,GK,24,1985,7,7,630,7.0,6,0.86,29,23,79.3,2,4,1,3,42.9,,,,,,2011
ENG-Premier League,2010,Fulham,Mark Schwarzer,AUS,GK,37,1972,31,31,2790,31.0,37,1.19,142,105,73.9,9,12,10,11,35.5,,,,,,2011
ENG-Premier League,2010,Liverpool,Pepe Reina,ESP,GK,27,1982,38,38,3420,38.0,44,1.16,149,105,70.5,17,7,14,14,36.8,,,,,,2011
ENG-Premier League,2010,Manchester City,Joe Hart,ENG,GK,23,1987,38,38,3420,38.0,33,0.87,153,120,78.4,21,8,9,18,47.4,,,,,,2011
ENG-Premier League,2010,Manchester Utd,Edwin van der Sar,NED,GK,39,1970,33,33,2970,33.0,32,0.97,125,93,74.4,19,10,4,14,42.4,,,,,,2011
ENG-Premier League,2010,Manchester Utd,Tomasz Kuszczak,POL,GK,28,1982,5,5,450,5.0,5,1.00,14,9,64.3,4,1,0,1,20.0,,,,,,2011
ENG-Premier League,2010,Newcastle Utd,Steve Harper,ENG,GK,35,1975,18,18,1564,17.4,22,1.27,68,46,67.6,5,6,6,4,22.2,,,,,,2011
ENG-Premier League,2010,Newcastle Utd,Tim Krul,NED,GK,22,1988,21,20,1856,20.6,35,1.70,93,58,62.4,6,7,8,4,20.0,,,,,,2011
ENG-Premier League,2010,Stoke City,Asmir Begović,BIH,GK,23,1987,28,28,2520,28.0,32,1.14,130,98,75.4,10,6,12,8,28.6,,,,,,2011
ENG-Premier League,2010,Stoke City,Thomas Sørensen,DEN,GK,34,1976,10,10,900,10.0,16,1.60,46,30,65.2,3,1,6,1,10.0,,,,,,2011
ENG-Premier League,2010,Sunderland,Craig Gordon,SCO,GK,27,1982,15,15,1350,15.0,21,1.40,81,60,74.1,6,3,6,5,33.3,,,,,,2011
ENG-Premier League,2010,Sunderland,Simon Mignolet,BEL,GK,22,1988,23,23,2070,23.0,35,1.52,125,90,72.0,6,8,9,8,34.8,,,,,,2011
ENG-Premier League,2010,Tottenham,Carlo Cudicini,ITA,GK,36,1973,8,8,720,8.0,7,0.87,27,20,74.1,3,2,3,1,12.5,,,,,,2011
ENG-Premier League,2010,Tottenham,Heurelho Gomes,BRA,GK,29,1981,30,30,2700,30.0,39,1.30,156,117,75.0,13,12,5,7,23.3,,,,,,2011
ENG-Premier League,2010,West Brom,Boaz Myhill,WAL,GK,27,1982,6,6,540,6.0,13,2.17,31,18,58.1,1,3,2,0,0.0,,,,,,2011
ENG-Premier League,2010,West Brom,Scott Carson,ENG,GK,24,1985,32,32,2880,32.0,58,1.81,151,93,61.6,11,8,13,2,6.3,,,,,,2011
ENG-Premier League,2010,West Ham,Robert Green,ENG,GK,30,1980,37,37,3330,37.0,69,1.86,240,171,71.3,7,11,19,5,13.5,,,,,,2011
ENG-Premier League,2010,West Ham,Ruud Boffin,BEL,GK,22,1987,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,,,,,,2011
ENG-Premier League,2010,Wigan Athletic,Ali Al-Habsi,OMA,GK,28,1981,34,34,3060,34.0,49,1.44,172,123,71.5,9,14,12,7,20.6,,,,,,2011
ENG-Premier League,2010,Wigan Athletic,Chris Kirkland,ENG,GK,29,1981,4,4,331,3.7,12,3.26,22,10,45.5,0,1,2,0,0.0,,,,,,2011
ENG-Premier League,2010,Wigan Athletic,Mike Pollitt,ENG,GK,38,1972,1,0,29,0.3,0,0.00,2,2,100.0,0,0,0,0,,,,,,,2011
ENG-Premier League,2010,Wolves,Marcus Hahnemann,USA,GK,38,1972,14,14,1260,14.0,25,1.79,72,47,65.3,2,3,9,0,0.0,,,,,,2011
ENG-Premier League,2010,Wolves,Wayne Hennessey,WAL,GK,23,1987,24,24,2160,24.0,41,1.71,127,86,67.7,9,4,11,5,20.8,,,,,,2011
ENG-Premier League,2011,Arsenal,Wojciech Szczęsny,POL,GK,21,1990,38,38,3420,38.0,49,1.29,135,86,63.7,21,7,10,13,34.2,,,,,,2012
ENG-Premier League,2011,Aston Villa,Brad Guzan,USA,GK,26,1984,7,6,593,6.6,8,1.21,29,21,72.4,2,1,4,1,16.7,,,,,,2012
ENG-Premier League,2011,Aston Villa,Shay Given,IRL,GK,35,1976,32,32,2827,31.4,45,1.43,156,111,71.2,5,16,10,8,25.0,,,,,,2012
ENG-Premier League,2011,Blackburn,Jake Kean,ENG,GK,20,1991,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Blackburn,Mark Bunn,ENG,GK,26,1984,3,3,270,3.0,5,1.67,19,14,73.7,1,1,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Blackburn,Paul Robinson,ENG,GK,31,1979,34,34,3060,34.0,71,2.09,165,94,57.0,7,6,21,3,8.8,,,,,,2012
ENG-Premier League,2011,Bolton,Jussi Jääskeläinen,FIN,GK,36,1975,18,18,1620,18.0,37,2.06,111,74,66.7,4,1,13,2,11.1,,,,,,2012
ENG-Premier League,2011,Bolton,Ádám Bogdán,HUN,GK,23,1987,20,20,1800,20.0,40,2.00,122,82,67.2,6,5,9,1,5.0,,,,,,2012
ENG-Premier League,2011,Chelsea,Henrique Hilário,POR,GK,35,1975,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,0,0.0,,,,,,2012
ENG-Premier League,2011,Chelsea,Petr Čech,CZE,GK,29,1982,34,34,3060,34.0,39,1.15,140,101,72.1,16,10,9,10,29.4,,,,,,2012
ENG-Premier League,2011,Chelsea,Ross Turnbull,ENG,GK,26,1985,2,2,180,2.0,5,2.50,11,6,54.5,1,0,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Everton,Tim Howard,USA,GK,32,1979,38,38,3420,38.0,40,1.05,138,98,71.0,15,11,12,12,31.6,,,,,,2012
ENG-Premier League,2011,Fulham,David Stockdale,ENG,GK,25,1985,8,8,720,8.0,14,1.75,59,45,76.3,3,3,2,1,12.5,,,,,,2012
ENG-Premier League,2011,Fulham,Mark Schwarzer,AUS,GK,38,1972,30,30,2700,30.0,37,1.23,141,104,73.8,11,7,12,10,33.3,,,,,,2012
ENG-Premier League,2011,Liverpool,Brad Jones,AUS,GK,29,1982,1,0,65,0.7,2,2.77,7,5,71.4,1,0,0,0,,,,,,,2012
ENG-Premier League,2011,Liverpool,Doni,BRA,GK,31,1979,4,4,295,3.3,3,0.92,11,8,72.7,0,1,2,0,0.0,,,,,,2012
ENG-Premier League,2011,Liverpool,Pepe Reina,ESP,GK,28,1982,34,34,3052,33.9,35,1.03,119,84,70.6,13,9,12,12,35.3,,,,,,2012
ENG-Premier League,2011,Manchester City,Joe Hart,ENG,GK,24,1987,38,38,3420,38.0,29,0.76,133,104,78.2,28,5,5,17,44.7,,,,,,2012
ENG-Premier League,2011,Manchester Utd,Anders Lindegaard,DEN,GK,27,1984,8,8,720,8.0,4,0.50,23,19,82.6,7,0,1,6,75.0,,,,,,2012
ENG-Premier League,2011,Manchester Utd,Ben Amos,ENG,GK,21,1990,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2012
ENG-Premier League,2011,Manchester Utd,David de Gea,ESP,GK,20,1990,29,29,2610,29.0,29,1.00,134,105,78.4,20,5,4,13,44.8,,,,,,2012
ENG-Premier League,2011,Newcastle Utd,Tim Krul,NED,GK,23,1988,38,38,3420,38.0,51,1.34,176,125,71.0,19,8,11,15,39.5,,,,,,2012
ENG-Premier League,2011,Norwich City,Declan Rudd,ENG,GK,20,1991,2,1,100,1.1,3,2.70,10,7,70.0,0,0,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Norwich City,John Ruddy,ENG,GK,24,1986,37,37,3320,36.9,63,1.71,218,155,71.1,12,11,14,3,8.1,,,,,,2012
ENG-Premier League,2011,QPR,Paddy Kenny,IRL,GK,33,1978,33,33,2970,33.0,59,1.79,171,112,65.5,9,6,17,7,21.2,,,,,,2012
ENG-Premier League,2011,QPR,Radek Černý,CZE,GK,37,1974,5,5,450,5.0,7,1.40,36,29,80.6,0,1,4,0,0.0,,,,,,2012
ENG-Premier League,2011,Stoke City,Asmir Begović,BIH,GK,24,1987,23,22,1998,22.2,31,1.40,108,77,71.3,7,8,8,7,31.8,,,,,,2012
ENG-Premier League,2011,Stoke City,Thomas Sørensen,DEN,GK,35,1976,16,16,1422,15.8,22,1.39,69,47,68.1,4,4,7,2,12.5,,,,,,2012
ENG-Premier League,2011,Sunderland,Craig Gordon,SCO,GK,28,1982,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,,,,,,2012
ENG-Premier League,2011,Sunderland,Keiren Westwood,IRL,GK,26,1984,9,8,759,8.4,11,1.30,27,16,59.3,2,3,4,1,12.5,,,,,,2012
