league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ESP-La Liga,2007,Osasuna,Ricardo,ESP,GK,35,1971,37,37,3247,36.1,42,1.16,144,102,70.8,11,7,17,10,27.0,,,,,,2008
ESP-La Liga,2007,Racing Sant,Fabio Coltorti,SUI,GK,26,1980,7,6,588,6.5,10,1.53,29,19,65.5,2,2,3,2,33.3,,,,,,2008
ESP-La Liga,2007,Racing Sant,Toño,ESP,GK,27,1979,32,32,2818,31.3,31,0.99,122,91,74.6,15,7,9,16,50.0,,,,,,2008
ESP-La Liga,2007,Real Madrid,Iker Casillas,ESP,GK,26,1981,36,36,3240,36.0,32,0.89,160,128,80.0,26,3,7,14,38.9,,,,,,2008
ESP-La Liga,2007,Real Madrid,Jerzy Dudek,POL,GK,34,1973,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,,,,,,2008
ESP-La Liga,2007,Real Madrid,Jordi Codina,ESP,GK,25,1982,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,,,,,,2008
ESP-La Liga,2007,Real Murcia,Alberto García,ESP,GK,22,1985,1,1,90,1.0,5,5.00,10,5,50.0,0,0,1,0,0.0,,,,,,2008
ESP-La Liga,2007,Real Murcia,Antonio Notario,ESP,GK,34,1972,26,26,2340,26.0,41,1.58,146,105,71.9,5,7,14,4,15.4,,,,,,2008
ESP-La Liga,2007,Real Murcia,Fabián Carini,URU,GK,27,1979,11,11,990,11.0,19,1.73,73,54,74.0,2,2,7,4,36.4,,,,,,2008
ESP-La Liga,2007,Recreativo,Stefano Sorrentino,ITA,GK,28,1979,38,38,3420,38.0,60,1.58,177,117,66.1,11,11,16,8,21.1,,,,,,2008
ESP-La Liga,2007,Sevilla,Andrés Palop,ESP,GK,33,1973,31,31,2788,31.0,41,1.32,126,85,67.5,16,3,12,9,29.0,,,,,,2008
ESP-La Liga,2007,Sevilla,Morgan De Sanctis,ITA,GK,30,1977,8,7,632,7.0,8,1.14,33,25,75.8,4,1,2,2,28.6,,,,,,2008
ESP-La Liga,2007,Valencia,Juan Luis Mora,ESP,GK,34,1973,2,2,180,2.0,7,3.50,16,9,56.3,0,1,1,0,0.0,,,,,,2008
ESP-La Liga,2007,Valencia,Santiago Cañizares,ESP,GK,37,1969,10,10,900,10.0,15,1.50,49,34,69.4,5,1,4,2,20.0,,,,,,2008
ESP-La Liga,2007,Valencia,Timo Hildebrand,GER,GK,28,1979,26,26,2340,26.0,40,1.54,141,101,71.6,10,4,12,7,26.9,,,,,,2008
ESP-La Liga,2007,Valladolid,Alberto,ESP,GK,38,1969,7,6,599,6.7,12,1.80,31,19,61.3,2,2,3,1,16.7,,,,,,2008
ESP-La Liga,2007,Valladolid,Ludovic Butelle,FRA,GK,24,1983,8,8,662,7.4,16,2.18,41,25,61.0,1,2,4,1,12.5,,,,,,2008
ESP-La Liga,2007,Valladolid,Sergio Asenjo,ESP,GK,18,1989,24,24,2143,23.8,29,1.22,114,85,74.6,8,8,8,9,37.5,,,,,,2008
ESP-La Liga,2007,Villarreal,Diego López,ESP,GK,25,1981,20,20,1726,19.2,13,0.68,71,58,81.7,13,4,2,11,55.0,,,,,,2008
ESP-La Liga,2007,Villarreal,Sebastián Viera,URU,GK,24,1983,18,18,1620,18.0,27,1.50,81,54,66.7,11,1,6,7,38.9,,,,,,2008
ESP-La Liga,2007,Zaragoza,César Sánchez,ESP,GK,35,1971,37,37,3256,36.2,57,1.58,174,117,67.2,10,11,15,7,18.9,,,,,,2008
ESP-La Liga,2007,Zaragoza,Javier López Vallejo,ESP,GK,31,1975,2,1,164,1.8,4,2.20,11,7,63.6,0,1,1,0,0.0,,,,,,2008
ESP-La Liga,2008,Almería,Diego Alves,BRA,GK,23,1985,31,31,2790,31.0,54,1.74,162,108,66.7,8,7,16,3,9.7,,,,,,2009
ESP-La Liga,2008,Almería,Esteban,ESP,GK,33,1975,7,7,630,7.0,7,1.00,31,24,77.4,5,0,2,2,28.6,,,,,,2009
ESP-La Liga,2008,Athletic Club,Armando,ESP,GK,37,1971,2,2,180,2.0,2,1.00,8,6,75.0,1,0,1,1,50.0,,,,,,2009
ESP-La Liga,2008,Athletic Club,Gorka Iraizoz,ESP,GK,27,1981,36,36,3240,36.0,60,1.67,164,104,63.4,11,8,17,6,16.7,,,,,,2009
ESP-La Liga,2008,Atlético Madrid,Grégory Coupet,FRA,GK,35,1972,6,6,540,6.0,9,1.50,20,11,55.0,2,1,3,3,50.0,,,,,,2009
ESP-La Liga,2008,Atlético Madrid,Leo Franco,ARG,GK,31,1977,32,32,2880,32.0,48,1.50,153,105,68.6,18,6,8,7,21.9,,,,,,2009
ESP-La Liga,2008,Barcelona,José Manuel Pinto,ESP,GK,32,1975,2,2,180,2.0,2,1.00,10,8,80.0,0,1,1,0,0.0,,,,,,2009
ESP-La Liga,2008,Barcelona,Oier Olazábal,ESP,GK,18,1989,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,,,,,,2009
ESP-La Liga,2008,Barcelona,Víctor Valdés,ESP,GK,26,1982,35,35,3150,35.0,31,0.89,108,77,71.3,27,5,3,15,42.9,,,,,,2009
ESP-La Liga,2008,Betis,Casto,ESP,GK,26,1982,18,18,1620,18.0,25,1.39,98,73,74.5,6,3,9,4,22.2,,,,,,2009
ESP-La Liga,2008,Betis,Ricardo,POR,GK,32,1976,20,20,1799,20.0,33,1.65,96,63,65.6,4,9,7,3,15.0,,,,,,2009
ESP-La Liga,2008,Espanyol,Carlos Kameni,CMR,GK,24,1984,37,37,3329,37.0,48,1.30,172,124,72.1,12,10,15,12,32.4,,,,,,2009
ESP-La Liga,2008,Espanyol,Cristian Álvarez,ARG,GK,22,1985,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,,,,,,2009
ESP-La Liga,2008,Getafe,Jacobo,ESP,GK,25,1983,17,16,1494,16.6,22,1.33,69,47,68.1,3,7,7,2,12.5,,,,,,2009
ESP-La Liga,2008,Getafe,Pato Abbondanzieri,ARG,GK,35,1972,13,13,1083,12.0,21,1.75,57,36,63.2,4,3,5,1,7.7,,,,,,2009
ESP-La Liga,2008,Getafe,Vladimir Stojković,SRB,GK,25,1983,5,5,450,5.0,8,1.60,28,20,71.4,1,0,4,1,20.0,,,,,,2009
ESP-La Liga,2008,Getafe,Óscar Ustari,ARG,GK,22,1986,5,4,392,4.4,2,0.46,11,9,81.8,2,2,0,2,50.0,,,,,,2009
ESP-La Liga,2008,La Coruña,Daniel Aranzubia,ESP,GK,28,1979,37,37,3323,36.9,46,1.25,169,123,72.8,16,10,11,14,37.8,,,,,,2009
ESP-La Liga,2008,La Coruña,Gustavo Munúa,URU,GK,30,1978,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,,,,,,2009
ESP-La Liga,2008,Mallorca,Dudu Aouate,ISR,GK,30,1977,14,14,1239,13.8,17,1.23,51,34,66.7,7,3,3,5,35.7,,,,,,2009
ESP-La Liga,2008,Mallorca,Germán Lux,ARG,GK,26,1982,14,11,1057,11.7,23,1.96,59,36,61.0,2,4,6,2,18.2,,,,,,2009
ESP-La Liga,2008,Mallorca,Miguel Ángel Moyá,ESP,GK,24,1984,13,13,1125,12.5,20,1.60,65,45,69.2,5,2,6,3,23.1,,,,,,2009
ESP-La Liga,2008,Málaga,Francesc Arnau,ESP,GK,33,1975,13,13,1170,13.0,23,1.77,68,45,66.2,4,3,6,3,23.1,,,,,,2009
ESP-La Liga,2008,Málaga,Iñaki Goitia,ESP,GK,26,1982,25,25,2250,25.0,36,1.44,144,108,75.0,11,7,7,5,20.0,,,,,,2009
ESP-La Liga,2008,Numancia,Juan Pablo Colinas,ESP,GK,29,1978,37,37,3330,37.0,64,1.73,189,125,66.1,10,5,22,7,18.9,,,,,,2009
ESP-La Liga,2008,Numancia,Marián Kelemen,SVK,GK,28,1979,1,1,90,1.0,5,5.00,9,4,44.4,0,0,1,0,0.0,,,,,,2009
ESP-La Liga,2008,Osasuna,Ricardo,ESP,GK,36,1971,12,12,1080,12.0,13,1.08,41,28,68.3,2,5,5,4,33.3,,,,,,2009
ESP-La Liga,2008,Osasuna,Roberto,ESP,GK,29,1979,26,26,2340,26.0,34,1.31,130,96,73.8,8,8,10,8,30.8,,,,,,2009
ESP-La Liga,2008,Racing Sant,Fabio Coltorti,SUI,GK,27,1980,6,4,421,4.7,6,1.28,19,13,68.4,0,1,4,0,0.0,,,,,,2009
ESP-La Liga,2008,Racing Sant,Toño,ESP,GK,28,1979,34,34,2999,33.3,42,1.26,151,109,72.2,12,9,12,10,29.4,,,,,,2009
ESP-La Liga,2008,Real Madrid,Iker Casillas,ESP,GK,27,1981,38,38,3420,38.0,52,1.37,175,123,70.3,25,3,10,14,36.8,,,,,,2009
ESP-La Liga,2008,Recreativo,Asier Riesgo,ESP,GK,24,1983,38,38,3420,38.0,57,1.50,176,119,67.6,8,9,21,5,13.2,,,,,,2009
ESP-La Liga,2008,Sevilla,Andrés Palop,ESP,GK,34,1973,35,35,3150,35.0,35,1.00,138,103,74.6,19,7,9,16,45.7,,,,,,2009
ESP-La Liga,2008,Sevilla,Javi Varas,ESP,GK,25,1982,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,2,66.7,,,,,,2009
ESP-La Liga,2008,Sporting Gijón,Iván Cuéllar,ESP,GK,24,1984,18,18,1606,17.8,28,1.57,89,61,68.5,9,1,8,3,16.7,,,,,,2009
ESP-La Liga,2008,Sporting Gijón,Iñaki Lafuente,ESP,GK,32,1976,13,12,1095,12.2,28,2.30,70,42,60.0,3,0,9,1,8.3,,,,,,2009
ESP-La Liga,2008,Sporting Gijón,Sergio Sánchez,ESP,GK,31,1977,8,8,720,8.0,23,2.87,52,29,55.8,2,0,6,1,12.5,,,,,,2009
ESP-La Liga,2008,Valencia,César Sánchez,ESP,GK,36,1971,18,18,1620,18.0,24,1.33,85,61,71.8,8,4,6,3,16.7,,,,,,2009
ESP-La Liga,2008,Valencia,Renan Brito Soares,BRA,GK,23,1985,19,19,1661,18.5,25,1.35,78,53,67.9,10,4,4,7,36.8,,,,,,2009
ESP-La Liga,2008,Valencia,Vicente Guaita,ESP,GK,21,1987,2,1,139,1.5,5,3.24,13,8,61.5,0,0,2,0,0.0,,,,,,2009
ESP-La Liga,2008,Valladolid,Justo Villar,PAR,GK,31,1977,15,15,1350,15.0,29,1.93,71,42,59.2,6,2,7,2,13.3,,,,,,2009
ESP-La Liga,2008,Valladolid,Sergio Asenjo,ESP,GK,19,1989,23,23,2070,23.0,29,1.26,114,85,74.6,6,5,12,7,30.4,,,,,,2009
ESP-La Liga,2008,Villarreal,Diego López,ESP,GK,26,1981,38,38,3420,38.0,54,1.42,175,121,69.1,18,11,9,8,21.1,,,,,,2009
ESP-La Liga,2009,Almería,Diego Alves,BRA,GK,24,1985,37,37,3302,36.7,52,1.42,216,164,75.9,10,12,15,9,24.3,,,,,,2010
ESP-La Liga,2009,Almería,Esteban,ESP,GK,34,1975,2,1,118,1.3,3,2.29,9,6,66.7,0,0,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Athletic Club,Armando,ESP,GK,38,1971,1,1,90,1.0,0,0.00,6,6,100.0,1,0,0,1,100.0,,,,,,2010
ESP-La Liga,2009,Athletic Club,Gorka Iraizoz,ESP,GK,28,1981,37,37,3330,37.0,53,1.43,195,142,72.8,14,9,14,11,29.7,,,,,,2010
ESP-La Liga,2009,Atlético Madrid,David de Gea,ESP,GK,18,1990,19,19,1710,19.0,28,1.47,82,54,65.9,8,3,8,3,15.8,,,,,,2010
ESP-La Liga,2009,Atlético Madrid,Joel Robles,ESP,GK,19,1990,2,1,168,1.9,4,2.14,9,5,55.6,0,1,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Atlético Madrid,Roberto,ESP,GK,23,1986,3,3,270,3.0,9,3.00,22,13,59.1,0,2,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Atlético Madrid,Sergio Asenjo,ESP,GK,20,1989,15,15,1272,14.1,20,1.42,74,54,73.0,5,2,7,3,20.0,,,,,,2010
ESP-La Liga,2009,Barcelona,Víctor Valdés,ESP,GK,27,1982,38,38,3420,38.0,24,0.63,116,92,79.3,31,6,1,20,52.6,,,,,,2010
ESP-La Liga,2009,Espanyol,Carlos Kameni,CMR,GK,25,1984,30,30,2700,30.5,37,1.23,126,89,70.6,8,9,13,10,33.3,,,,,,2010
ESP-La Liga,2009,Espanyol,Cristian Álvarez,ARG,GK,23,1985,8,7,670,7.4,6,0.81,22,16,72.7,3,2,3,3,42.9,,,,,,2010
ESP-La Liga,2009,Getafe,Jordi Codina,ESP,GK,27,1982,22,22,1980,22.0,24,1.09,90,66,73.3,10,6,6,7,31.8,,,,,,2010
ESP-La Liga,2009,Getafe,Óscar Ustari,ARG,GK,23,1986,16,16,1440,16.0,24,1.50,80,56,70.0,7,1,8,4,25.0,,,,,,2010
ESP-La Liga,2009,La Coruña,Daniel Aranzubia,ESP,GK,29,1979,36,36,3161,35.1,44,1.25,182,138,75.8,13,8,14,13,36.1,,,,,,2010
ESP-La Liga,2009,La Coruña,Manu,ESP,GK,23,1986,3,2,259,2.9,5,1.74,22,17,77.3,0,0,3,0,0.0,,,,,,2010
ESP-La Liga,2009,Mallorca,Dudu Aouate,ISR,GK,31,1977,38,38,3375,37.5,44,1.17,166,122,73.5,18,8,12,12,31.6,,,,,,2010
ESP-La Liga,2009,Mallorca,Germán Lux,ARG,GK,27,1982,1,0,45,0.5,0,0.00,3,3,100.0,0,0,0,0,,,,,,,2010
ESP-La Liga,2009,Málaga,Gustavo Munúa,URU,GK,31,1978,38,38,3420,38.0,48,1.26,178,130,73.0,7,16,15,7,18.4,,,,,,2010
ESP-La Liga,2009,Osasuna,Ricardo,ESP,GK,37,1971,36,36,3240,36.0,43,1.19,152,109,71.7,11,9,16,11,30.6,,,,,,2010
ESP-La Liga,2009,Osasuna,Roberto,ESP,GK,30,1979,2,2,180,2.0,3,1.50,13,10,76.9,0,1,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Racing Sant,Fabio Coltorti,SUI,GK,28,1980,23,22,2001,22.2,34,1.53,108,74,68.5,6,8,8,6,27.3,,,,,,2010
ESP-La Liga,2009,Racing Sant,Toño,ESP,GK,29,1979,16,16,1419,15.8,25,1.59,75,50,66.7,3,4,9,2,12.5,,,,,,2010
ESP-La Liga,2009,Real Madrid,Iker Casillas,ESP,GK,28,1981,38,38,3420,38.0,35,0.92,140,105,75.0,31,3,4,15,39.5,,,,,,2010
ESP-La Liga,2009,Sevilla,Andrés Palop,ESP,GK,35,1973,33,33,2970,33.0,45,1.36,161,116,72.0,17,4,12,9,27.3,,,,,,2010
ESP-La Liga,2009,Sevilla,Javi Varas,ESP,GK,26,1982,5,5,450,5.0,4,0.80,10,6,60.0,2,2,1,2,40.0,,,,,,2010
ESP-La Liga,2009,Sporting Gijón,Juan Pablo Colinas,ESP,GK,30,1978,38,38,3420,38.0,51,1.34,174,123,70.7,9,13,16,8,21.1,,,,,,2010
ESP-La Liga,2009,Tenerife,Sergio Aragoneses,ESP,GK,32,1977,38,38,3420,38.0,74,1.95,188,114,60.6,9,9,20,6,15.8,,,,,,2010
ESP-La Liga,2009,Valencia,César Sánchez,ESP,GK,37,1971,30,30,2700,30.0,29,0.97,135,106,78.5,18,5,7,14,46.7,,,,,,2010
ESP-La Liga,2009,Valencia,Miguel Ángel Moyá,ESP,GK,25,1984,8,8,720,8.0,11,1.37,35,24,68.6,3,3,2,3,37.5,,,,,,2010
ESP-La Liga,2009,Valladolid,Fabricio,ESP,GK,21,1987,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Valladolid,Jacobo,ESP,GK,26,1983,15,14,1305,14.5,25,1.72,69,44,63.8,4,4,6,4,28.6,,,,,,2010
ESP-La Liga,2009,Valladolid,Justo Villar,PAR,GK,32,1977,23,23,2005,22.3,35,1.57,101,66,65.3,3,11,9,5,21.7,,,,,,2010
ESP-La Liga,2009,Villarreal,Diego López,ESP,GK,27,1981,38,38,3420,38.0,57,1.50,165,108,65.5,16,8,14,10,26.3,,,,,,2010
ESP-La Liga,2009,Xerez,Chema,ESP,GK,29,1980,3,3,270,3.0,5,1.67,20,15,75.0,2,0,1,0,0.0,,,,,,2010
ESP-La Liga,2009,Xerez,Renan Brito Soares,BRA,GK,24,1985,35,35,3150,35.0,61,1.74,180,119,66.1,6,10,19,5,14.3,,,,,,2010
ESP-La Liga,2009,Zaragoza,Javier López Vallejo,ESP,GK,33,1975,7,7,630,7.0,18,2.57,41,23,56.1,1,1,5,0,0.0,,,,,,2010
ESP-La Liga,2009,Zaragoza,Juan Pablo Carrizo,ARG,GK,25,1984,16,16,1440,16.0,29,1.81,80,51,63.8,4,5,7,4,25.0,,,,,,2010
ESP-La Liga,2009,Zaragoza,Roberto,ESP,GK,23,1986,15,15,1350,15.0,17,1.13,77,60,77.9,5,5,5,7,46.7,,,,,,2010
ESP-La Liga,2010,Almería,Diego Alves,BRA,GK,25,1985,33,33,2970,33.0,56,1.70,193,137,71.0,5,11,17,2,6.1,,,,,,2011
ESP-La Liga,2010,Almería,Esteban,ESP,GK,35,1975,5,5,450,5.0,14,2.80,41,27,65.9,1,1,3,1,20.0,,,,,,2011
ESP-La Liga,2010,Athletic Club,Gorka Iraizoz,ESP,GK,29,1981,37,37,3330,37.0,54,1.46,171,117,68.4,18,4,16,9,24.3,,,,,,2011
ESP-La Liga,2010,Athletic Club,Raúl Fernández,ESP,GK,22,1988,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,,,,,,2011
ESP-La Liga,2010,Atlético Madrid,David de Gea,ESP,GK,19,1990,38,38,3420,38.0,53,1.39,199,146,73.4,17,7,14,11,28.9,,,,,,2011
ESP-La Liga,2010,Barcelona,José Manuel Pinto,ESP,GK,34,1975,6,6,540,6.0,5,0.83,20,15,75.0,5,0,1,2,33.3,,,,,,2011
ESP-La Liga,2010,Barcelona,Víctor Valdés,ESP,GK,28,1982,32,32,2880,32.0,16,0.50,96,80,83.3,25,6,1,17,53.1,,,,,,2011
ESP-La Liga,2010,Espanyol,Carlos Kameni,CMR,GK,26,1984,33,33,2970,33.0,47,1.42,181,134,74.0,12,4,17,9,27.3,,,,,,2011
ESP-La Liga,2010,Espanyol,Cristian Álvarez,ARG,GK,24,1985,5,5,450,5.0,8,1.60,25,17,68.0,3,0,2,1,20.0,,,,,,2011
ESP-La Liga,2010,Getafe,Jordi Codina,ESP,GK,28,1982,23,22,2056,22.8,33,1.44,117,84,71.8,7,6,10,7,31.8,,,,,,2011
ESP-La Liga,2010,Getafe,Óscar Ustari,ARG,GK,24,1986,16,16,1364,15.2,27,1.78,87,60,69.0,5,2,8,3,18.8,,,,,,2011
ESP-La Liga,2010,Hércules,Juan Calatayud,ESP,GK,30,1979,34,34,3049,33.9,53,1.56,185,132,71.4,11,7,16,7,20.6,,,,,,2011
ESP-La Liga,2010,Hércules,Piet Velthuizen,NED,GK,23,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,,,,,,2011
ESP-La Liga,2010,Hércules,Unai Alba,ESP,GK,32,1978,2,1,101,1.1,2,1.78,6,4,66.7,0,1,0,1,100.0,,,,,,2011
ESP-La Liga,2010,La Coruña,Daniel Aranzubia,ESP,GK,30,1979,32,32,2880,32.0,36,1.13,145,109,75.2,10,10,12,11,34.4,,,,,,2011
ESP-La Liga,2010,La Coruña,Manu,ESP,GK,24,1986,6,6,540,6.0,11,1.83,39,28,71.8,0,3,3,2,33.3,,,,,,2011
ESP-La Liga,2010,Levante,Gustavo Munúa,URU,GK,32,1978,20,20,1800,20.0,27,1.35,88,61,69.3,8,5,7,7,35.0,,,,,,2011
ESP-La Liga,2010,Levante,Manolo Reina,ESP,GK,25,1985,18,18,1620,18.0,25,1.39,96,71,74.0,4,4,10,3,16.7,,,,,,2011
ESP-La Liga,2010,Mallorca,Dudu Aouate,ISR,GK,32,1977,35,35,3105,34.5,54,1.57,166,112,67.5,11,6,17,8,22.9,,,,,,2011
ESP-La Liga,2010,Mallorca,Germán Lux,ARG,GK,28,1982,4,3,315,3.5,2,0.57,9,7,77.8,1,2,1,2,66.7,,,,,,2011
ESP-La Liga,2010,Málaga,Francesc Arnau,ESP,GK,35,1975,9,7,719,8.0,12,1.50,38,26,68.4,2,1,5,2,28.6,,,,,,2011
ESP-La Liga,2010,Málaga,Rodrigo Galatto,BRA,GK,27,1983,4,4,360,4.0,12,3.00,34,22,64.7,1,0,3,0,0.0,,,,,,2011
ESP-La Liga,2010,Málaga,Rubén,ESP,GK,26,1984,7,7,630,7.0,14,2.00,49,35,71.4,2,1,4,1,14.3,,,,,,2011
ESP-La Liga,2010,Málaga,Sergio Asenjo,ESP,GK,21,1989,5,5,366,4.1,11,2.70,28,17,60.7,1,2,3,1,20.0,,,,,,2011
ESP-La Liga,2010,Málaga,Willy Caballero,ARG,GK,28,1981,15,15,1345,14.9,19,1.27,74,55,74.3,7,3,4,5,33.3,,,,,,2011
ESP-La Liga,2010,Osasuna,Ricardo,ESP,GK,38,1971,38,38,3420,38.0,46,1.21,171,125,73.1,13,8,17,14,36.8,,,,,,2011
ESP-La Liga,2010,Racing Sant,Mario Fernández,ESP,GK,22,1988,1,1,90,1.0,2,2.00,11,9,81.8,0,0,1,0,0.0,,,,,,2011
ESP-La Liga,2010,Racing Sant,Toño,ESP,GK,30,1979,37,37,3330,37.0,54,1.46,184,130,70.7,12,10,15,9,24.3,,,,,,2011
ESP-La Liga,2010,Real Madrid,Antonio Adán,ESP,GK,23,1987,3,2,260,2.9,0,0.00,7,7,100.0,2,0,0,2,100.0,,,,,,2011
ESP-La Liga,2010,Real Madrid,Iker Casillas,ESP,GK,29,1981,35,35,3062,34.0,32,0.94,115,83,72.2,26,5,4,14,40.0,,,,,,2011
ESP-La Liga,2010,Real Madrid,Jerzy Dudek,POL,GK,37,1973,1,1,76,0.8,1,1.18,2,1,50.0,1,0,0,0,0.0,,,,,,2011
ESP-La Liga,2010,Real Madrid,Tomás Mejías,ESP,GK,21,1989,1,0,8,0.1,0,0.00,0,0,,0,0,0,0,,,,,,,2011
ESP-La Liga,2010,Real Sociedad,Claudio Bravo,CHI,GK,27,1983,38,38,3420,38.0,66,1.74,205,139,67.8,14,3,21,9,23.7,,,,,,2011
ESP-La Liga,2010,Sevilla,Andrés Palop,ESP,GK,36,1973,19,19,1632,18.1,28,1.54,91,63,69.2,7,4,7,3,15.8,,,,,,2011
ESP-La Liga,2010,Sevilla,Javi Varas,ESP,GK,27,1982,21,19,1788,19.9,33,1.66,115,82,71.3,10,3,7,5,26.3,,,,,,2011
ESP-La Liga,2010,Sporting Gijón,Iván Cuéllar,ESP,GK,26,1984,13,13,1147,12.7,12,0.94,45,33,73.3,4,4,4,6,46.2,,,,,,2011
ESP-La Liga,2010,Sporting Gijón,Juan Pablo Colinas,ESP,GK,31,1978,25,24,2183,24.3,29,1.20,104,75,72.1,6,10,9,8,33.3,,,,,,2011
ESP-La Liga,2010,Sporting Gijón,Raúl Domínguez,ESP,GK,23,1986,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,,,,,,2011
ESP-La Liga,2010,Valencia,César Sánchez,ESP,GK,38,1971,15,15,1265,14.1,14,1.00,68,54,79.4,8,4,1,5,33.3,,,,,,2011
ESP-La Liga,2010,Valencia,Miguel Ángel Moyá,ESP,GK,26,1984,4,4,360,4.0,4,1.00,18,14,77.8,1,2,1,1,25.0,,,,,,2011
ESP-La Liga,2010,Valencia,Vicente Guaita,ESP,GK,23,1987,21,19,1795,19.9,26,1.30,94,68,72.3,12,2,7,6,31.6,,,,,,2011
ESP-La Liga,2010,Villarreal,Diego López,ESP,GK,28,1981,38,38,3420,38.0,44,1.16,174,130,74.7,18,8,12,13,34.2,,,,,,2011
ESP-La Liga,2010,Zaragoza,Leo Franco,ARG,GK,33,1977,23,21,1876,20.8,32,1.54,96,64,66.7,6,6,10,6,28.6,,,,,,2011
ESP-La Liga,2010,Zaragoza,Toni Doblas,ESP,GK,29,1980,18,17,1543,17.1,21,1.22,76,55,72.4,6,3,7,3,17.6,,,,,,2011
ESP-La Liga,2011,Athletic Club,Gorka Iraizoz,ESP,GK,30,1981,37,37,3330,37.0,52,1.41,216,164,75.9,12,13,13,8,21.6,,,,,,2012
ESP-La Liga,2011,Athletic Club,Raúl Fernández,ESP,GK,23,1988,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,,,,,,2012
ESP-La Liga,2011,Atlético Madrid,Sergio Asenjo,ESP,GK,22,1989,2,1,159,1.8,5,2.83,12,7,58.3,1,0,1,0,0.0,,,,,,2012
ESP-La Liga,2011,Atlético Madrid,Thibaut Courtois,BEL,GK,19,1992,37,37,3261,36.2,41,1.13,135,94,69.6,14,11,11,15,40.5,,,,,,2012
ESP-La Liga,2011,Barcelona,José Manuel Pinto,ESP,GK,35,1975,3,3,270,3.0,1,0.33,11,10,90.9,3,0,0,2,66.7,,,,,,2012
ESP-La Liga,2011,Barcelona,Víctor Valdés,ESP,GK,29,1982,35,35,3150,35.0,28,0.80,95,67,70.5,25,7,3,17,48.6,,,,,,2012
ESP-La Liga,2011,Betis,Casto,ESP,GK,29,1982,22,22,1960,21.8,31,1.42,117,86,73.5,0,0,0,5,22.7,,,,,,2012
ESP-La Liga,2011,Betis,Fabricio,ESP,GK,23,1987,15,15,1350,15.0,22,1.47,77,55,71.4,6,5,4,3,20.0,,,,,,2012
ESP-La Liga,2011,Betis,Iñaki Goitia,ESP,GK,29,1982,2,1,110,1.2,3,2.45,6,3,50.0,1,0,1,0,0.0,,,,,,2012
ESP-La Liga,2011,Espanyol,Cristian Álvarez,ARG,GK,25,1985,23,23,2059,22.9,34,1.49,113,79,69.9,8,3,11,7,30.4,,,,,,2012
ESP-La Liga,2011,Espanyol,Kiko Casilla,ESP,GK,24,1986,16,15,1361,15.1,22,1.45,88,66,75.0,4,7,5,4,26.7,,,,,,2012
ESP-La Liga,2011,Getafe,Jordi Codina,ESP,GK,29,1982,2,2,180,2.0,3,1.50,10,7,70.0,0,1,1,1,50.0,,,,,,2012
ESP-La Liga,2011,Getafe,Miguel Ángel Moyá,ESP,GK,27,1984,36,36,3240,36.0,48,1.33,192,144,75.0,12,11,15,9,25.0,,,,,,2012
ESP-La Liga,2011,Granada,Júlio César,BRA,GK,24,1986,16,16,1440,16.0,27,1.69,77,50,64.9,5,2,9,2,12.5,,,,,,2012
ESP-La Liga,2011,Granada,Roberto,ESP,GK,32,1979,22,22,1980,22.0,29,1.32,134,105,78.4,7,4,11,6,27.3,,,,,,2012
ESP-La Liga,2011,Levante,Gustavo Munúa,URU,GK,33,1978,37,37,3330,37.0,50,1.35,188,138,73.4,10,6,13,11,29.7,,,,,,2012
ESP-La Liga,2011,Levante,Keylor Navas,CRC,GK,24,1986,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,,,,,,2012
ESP-La Liga,2011,Mallorca,Dudu Aouate,ISR,GK,33,1977,37,37,3277,36.4,46,1.26,199,153,76.9,0,0,0,11,29.7,,,,,,2012
ESP-La Liga,2011,Mallorca,Juan Calatayud,ESP,GK,31,1979,3,1,143,1.6,0,0.00,5,5,100.0,1,0,0,1,100.0,,,,,,2012
