league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2018,Burnley,Jeff Hendrick,IRL,"MF,FW",26,1992,22.9,39,1.70,30,0,1,5,2,1,1,0.04,0,0,0,1,0,0,2019
ENG-Premier League,2018,Burnley,Joe Hart,ENG,GK,31,1987,19.0,3,0.16,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Jóhann Berg Guðmundsson,ISL,MF,27,1990,19.5,71,3.65,40,17,1,8,5,0,9,0.46,6,1,0,2,0,0,2019
ENG-Premier League,2018,Burnley,Kevin Long,IRL,DF,27,1990,5.7,2,0.35,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Matthew Lowton,ENG,DF,29,1989,19.4,22,1.13,18,2,1,1,0,0,1,0.05,1,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Matěj Vydra,CZE,FW,26,1992,3.5,8,2.26,6,0,0,2,0,0,3,0.85,3,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Peter Crouch,ENG,FW,37,1981,1.0,3,2.93,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Phil Bardsley,SCO,DF,33,1985,18.6,20,1.08,16,2,1,0,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Robbie Brady,IRL,MF,26,1992,8.0,25,3.12,15,6,1,0,2,1,1,0.12,0,1,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Sam Vokes,WAL,FW,28,1989,10.2,14,1.38,12,0,0,2,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Stephen Ward,IRL,DF,32,1985,2.5,3,1.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Steven Defour,BEL,MF,30,1988,5.0,6,1.20,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,12,0.63,6,5,0,1,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Aron Gunnarsson,ISL,MF,29,1989,25.2,44,1.75,28,9,0,1,5,1,2,0.08,2,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Bobby Reid,JAM,"FW,MF",25,1993,15.8,37,2.34,25,0,3,5,4,0,7,0.44,4,0,1,2,0,0,2019
ENG-Premier League,2018,Cardiff City,Bruno Ecuele Manga,GAB,DF,30,1988,37.5,24,0.64,17,3,0,3,1,0,4,0.11,3,0,0,1,0,0,2019
ENG-Premier League,2018,Cardiff City,Callum Paterson,SCO,"FW,MF",23,1994,22.2,44,1.98,35,0,0,6,3,0,2,0.09,0,0,0,2,0,0,2019
ENG-Premier League,2018,Cardiff City,Danny Ward,ENG,FW,26,1991,4.9,15,3.04,11,1,0,1,2,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Gary Madine,ENG,"FW,MF",27,1990,0.4,3,7.30,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Greg Cunningham,IRL,DF,27,1991,7.0,9,1.29,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Harry Arter,IRL,MF,28,1989,22.2,37,1.67,32,1,1,2,1,0,6,0.27,5,0,0,1,0,0,2019
ENG-Premier League,2018,Cardiff City,Jazz Richards,WAL,"DF,MF",27,1991,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Joe Bennett,ENG,DF,28,1990,29.3,34,1.16,29,1,0,1,3,0,2,0.07,1,0,0,0,1,0,2019
ENG-Premier League,2018,Cardiff City,Joe Ralls,ENG,MF,24,1993,21.8,61,2.80,28,26,1,4,1,1,2,0.09,0,2,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Josh Murphy,ENG,"MF,FW",23,1995,20.2,55,2.72,28,4,4,8,11,0,2,0.10,2,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Junior Hoilett,CAN,"MF,FW",28,1990,23.8,56,2.35,31,9,4,4,7,1,2,0.08,2,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Kadeem Harris,ENG,MF,25,1993,4.2,12,2.88,9,0,1,1,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Kenneth Zohore,DEN,FW,24,1994,8.4,22,2.63,18,0,1,1,2,0,1,0.12,1,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Leandro Bacuna,CUW,MF,26,1991,6.2,7,1.12,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Lee Peltier,ENG,DF,31,1986,17.2,12,0.70,9,2,0,0,1,0,1,0.06,0,1,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Loïc Damour,FRA,MF,27,1991,0.3,2,7.83,1,0,0,1,0,0,1,3.91,0,0,0,1,0,0,2019
ENG-Premier League,2018,Cardiff City,Nathaniel Mendez-Laing,ENG,"MF,FW",26,1992,10.9,40,3.65,25,1,10,2,1,1,5,0.46,2,0,2,0,1,0,2019
ENG-Premier League,2018,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,11,0.29,7,4,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Oumar Niasse,SEN,FW,28,1990,10.3,21,2.03,12,0,5,2,2,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Rhys Healey,WAL,FW,23,1994,0.6,4,6.92,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Sean Morrison,ENG,DF,27,1991,33.8,34,1.01,26,4,0,4,0,0,4,0.12,3,0,0,1,0,0,2019
ENG-Premier League,2018,Cardiff City,Sol Bamba,CIV,DF,33,1985,27.5,18,0.65,10,1,1,5,1,0,2,0.07,2,0,0,0,0,0,2019
ENG-Premier League,2018,Cardiff City,Víctor Camarasa,ESP,MF,24,1994,28.5,91,3.19,57,27,1,5,1,0,7,0.25,5,1,0,1,0,0,2019
ENG-Premier League,2018,Chelsea,Andreas Christensen,DEN,DF,22,1996,6.9,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Antonio Rüdiger,GER,DF,25,1993,31.9,32,1.00,26,0,0,5,0,1,3,0.09,1,0,0,2,0,0,2019
ENG-Premier League,2018,Chelsea,Callum Hudson-Odoi,ENG,FW,17,2000,4.4,15,3.44,13,0,1,1,0,0,2,0.46,1,0,1,0,0,0,2019
ENG-Premier League,2018,Chelsea,Cesc Fàbregas,ESP,MF,31,1987,2.0,8,4.00,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,César Azpilicueta,ESP,DF,28,1989,37.8,67,1.77,60,2,1,1,2,1,10,0.26,9,0,0,0,1,0,2019
ENG-Premier League,2018,Chelsea,David Luiz,BRA,DF,31,1987,36.0,45,1.25,40,0,0,4,1,0,2,0.06,2,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Davide Zappacosta,ITA,DF,26,1992,1.4,3,2.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Eden Hazard,BEL,FW,27,1991,32.5,221,6.80,143,17,28,7,24,2,33,1.02,17,3,10,1,2,0,2019
ENG-Premier League,2018,Chelsea,Emerson Palmieri,ITA,DF,23,1994,7.4,16,2.17,14,0,1,0,0,1,1,0.14,1,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Gary Cahill,ENG,DF,32,1985,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Gonzalo Higuaín,ARG,FW,30,1987,12.1,33,2.74,29,0,1,3,0,0,4,0.33,4,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Jorginho,ITA,MF,26,1991,35.1,73,2.08,70,0,0,0,1,2,5,0.14,5,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Marcos Alonso,ESP,DF,27,1990,30.7,66,2.15,55,1,0,5,4,1,10,0.33,6,0,0,2,2,0,2019
ENG-Premier League,2018,Chelsea,Mateo Kovačić,CRO,MF,24,1994,19.3,64,3.32,50,1,5,3,4,1,4,0.21,4,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,N'Golo Kanté,FRA,MF,27,1991,34.4,94,2.74,89,1,0,1,1,2,5,0.15,5,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Olivier Giroud,FRA,FW,31,1986,9.4,30,3.19,28,0,0,1,0,1,4,0.43,3,0,0,1,0,0,2019
ENG-Premier League,2018,Chelsea,Pedro,ESP,FW,31,1987,19.8,81,4.10,68,1,7,2,1,2,8,0.40,6,0,2,0,0,0,2019
ENG-Premier League,2018,Chelsea,Ross Barkley,ENG,MF,24,1993,13.8,55,3.98,43,0,3,4,2,3,9,0.65,7,0,0,1,0,1,2019
ENG-Premier League,2018,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",22,1996,11.1,49,4.42,37,0,6,2,2,2,5,0.45,5,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Victor Moses,NGA,FW,27,1990,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Willian,BRA,FW,29,1988,23.3,144,6.18,88,35,6,5,8,2,8,0.34,5,2,0,0,1,0,2019
ENG-Premier League,2018,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Chelsea,Álvaro Morata,ESP,FW,25,1992,10.5,29,2.77,23,0,2,1,3,0,1,0.10,1,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Aaron Wan-Bissaka,ENG,DF,20,1997,34.8,48,1.38,35,4,7,1,0,1,7,0.20,4,1,1,1,0,0,2019
ENG-Premier League,2018,Crystal Palace,Alexander Sørloth,NOR,FW,22,1995,2.1,7,3.41,6,0,0,0,1,0,1,0.49,1,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Andros Townsend,ENG,"FW,MF",27,1991,33.4,145,4.34,107,8,14,5,9,2,11,0.33,9,0,0,1,1,0,2019
ENG-Premier League,2018,Crystal Palace,Bakary Sako,MLI,FW,30,1988,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Cheikhou Kouyaté,SEN,MF,28,1989,21.1,34,1.61,23,0,1,6,2,2,2,0.09,1,0,0,0,1,0,2019
ENG-Premier League,2018,Crystal Palace,Christian Benteke,BEL,FW,27,1990,9.0,16,1.77,13,0,1,1,1,0,2,0.22,1,0,0,0,1,0,2019
ENG-Premier League,2018,Crystal Palace,Connor Wickham,ENG,"FW,MF",25,1993,0.7,2,2.69,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,James McArthur,SCO,MF,30,1987,34.0,73,2.15,62,2,1,4,4,0,11,0.32,7,1,0,1,2,0,2019
ENG-Premier League,2018,Crystal Palace,James Tomkins,ENG,DF,29,1989,28.4,16,0.56,14,1,0,1,0,0,2,0.07,2,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Jason Puncheon,ENG,MF,32,1986,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Jeffrey Schlupp,GHA,"MF,FW",25,1992,18.6,26,1.40,22,0,1,1,2,0,3,0.16,1,0,1,0,1,0,2019
ENG-Premier League,2018,Crystal Palace,Joel Ward,ENG,DF,28,1989,6.1,8,1.30,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Jordan Ayew,GHA,FW,26,1991,13.1,33,2.51,21,0,1,5,4,2,5,0.38,3,0,0,1,0,1,2019
ENG-Premier League,2018,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Luka Milivojević,SRB,MF,27,1991,38.0,115,3.03,62,39,0,6,3,5,7,0.18,5,2,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Luke Dreher,ENG,FW,19,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Mamadou Sakho,FRA,DF,28,1990,26.8,18,0.67,15,2,1,0,0,0,1,0.04,1,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Martin Kelly,ENG,DF,28,1990,12.3,7,0.57,4,2,0,0,0,1,1,0.08,0,1,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Max Meyer,GER,MF,22,1995,15.7,50,3.18,39,1,2,4,4,0,3,0.19,2,0,0,0,1,0,2019
ENG-Premier League,2018,Crystal Palace,Michy Batshuayi,BEL,FW,24,1993,8.3,21,2.52,10,0,4,6,1,0,3,0.36,1,0,0,2,0,0,2019
ENG-Premier League,2018,Crystal Palace,Pape Souaré,SEN,DF,28,1990,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Patrick van Aanholt,NED,DF,27,1990,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0,2019
ENG-Premier League,2018,Crystal Palace,Scott Dann,ENG,DF,31,1987,7.4,5,0.68,2,0,0,3,0,0,1,0.14,0,0,0,1,0,0,2019
ENG-Premier League,2018,Crystal Palace,Vicente Guaita,ESP,GK,31,1987,19.5,2,0.10,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Wayne Hennessey,WAL,GK,31,1987,17.5,5,0.29,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Crystal Palace,Wilfried Zaha,CIV,FW,25,1992,33.7,143,4.24,93,0,20,12,17,1,20,0.59,9,0,5,0,6,0,2019
ENG-Premier League,2018,Everton,Ademola Lookman,NGA,"FW,MF",20,1997,6.9,27,3.93,17,0,7,2,1,0,6,0.87,5,0,0,1,0,0,2019
ENG-Premier League,2018,Everton,André Gomes,POR,MF,25,1993,22.0,46,2.09,34,0,7,3,2,0,2,0.09,1,0,1,0,0,0,2019
ENG-Premier League,2018,Everton,Bernard,BRA,"FW,MF",25,1992,23.5,84,3.57,63,1,10,2,6,2,13,0.55,9,0,3,1,0,0,2019
ENG-Premier League,2018,Everton,Cenk Tosun,TUR,FW,27,1991,11.8,28,2.38,17,0,1,4,5,1,3,0.25,3,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Dominic Calvert-Lewin,ENG,FW,21,1997,19.8,35,1.77,22,0,4,5,4,0,5,0.25,2,0,0,2,1,0,2019
ENG-Premier League,2018,Everton,Gylfi Sigurðsson,ISL,MF,28,1989,34.6,151,4.36,88,36,9,10,7,1,15,0.43,10,1,1,3,0,0,2019
ENG-Premier League,2018,Everton,Idrissa Gana Gueye,SEN,MF,28,1989,31.4,61,1.95,51,0,3,4,2,1,8,0.26,7,0,1,0,0,0,2019
ENG-Premier League,2018,Everton,James McCarthy,IRL,MF,27,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Jonjoe Kenny,ENG,DF,21,1997,8.8,16,1.82,16,0,0,0,0,0,2,0.23,2,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Jordan Pickford,ENG,GK,24,1994,38.0,6,0.16,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Kurt Zouma,FRA,DF,23,1994,29.0,18,0.62,15,0,1,2,0,0,3,0.10,3,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Leighton Baines,ENG,DF,33,1984,4.2,10,2.40,3,6,0,1,0,0,2,0.48,1,1,0,0,0,0,2019
ENG-Premier League,2018,Everton,Lucas Digne,FRA,DF,25,1993,32.9,111,3.37,63,40,2,4,0,2,9,0.27,6,2,0,1,0,0,2019
ENG-Premier League,2018,Everton,Mason Holgate,ENG,DF,21,1996,4.5,4,0.88,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Michael Keane,ENG,DF,25,1993,33.0,21,0.64,17,0,0,3,0,1,1,0.03,1,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Morgan Schneiderlin,FRA,MF,28,1989,9.3,15,1.62,15,0,0,0,0,0,2,0.22,2,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Oumar Niasse,SEN,FW,28,1990,0.7,1,1.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Phil Jagielka,ENG,DF,35,1982,3.7,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Richarlison,BRA,"FW,MF",21,1997,29.6,86,2.90,49,0,8,13,15,1,11,0.37,4,0,2,3,2,0,2019
ENG-Premier League,2018,Everton,Séamus Coleman,IRL,DF,29,1988,28.4,49,1.72,41,2,3,1,1,1,3,0.11,3,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Theo Walcott,ENG,"FW,MF",29,1989,23.5,57,2.42,38,1,1,7,10,0,6,0.25,4,1,0,1,0,0,2019
ENG-Premier League,2018,Everton,Tom Davies,ENG,MF,20,1998,10.9,12,1.10,10,0,1,0,1,0,1,0.09,1,0,0,0,0,0,2019
ENG-Premier League,2018,Everton,Yerry Mina,COL,DF,23,1994,9.9,6,0.61,5,0,0,0,1,0,1,0.10,1,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Aboubakar Kamara,MTN,FW,23,1995,7.7,21,2.73,18,0,1,1,1,0,1,0.13,0,0,0,0,1,0,2019
ENG-Premier League,2018,Fulham,Aleksandar Mitrović,SRB,FW,23,1994,36.4,90,2.47,60,0,9,14,7,0,9,0.25,4,0,1,2,2,0,2019
ENG-Premier League,2018,Fulham,Alfie Mawson,ENG,DF,24,1994,12.6,5,0.40,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Andre-Frank Zambo Anguissa,CMR,MF,22,1995,16.9,37,2.20,30,0,3,3,0,1,2,0.12,2,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,André Schürrle,GER,"FW,MF",27,1990,18.2,44,2.42,36,0,2,4,2,0,2,0.11,1,0,0,1,0,0,2019
ENG-Premier League,2018,Fulham,Calum Chambers,ENG,"MF,DF",23,1995,28.8,40,1.39,34,0,1,4,1,0,1,0.03,1,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Cyrus Christie,IRL,"DF,MF",25,1992,21.6,40,1.85,30,2,5,2,0,1,3,0.14,2,0,1,0,0,0,2019
ENG-Premier League,2018,Fulham,Denis Odoi,GHA,DF,30,1988,28.8,31,1.08,25,2,0,0,1,3,1,0.03,1,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Fabricio,ESP,GK,30,1987,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Floyd Ayité,TOG,"FW,MF",29,1988,5.3,16,3.03,13,1,1,1,0,0,1,0.19,0,0,1,0,0,0,2019
ENG-Premier League,2018,Fulham,Harvey Elliott,ENG,MF,15,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Håvard Nordtveit,NOR,DF,28,1990,4.0,5,1.24,5,0,0,0,0,0,1,0.25,1,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Ibrahima Cissé,GUI,MF,24,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Jean Seri,CIV,MF,27,1991,24.9,104,4.17,64,34,2,3,1,0,7,0.28,4,2,1,0,0,0,2019
ENG-Premier League,2018,Fulham,Joe Bryan,ENG,"DF,MF",24,1993,26.1,52,2.00,33,9,2,5,2,1,2,0.08,2,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Kevin McDonald,SCO,MF,29,1988,9.3,12,1.28,10,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Lazar Marković,SRB,MF,24,1994,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Luciano Vietto,ARG,"FW,MF",24,1993,11.0,52,4.75,42,0,4,4,2,0,6,0.55,5,0,0,1,0,0,2019
ENG-Premier League,2018,Fulham,Marcus Bettinelli,ENG,GK,26,1992,7.0,3,0.43,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Maxime Le Marchand,FRA,DF,28,1989,25.0,24,0.96,21,0,0,2,1,0,3,0.12,3,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Neeskens Kebano,COD,"FW,MF",26,1992,1.2,2,1.64,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Ryan Babel,NED,"FW,MF",31,1986,13.9,50,3.60,31,7,6,4,2,0,6,0.43,4,0,1,1,0,0,2019
ENG-Premier League,2018,Fulham,Ryan Sessegnon,ENG,"FW,DF",18,2000,25.6,73,2.86,46,11,9,3,3,1,8,0.31,6,1,1,0,0,0,2019
ENG-Premier League,2018,Fulham,Sergio Rico,ESP,GK,24,1993,29.0,6,0.21,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Stefan Johansen,NOR,MF,27,1991,4.6,4,0.86,4,0,0,0,0,0,1,0.22,1,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Tim Ream,USA,DF,30,1987,22.7,11,0.48,8,1,0,1,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Timothy Fosu-Mensah,NED,DF,20,1998,8.8,11,1.25,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Fulham,Tom Cairney,SCO,"MF,FW",27,1991,24.4,80,3.28,68,0,2,5,4,1,5,0.21,5,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Aaron Mooy,AUS,"MF,FW",27,1990,25.9,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Aaron Rowe,ENG,FW,17,2000,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Abdelhamid Sabiri,MAR,FW,21,1996,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Adama Diakhaby,FRA,"FW,MF",22,1996,6.1,15,2.45,9,0,2,2,1,1,1,0.16,0,0,0,1,0,0,2019
ENG-Premier League,2018,Huddersfield,Alex Pritchard,ENG,"MF,FW",25,1993,23.1,97,4.20,61,12,6,3,13,2,5,0.22,2,2,0,0,1,0,2019
ENG-Premier League,2018,Huddersfield,Ben Hamer,ENG,GK,30,1987,6.1,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Chris Löwe,GER,"DF,MF",29,1989,22.9,39,1.71,24,9,3,2,1,0,4,0.18,4,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Christopher Schindler,GER,DF,28,1990,36.2,15,0.41,13,1,0,0,1,0,1,0.03,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Collin Quaner,GER,FW,27,1991,0.4,3,6.92,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Danny Williams,USA,MF,29,1989,1.1,1,0.94,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Demeaco Duhaney,ENG,DF,19,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Elias Kachunga,COD,"FW,MF",26,1992,13.1,13,0.99,9,0,1,2,1,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Erik Durm,GER,DF,26,1992,22.8,37,1.62,30,1,3,1,1,1,2,0.09,2,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Florent Hadergjonaj,KVX,"DF,MF",24,1994,20.5,41,2.00,37,0,1,1,0,2,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Isaac Mbenza,BEL,"FW,MF",22,1996,11.0,14,1.28,10,1,0,2,1,0,1,0.09,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Jason Puncheon,ENG,MF,32,1986,4.2,10,2.36,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Joel Coleman,ENG,GK,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Jon Gorenc Stanković,SVN,"MF,DF",22,1996,7.9,8,1.01,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Jonas Lössl,DEN,GK,29,1989,30.9,8,0.26,5,3,0,0,0,0,1,0.03,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Jonathan Hogg,ENG,MF,29,1988,26.3,34,1.29,28,0,0,1,3,2,1,0.04,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Juninho Bacuna,CUW,"MF,DF",20,1997,15.7,41,2.61,30,6,2,0,3,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Karlan Grant,ENG,FW,20,1997,9.7,22,2.26,13,0,5,3,1,0,2,0.21,0,0,0,1,1,0,2019
ENG-Premier League,2018,Huddersfield,Laurent Depoitre,BEL,FW,29,1988,11.9,21,1.77,18,0,0,1,2,0,1,0.08,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Mathias Jørgensen,DEN,DF,28,1990,23.9,24,1.01,20,1,0,0,1,2,1,0.04,1,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Matty Daly,ENG,MF,17,2001,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Philip Billing,DEN,MF,22,1996,24.3,68,2.80,39,12,2,9,4,2,3,0.12,2,1,0,0,0,0,2019
ENG-Premier League,2018,Huddersfield,Rajiv van La Parra,NED,"FW,MF",27,1991,4.5,8,1.78,6,1,0,0,1,0,0,0.00,0,0,0,0,0,0,2019
