playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/claus-jensen/profil/spieler/3099,46.0,1.83,right,Retired,Claus Jensen,AM,Denmark,0
/radostin-kishishev/profil/spieler/3001,48.0,1.8,right,Retired,Radostin Kishishev,DM,Bulgaria,0
/jonatan-johansson/profil/spieler/3117,47.0,1.84,both,Retired,Jonatan Johansson,CF,Finland,0
/shaun-bartlett/profil/spieler/3089,50.0,1.88,right,Retired,Shaun Bartlett,CF,South Africa,0
/mark-fish/profil/spieler/3087,49.0,1.87,right,Retired,Mark Fish,CB,South Africa,0
/mathias-svensson/profil/spieler/3861,48.0,1.86,right,Retired,Mathias Svensson,CF,Sweden,0
/karim-bagheri/profil/spieler/14829,49.0,1.86,both,Retired,Karim Bagheri,DM,Iran,0
/carl-tiler/profil/spieler/198681,53.0,1.88,right,Retired,Carl Tiler,CB,England,0
/mark-mccammon/profil/spieler/13592,44.0,1.88,right,Retired,Mark McCammon,CF,Barbados,0
/john-salako/profil/spieler/13423,54.0,1.75,left,Retired,John Salako,LM,England,0
/emerson-thome/profil/spieler/3643,51.0,1.88,both,Retired,Émerson Thome,CB,Brazil,0
/julio-arca/profil/spieler/3280,42.0,1.75,left,Retired,Julio Arca,CM,Argentina,0
/stanislav-varga/profil/spieler/9495,50.0,1.93,right,Retired,Stanislav Varga,CB,Slovakia,0
/tom-peeters/profil/spieler/3717,44.0,1.74,left,Retired,Tom Peeters,LW,Belgium,0
/dene-shields/profil/spieler/14672,40.0,1.75,right,Retired,Dene Shields,CF,Scotland,0
/chris-makin/profil/spieler/13248,50.0,1.8,right,Retired,Chris Makin,LB,England,0
/darren-holloway/profil/spieler/14024,45.0,1.83,right,Retired,Darren Holloway,RB,England,0
/paul-butler/profil/spieler/4278,50.0,1.91,right,Retired,Paul Butler,CB,Ireland,0
/darren-huckerby/profil/spieler/3136,47.0,1.78,right,Retired,Darren Huckerby,RW,England,0
/alf-inge-haaland/profil/spieler/107179,50.0,1.86,right,Retired,Alf-Inge Haaland,DM,Norway,0
/laurent-charvet/profil/spieler/107083,50.0,1.87,right,Retired,Laurent Charvet,RB,France,0
/carlo-nash/profil/spieler/3804,49.0,1.97,right,Retired,Carlo Nash,GK,England,0
/lee-peacock/profil/spieler/20985,46.0,1.83,right,Retired,Lee Peacock,CF,Scotland,0
/danny-allsopp/profil/spieler/43131,44.0,1.85,right,Retired,Danny Allsopp,CF,Australia,0
/nick-fenton/profil/spieler/13698,43.0,1.91,right,Retired,Nick Fenton,Defence,England,0
/shayne-bradley/profil/spieler/211242,43.0,1.8,,Retired,Shayne Bradley,Attack,England,0
/daniel-webb/profil/spieler/16005,39.0,1.85,,Retired,Daniel Webb,CB,England,0
/sergiy-rebrov/profil/spieler/3122,49.0,1.75,right,Retired,Sergiy Rebrov,SS,Ukraine,0
/ben-thatcher/profil/spieler/3304,47.0,1.78,left,Retired,Ben Thatcher,LB,Wales,0
/steven-ferguson/profil/spieler/11007,41.0,,,Retired,Steven Ferguson,CF,Scotland,0
/espen-baardsen/profil/spieler/3850,45.0,1.96,right,Retired,Espen Baardsen,GK,Norway,0
/peter-crouch/profil/spieler/4072,42.0,2.01,right,Retired,Peter Crouch,CF,England,0
/mark-gower/profil/spieler/39700,44.0,1.8,both,Retired,Mark Gower,CM,England,0
/christian-ziege/profil/spieler/916,51.0,1.86,left,Retired,Christian Ziege,LM,Germany,0
/igor-biscan/profil/spieler/3601,45.0,1.91,right,Retired,Igor Biscan,DM,Croatia,0
/daniel-sjolund/profil/spieler/3957,40.0,1.78,left,Retired,Daniel Sjölund,DM,Finland,0
/gary-mcallister/profil/spieler/10032,58.0,1.86,both,Retired,Gary McAllister,CM,Scotland,0
