playerLink,currAge,height,foot,currClub,playerName,playerPos,playerCountry,playerMarketValue
/noah-ohio/profil/spieler/557410,20.0,1.83,left,Standard Liège,Noah Ohio,CF,Netherlands,2500000
/sidney-raebiger/profil/spieler/717345,18.0,1.76,right,SpVgg Greuther Fürth,Sidney Raebiger,CM,Germany,750000
/josip-juranovic/profil/spieler/362977,27.0,1.73,right,1.FC Union Berlin,Josip Juranovic,RB,Croatia,12000000
/jordan/profil/spieler/355369,27.0,1.91,right,1.FC Union Berlin,Jordan,CF,United States,7000000
/jamie-leweling/profil/spieler/518505,22.0,1.84,both,1.FC Union Berlin,Jamie Leweling,SS,Germany,3000000
/morten-thorsby/profil/spieler/226524,27.0,1.88,right,1.FC Union Berlin,Morten Thorsby,CM,Norway,5500000
/aissa-laidouni/profil/spieler/233782,26.0,1.81,right,1.FC Union Berlin,Aïssa Laïdouni,CM,Tunisia,7000000
/julian-ryerson/profil/spieler/370789,25.0,1.83,right,Borussia Dortmund,Julian Ryerson,RB,Norway,13000000
/lennart-moser/profil/spieler/392717,23.0,1.96,left,KAS Eupen,Lennart Moser,GK,Germany,500000
/ritsu-doan/profil/spieler/358504,25.0,1.72,left,SC Freiburg,Ritsu Doan,RW,Japan,18000000
/daniel-kofi-kyereh/profil/spieler/272587,27.0,1.79,right,SC Freiburg,Daniel-Kofi Kyereh,AM,Ghana,8000000
/merlin-rohl/profil/spieler/608832,20.0,1.92,both,SC Freiburg,Merlin Röhl,CM,Germany,2000000
/nico-schlotterbeck/profil/spieler/388198,23.0,1.91,left,Borussia Dortmund,Nico Schlotterbeck,CB,Germany,40000000
/steffen-tigges/profil/spieler/296879,24.0,1.94,left,1.FC Köln,Steffen Tigges,CF,Germany,3500000
/eric-martel/profil/spieler/597000,21.0,1.88,right,1.FC Köln,Eric Martel,DM,Germany,9000000
/nikola-soldo/profil/spieler/674921,22.0,1.89,right,1.FC Köln,Nikola Soldo,CB,Croatia,1500000
/denis-huseinbasic/profil/spieler/678479,21.0,1.84,right,1.FC Köln,Denis Huseinbasic,CM,Germany,5000000
/salih-ozcan/profil/spieler/244940,25.0,1.83,right,Borussia Dortmund,Salih Özcan,DM,Turkey,13000000
/yann-aurel-bisseck/profil/spieler/441986,22.0,1.96,right,Aarhus GF,Yann Aurel Bisseck,CB,Germany,5000000
/ludovic-ajorque/profil/spieler/283994,29.0,1.96,left,1.FSV Mainz 05,Ludovic Ajorque,CF,France,9000000
/angelo-fulgini/profil/spieler/250013,26.0,1.82,right,RC Lens,Angelo Fulgini,AM,France,9000000
/andreas-hanche-olsen/profil/spieler/370683,26.0,1.85,right,1.FSV Mainz 05,Andreas Hanche-Olsen,CB,Norway,7500000
/delano-burgzorg/profil/spieler/436585,24.0,1.86,right,1.FSV Mainz 05,Delano Burgzorg,LW,Netherlands,1500000
/david-nemeth/profil/spieler/451906,22.0,1.91,both,FC St. Pauli,David Nemeth,CB,Austria,1500000
/dimitri-lavalee/profil/spieler/420890,26.0,1.87,left,KV Mechelen,Dimitri Lavalée,CB,Belgium,700000
/stanley-nsoki/profil/spieler/371141,24.0,1.84,left,TSG 1899 Hoffenheim,Stanley Nsoki,CB,France,5500000
/muhammed-damar/profil/spieler/789898,19.0,1.85,both,TSG 1899 Hoffenheim,Muhammed Damar,AM,Germany,1000000
/david-raum/profil/spieler/318204,25.0,1.8,left,RB Leipzig,David Raum,LB,Germany,14000000
/joao-klauss/profil/spieler/498862,26.0,1.9,right,St. Louis CITY SC,João Klauss,CF,Brazil,4000000
/david-otto/profil/spieler/362184,24.0,1.85,right,FC St. Pauli,David Otto,CF,Germany,500000
/jonas-omlin/profil/spieler/247915,29.0,1.9,right,Borussia Mönchengladbach,Jonas Omlin,GK,Switzerland,9000000
/nathan-ngoumou/profil/spieler/629588,23.0,1.83,right,Borussia Mönchengladbach,Nathan Ngoumou,RW,France,5000000
/ko-itakura/profil/spieler/355816,26.0,1.88,right,Borussia Mönchengladbach,Ko Itakura,CB,Japan,12000000
/oscar-fraulo/profil/spieler/610428,19.0,1.8,right,Borussia Mönchengladbach,Oscar Fraulo,CM,Denmark,2000000
/jens-petter-hauge/profil/spieler/422355,23.0,1.84,right,Eintracht Frankfurt,Jens Petter Hauge,RW,Norway,2500000
/paxten-aaronson/profil/spieler/795738,19.0,1.75,right,Eintracht Frankfurt,Paxten Aaronson,AM,United States,4500000
/kristijan-jakic/profil/spieler/374954,26.0,1.81,right,Eintracht Frankfurt,Kristijan Jakic,DM,Croatia,7000000
/hrvoje-smolcic/profil/spieler/571299,22.0,1.85,left,Eintracht Frankfurt,Hrvoje Smolcic,CB,Croatia,4000000
/simon-simoni/profil/spieler/726120,18.0,1.94,right,Eintracht Frankfurt,Simon Simoni,GK,Albania,200000
/enrique-herrero/profil/spieler/741295,18.0,1.73,N/A,Real Madrid U19,Enrique Herrero,CF,Spain,300000
/jakub-kaminski/profil/spieler/407098,21.0,1.79,right,VfL Wolfsburg,Jakub Kaminski,LW,Poland,12000000
/mattias-svanberg/profil/spieler/342405,24.0,1.85,right,VfL Wolfsburg,Mattias Svanberg,CM,Sweden,18000000
/bartol-franjic/profil/spieler/370998,23.0,1.88,left,VfL Wolfsburg,Bartol Franjic,DM,Croatia,3000000
/kilian-fischer/profil/spieler/435796,22.0,1.82,both,VfL Wolfsburg,Kilian Fischer,RB,Germany,2000000
/dzenan-pejcinovic/profil/spieler/819636,18.0,1.88,left,VfL Wolfsburg,Dzenan Pejcinovic,CF,Germany,1000000
/nicolas-cozza/profil/spieler/485965,24.0,1.78,left,VfL Wolfsburg,Nicolas Cozza,LB,France,3500000
