playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Ivan Santini,/ivan-santini/profil/spieler/45832,29,CF,Croatia,200000,3000000,SM Caen,/sm-caen/startseite/verein/1162,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,out,2018,-2800000,34.0,1.9,right,FRA-Ligue 1,Caen,Ivan Santini,CRO,FW,28.0,1989.0,32,2777.0,87.0,81.2,30.9,31,89.0,30.0,1,16.0,1,1.0,22.0,45.0,-23.0,-0.75,-0.47,34.5,39.3,-4.8,-0.16,-0.1,2018
Guessouma Fofana,/guessouma-fofana/profil/spieler/419999,25,DM,Mauritania,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2018,-800000,30.0,1.84,right,FRA-Ligue 1,Amiens,Guessouma Fofana,MTN,MF,24.0,1992.0,16,743.0,46.0,21.7,8.3,7,84.0,4.0,9,17.0,4,1.0,6.0,12.0,-6.0,-0.73,-0.76,6.9,17.3,-10.3,-1.25,-0.86,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Getafe,Loïc Rémy,FRA,"FW,MF",30.0,1987.0,11,457.0,42.0,13.4,5.1,6,62.0,0.0,5,17.0,1,1.73,6.0,5.0,1.0,0.2,-0.05,6.2,4.3,1.9,0.38,0.18,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Las Palmas,Loïc Rémy,FRA,FW,30.0,1987.0,12,766.0,64.0,22.4,8.5,6,90.0,6.0,6,38.0,0,0.92,11.0,20.0,-9.0,-1.06,0.33,13.0,17.5,-4.4,-0.52,0.42,2018
Yves Bissouma,/yves-bissouma/profil/spieler/410425,21,CM,Mali,18000000,16800000,LOSC Lille,/losc-lille/startseite/verein/1082,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,1200000,26.0,1.82,right,FRA-Ligue 1,Lille,Yves Bissouma,MLI,"MF,DF",20.0,1996.0,24,1561.0,65.0,45.6,17.3,15,84.0,12.0,9,33.0,6,0.96,15.0,36.0,-21.0,-1.21,-0.97,18.8,29.6,-10.8,-0.62,-0.1,2018
Ibrahim Amadou,/ibrahim-amadou/profil/spieler/205503,25,DM,France,1500000,14400000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2018,-12900000,30.0,1.83,right,FRA-Ligue 1,Lille,Ibrahim Amadou,FRA,"MF,DF",24.0,1993.0,30,2405.0,80.0,70.3,26.7,30,80.0,22.0,0,,0,1.0,29.0,45.0,-16.0,-0.6,0.29,21.8,40.8,-19.0,-0.71,-0.49,2018
Kévin Malcuit,/kevin-malcuit/profil/spieler/126711,27,RB,France,700000,12000000,LOSC Lille,/losc-lille/startseite/verein/1082,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2018,-11300000,31.0,1.78,right,FRA-Ligue 1,Lille,Kévin Malcuit,MAR,DF,26.0,1991.0,23,1817.0,79.0,53.1,20.2,21,86.0,19.0,2,10.0,0,1.22,26.0,36.0,-10.0,-0.5,0.4,22.1,29.6,-7.4,-0.37,0.42,2018
Hamza Mendyl,/hamza-mendyl/profil/spieler/447221,20,LB,Morocco,1000000,6000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Schalke 04,/fc-schalke-04/startseite/verein/33,out,2018,-5000000,25.0,1.79,left,FRA-Ligue 1,Lille,Hamza Mendyl,MAR,"DF,MF",19.0,1997.0,12,851.0,71.0,24.9,9.5,9,86.0,8.0,3,25.0,12,1.42,15.0,17.0,-2.0,-0.21,0.63,13.3,12.9,0.4,0.04,0.81,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,25,LW,Tunisia,4500000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Dijon FCO,/dijon-fco/startseite/verein/2969,out,2018,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,Naïm Sliti,TUN,"FW,MF",25.0,1992.0,31,2290.0,74.0,67.0,25.4,26,83.0,14.0,5,27.0,1,1.16,35.0,46.0,-11.0,-0.43,0.13,29.3,44.5,-15.2,-0.6,-0.05,2018
Éder,/eder/profil/spieler/84481,30,CF,Portugal,0,500000,LOSC Lille,/losc-lille/startseite/verein/1082,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,out,2018,-500000,35.0,1.9,both,ITA-Serie A,Inter,Éder,ITA,"FW,MF",30.0,1986.0,29,800.0,28.0,23.4,8.9,4,,4.0,25,,9,1.9,15.0,6.0,9.0,1.01,0.09,15.9,5.7,10.1,1.15,0.82,2018
Oumar Solet,/oumar-solet/profil/spieler/463665,18,CB,France,17000000,1450000,Stade Lavallois,/stade-laval/startseite/verein/1080,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2018,15550000,23.0,1.92,right,FRA-Ligue 1,Lyon,Oumar Solet,FRA,DF,17.0,2000.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,2018
Mouctar Diakhaby,/mouctar-diakhaby/profil/spieler/346289,21,CB,Guinea,6000000,15000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Valencia CF,/fc-valencia/startseite/verein/1049,out,2018,-9000000,26.0,1.92,right,FRA-Ligue 1,Lyon,Mouctar Diakhaby,GUI,DF,20.0,1996.0,12,728.0,61.0,21.3,8.1,8,85.0,7.0,4,12.0,21,1.67,20.0,17.0,3.0,0.37,-1.0,12.3,10.3,2.0,0.25,-0.46,2018
Sergi Darder,/sergi-darder/profil/spieler/142021,24,CM,Spain,16000000,8000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2018,8000000,29.0,1.8,right,ESP-La Liga,Espanyol,Sergi Darder,ESP,MF,23.0,1993.0,35,2782.0,79.0,81.3,30.9,32,85.0,21.0,3,25.0,0,1.29,25.0,34.0,-9.0,-0.29,-0.71,31.1,42.5,-11.5,-0.37,-0.41,2018
Sergi Darder,/sergi-darder/profil/spieler/142021,24,CM,Spain,16000000,8000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2018,8000000,29.0,1.8,right,FRA-Ligue 1,Lyon,Sergi Darder,ESP,MF,23.0,1993.0,3,209.0,70.0,6.1,2.3,3,70.0,1.0,0,,0,2.33,7.0,1.0,6.0,2.58,1.52,3.6,1.5,2.1,0.92,0.33,2018
Kevin Strootman,/kevin-strootman/profil/spieler/68864,28,CM,Netherlands,1300000,25000000,AS Roma,/as-rom/startseite/verein/12,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2018,-23700000,33.0,1.86,left,ITA-Serie A,Roma,Kevin Strootman,NED,MF,27.0,1990.0,32,2258.0,71.0,66.0,25.1,26,,18.0,6,,3,2.0,40.0,22.0,18.0,0.72,-0.44,42.2,28.0,14.2,0.57,-0.36,2018
Jordan Amavi,/jordan-amavi/profil/spieler/241229,24,LB,France,2000000,10000000,Aston Villa,/aston-villa/startseite/verein/405,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2018,-8000000,29.0,1.76,left,FRA-Ligue 1,Marseille,Jordan Amavi,FRA,DF,23.0,1994.0,27,2193.0,81.0,64.1,24.4,24,87.0,22.0,3,35.0,2,1.89,49.0,31.0,18.0,0.74,-0.36,46.9,25.5,21.4,0.88,-0.22,2018
Willem Geubbels,/willem-geubbels/profil/spieler/463620,16,LW,France,1800000,20000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-18200000,21.0,1.85,right,FRA-Ligue 1,Lyon,Willem Geubbels,FRA,"FW,MF",15.0,2001.0,2,33.0,17.0,1.0,0.4,0,,0.0,2,17.0,1,2.0,2.0,0.0,2.0,5.45,4.34,0.8,1.0,-0.1,-0.41,-1.03,2018
