playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Mouctar Diakhaby,/mouctar-diakhaby/profil/spieler/346289,21,CB,Guinea,6000000,15000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Valencia CF,/fc-valencia/startseite/verein/1049,out,2018,-9000000,26.0,1.92,right,FRA-Ligue 1,Lyon,Mouctar Diakhaby,GUI,DF,20.0,1996.0,8.1,508.0,77.0,280.0,229.0,6.0,5.0,508.0,7.0,7.0,100.0,0.0,0.0,342.0,1975.0,1221.0,6.0,2.0,0.0,3.0,2.0,331.0,0.0,2018
Sergi Darder,/sergi-darder/profil/spieler/142021,24,CM,Spain,16000000,8000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2018,8000000,29.0,1.8,right,ESP-La Liga,Espanyol,Sergi Darder,ESP,MF,23.0,1993.0,30.9,1782.0,55.0,388.0,1078.0,337.0,16.0,1782.0,48.0,34.0,70.8,14.0,29.2,1069.0,4962.0,2400.0,32.0,25.0,5.0,29.0,23.0,1192.0,32.0,2018
Sergi Darder,/sergi-darder/profil/spieler/142021,24,CM,Spain,16000000,8000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2018,8000000,29.0,1.8,right,FRA-Ligue 1,Lyon,Sergi Darder,ESP,MF,23.0,1993.0,2.3,167.0,3.0,20.0,115.0,33.0,0.0,167.0,4.0,1.0,25.0,3.0,75.0,98.0,518.0,159.0,0.0,1.0,0.0,1.0,1.0,126.0,3.0,2018
Kevin Strootman,/kevin-strootman/profil/spieler/68864,28,CM,Netherlands,1300000,25000000,AS Roma,/as-rom/startseite/verein/12,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2018,-23700000,33.0,1.86,left,ITA-Serie A,Roma,Kevin Strootman,NED,MF,27.0,1990.0,25.1,1701.0,32.0,197.0,1073.0,449.0,45.0,1701.0,20.0,13.0,65.0,7.0,35.0,926.0,4166.0,2271.0,41.0,34.0,3.0,31.0,22.0,1237.0,97.0,2018
Jordan Amavi,/jordan-amavi/profil/spieler/241229,24,LB,France,2000000,10000000,Aston Villa,/aston-villa/startseite/verein/405,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2018,-8000000,29.0,1.76,left,FRA-Ligue 1,Marseille,Jordan Amavi,FRA,DF,23.0,1994.0,24.4,1681.0,87.0,475.0,882.0,355.0,9.0,1681.0,71.0,44.0,62.0,27.0,38.0,1023.0,5151.0,3032.0,70.0,58.0,4.0,31.0,26.0,955.0,83.0,2018
Willem Geubbels,/willem-geubbels/profil/spieler/463620,16,LW,France,1800000,20000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-18200000,21.0,1.85,right,FRA-Ligue 1,Lyon,Willem Geubbels,FRA,"FW,MF",15.0,2001.0,0.4,13.0,0.0,1.0,5.0,7.0,2.0,13.0,1.0,0.0,0.0,1.0,100.0,7.0,40.0,26.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0,2018
Benjamin Henrichs,/benjamin-henrichs/profil/spieler/202591,21,RB,Germany,15000000,20000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-5000000,26.0,1.85,right,GER-Bundesliga,Leverkusen,Benjamin Henrichs,GER,DF,20.0,1997.0,14.1,985.0,45.0,263.0,499.0,230.0,33.0,985.0,22.0,7.0,31.8,15.0,68.2,537.0,2862.0,1441.0,41.0,19.0,10.0,10.0,9.0,558.0,74.0,2018
Nacer Chadli,/nacer-chadli/profil/spieler/59631,29,LW,Belgium,2000000,12000000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-10000000,33.0,1.87,right,ENG-Premier League,West Brom,Nacer Chadli,BEL,"FW,MF",27.0,1989.0,2.9,96.0,3.0,13.0,39.0,45.0,6.0,96.0,1.0,1.0,100.0,0.0,0.0,59.0,281.0,139.0,4.0,4.0,2.0,4.0,4.0,61.0,8.0,2018
Fodé Ballo-Touré,/fode-ballo-toure/profil/spieler/296422,22,LB,Senegal,3500000,11000000,LOSC Lille,/losc-lille/startseite/verein/1082,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-7500000,26.0,1.82,left,FRA-Ligue 1,Lille,Fodé Ballo-Touré,SEN,DF,20.0,1997.0,22.8,1425.0,54.0,417.0,722.0,298.0,22.0,1425.0,23.0,16.0,69.6,7.0,30.4,680.0,3491.0,2197.0,43.0,18.0,4.0,19.0,23.0,835.0,98.0,2018
Antonio Barreca,/antonio-barreca/profil/spieler/241889,23,LB,Italy,800000,10000000,Torino FC,/fc-turin/startseite/verein/416,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-9200000,28.0,1.8,left,ITA-Serie A,Torino,Antonio Barreca,ITA,DF,22.0,1995.0,5.2,339.0,12.0,108.0,153.0,79.0,4.0,339.0,6.0,2.0,33.3,4.0,66.7,145.0,780.0,379.0,7.0,10.0,2.0,5.0,6.0,166.0,18.0,2018
Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806,31,CM,Spain,0,9000000,Chelsea FC,/fc-chelsea/startseite/verein/631,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-9000000,36.0,1.79,right,ENG-Premier League,Chelsea,Cesc Fàbregas,ESP,MF,30.0,1987.0,25.6,2553.0,51.0,401.0,1288.0,887.0,66.0,2553.0,24.0,18.0,75.0,6.0,25.0,1481.0,5986.0,3227.0,55.0,53.0,6.0,21.0,24.0,1854.0,135.0,2018
Samuel Grandsir,/samuel-grandsir/profil/spieler/432772,21,RW,France,2000000,3000000,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-1000000,26.0,1.7,right,FRA-Ligue 1,Troyes,Samuel Grandsir,FRA,"FW,MF",20.0,1996.0,28.9,1352.0,26.0,276.0,538.0,575.0,71.0,1352.0,134.0,68.0,50.7,66.0,49.3,946.0,7740.0,3959.0,127.0,102.0,29.0,84.0,74.0,981.0,233.0,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-2000000,40.0,1.98,right,ESP-La Liga,Espanyol,Naldo,BRA,DF,28.0,1988.0,10.2,547.0,81.0,342.0,201.0,5.0,1.0,547.0,2.0,2.0,100.0,0.0,0.0,279.0,1280.0,416.0,0.0,1.0,0.0,6.0,1.0,295.0,0.0,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-2000000,40.0,1.98,right,GER-Bundesliga,Schalke 04,Naldo,BRA,DF,34.0,1982.0,34.0,2096.0,231.0,1056.0,970.0,90.0,56.0,2096.0,13.0,9.0,69.2,4.0,30.8,952.0,3954.0,1844.0,9.0,7.0,0.0,9.0,1.0,1211.0,6.0,2018
Thomas Lemar,/thomas-lemar/profil/spieler/205562,22,AM,France,22000000,72000000,AS Monaco,/as-monaco/startseite/verein/162,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2018,-50000000,27.0,1.71,left,FRA-Ligue 1,Monaco,Thomas Lemar,FRA,"MF,FW",21.0,1995.0,26.4,1582.0,16.0,116.0,859.0,638.0,36.0,1582.0,89.0,46.0,51.7,44.0,49.4,1041.0,6715.0,3470.0,93.0,75.0,5.0,52.0,41.0,1140.0,163.0,2018
Fabinho,/fabinho/profil/spieler/225693,24,DM,Brazil,42000000,45000000,AS Monaco,/as-monaco/startseite/verein/162,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2018,-3000000,29.0,1.88,right,FRA-Ligue 1,Monaco,Fabinho,BRA,MF,23.0,1993.0,34.0,2342.0,71.0,445.0,1645.0,285.0,33.0,2338.0,51.0,37.0,72.5,14.0,27.5,1317.0,6736.0,3776.0,64.0,39.0,10.0,24.0,21.0,1525.0,57.0,2018
Terence Kongolo,/terence-kongolo/profil/spieler/152651,24,CB,Netherlands,900000,20000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-19100000,29.0,1.88,left,ENG-Premier League,Huddersfield,Terence Kongolo,NED,DF,23.0,1994.0,11.7,566.0,56.0,236.0,244.0,90.0,7.0,566.0,10.0,7.0,70.0,3.0,30.0,198.0,916.0,468.0,7.0,6.0,3.0,9.0,5.0,225.0,21.0,2018
Terence Kongolo,/terence-kongolo/profil/spieler/152651,24,CB,Netherlands,900000,20000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-19100000,29.0,1.88,left,FRA-Ligue 1,Monaco,Terence Kongolo,NED,DF,23.0,1994.0,2.9,188.0,12.0,47.0,97.0,46.0,2.0,188.0,2.0,1.0,50.0,1.0,50.0,74.0,386.0,222.0,4.0,9.0,0.0,4.0,2.0,88.0,16.0,2018
Rachid Ghezzal,/rachid-ghezzal/profil/spieler/118287,26,RW,Algeria,5000000,14000000,AS Monaco,/as-monaco/startseite/verein/162,Leicester City,/leicester-city/startseite/verein/1003,out,2018,-9000000,31.0,1.82,left,FRA-Ligue 1,Monaco,Rachid Ghezzal,ALG,"FW,MF",25.0,1992.0,11.2,760.0,8.0,68.0,334.0,368.0,47.0,760.0,55.0,29.0,52.7,26.0,47.3,464.0,2957.0,1233.0,39.0,26.0,12.0,45.0,24.0,543.0,127.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,24,CM,France,3500000,11500000,AS Monaco,/as-monaco/startseite/verein/162,Torino FC,/fc-turin/startseite/verein/416,out,2018,-8000000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,Soualiho Meïté,FRA,MF,23.0,1994.0,14.8,862.0,18.0,159.0,545.0,177.0,24.0,862.0,49.0,34.0,69.4,15.0,30.6,609.0,3199.0,1541.0,36.0,24.0,3.0,25.0,33.0,616.0,46.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,24,CM,France,3500000,11500000,AS Monaco,/as-monaco/startseite/verein/162,Torino FC,/fc-turin/startseite/verein/416,out,2018,-8000000,29.0,1.87,right,FRA-Ligue 1,Monaco,Soualiho Meïté,FRA,MF,23.0,1994.0,1.1,55.0,3.0,12.0,41.0,4.0,0.0,55.0,1.0,1.0,100.0,0.0,0.0,24.0,180.0,88.0,0.0,2.0,0.0,2.0,2.0,35.0,0.0,2018
Adama Diakhaby,/adama-diakhaby/profil/spieler/453594,22,RW,France,600000,10000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-9400000,26.0,1.84,left,FRA-Ligue 1,Monaco,Adama Diakhaby,FRA,FW,21.0,1996.0,9.4,343.0,5.0,38.0,137.0,174.0,34.0,343.0,25.0,5.0,20.0,20.0,80.0,193.0,1430.0,681.0,26.0,15.0,8.0,24.0,15.0,230.0,82.0,2018
João Moutinho,/joao-moutinho/profil/spieler/29364,31,CM,Portugal,1500000,5600000,AS Monaco,/as-monaco/startseite/verein/162,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,out,2018,-4100000,36.0,1.7,right,FRA-Ligue 1,Monaco,João Moutinho,POR,MF,30.0,1986.0,31.1,2299.0,69.0,296.0,1490.0,526.0,16.0,2299.0,29.0,21.0,72.4,8.0,27.6,1261.0,6367.0,3895.0,54.0,46.0,1.0,31.0,18.0,1519.0,76.0,2018
Almamy Touré,/almamy-toure/profil/spieler/216181,22,CB,Mali,2500000,750000,AS Monaco,/as-monaco/startseite/verein/162,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2018,1750000,27.0,1.83,right,FRA-Ligue 1,Monaco,Almamy Touré,MLI,DF,21.0,1996.0,13.9,837.0,53.0,226.0,405.0,214.0,16.0,837.0,19.0,13.0,68.4,6.0,31.6,381.0,1927.0,1150.0,32.0,25.0,4.0,17.0,13.0,409.0,76.0,2018
Gaëtan Laborde,/gaetan-laborde/profil/spieler/181378,24,CF,France,16000000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,13000000,29.0,1.81,left,FRA-Ligue 1,Bordeaux,Gaëtan Laborde,FRA,FW,23.0,1994.0,10.6,398.0,7.0,24.0,180.0,200.0,56.0,397.0,31.0,15.0,48.4,16.0,51.6,251.0,1275.0,510.0,22.0,16.0,11.0,42.0,20.0,291.0,72.0,2018
Florent Mollet,/florent-mollet/profil/spieler/222859,26,AM,France,2000000,2600000,FC Metz,/fc-metz/startseite/verein/347,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,-600000,31.0,1.75,right,FRA-Ligue 1,Metz,Florent Mollet,FRA,"MF,FW",25.0,1991.0,15.7,884.0,14.0,96.0,481.0,318.0,33.0,883.0,37.0,21.0,56.8,16.0,43.2,589.0,3075.0,1240.0,35.0,24.0,9.0,38.0,23.0,619.0,97.0,2018
Junior Sambia,/junior-sambia/profil/spieler/335147,21,RB,France,3500000,2000000,Chamois Niortais FC,/chamois-niortais-fc/startseite/verein/1161,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,1500000,26.0,1.85,right,FRA-Ligue 1,Montpellier,Junior Sambia,FRA,MF,20.0,1996.0,17.1,1021.0,9.0,103.0,525.0,402.0,18.0,1021.0,49.0,29.0,59.2,20.0,40.8,502.0,2957.0,1494.0,44.0,40.0,5.0,52.0,40.0,711.0,131.0,2018
Facundo Píriz,/facundo-piriz/profil/spieler/148607,28,DM,Uruguay,300000,1000000,Akhmat Grozny,/akhmat-grozny/startseite/verein/3725,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,-700000,33.0,1.87,right,FRA-Ligue 1,Montpellier,Facundo Píriz,URU,MF,27.0,1990.0,9.0,529.0,17.0,125.0,332.0,76.0,6.0,529.0,10.0,6.0,60.0,4.0,40.0,211.0,1015.0,317.0,5.0,7.0,0.0,6.0,5.0,329.0,8.0,2018
Nordi Mukiele,/nordi-mukiele/profil/spieler/348026,20,RB,France,18000000,16000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,out,2018,2000000,25.0,1.87,right,FRA-Ligue 1,Montpellier,Nordi Mukiele,FRA,DF,19.0,1997.0,31.0,2147.0,105.0,650.0,1166.0,371.0,33.0,2147.0,63.0,41.0,65.1,22.0,34.9,1062.0,7075.0,4375.0,82.0,59.0,9.0,42.0,27.0,1245.0,80.0,2018
Jérôme Roussillon,/jerome-roussillon/profil/spieler/127076,25,LB,Guadeloupe,3000000,5000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,out,2018,-2000000,30.0,1.72,left,FRA-Ligue 1,Montpellier,Jérôme Roussillon,FRA,DF,24.0,1993.0,20.9,1275.0,43.0,302.0,568.0,418.0,48.0,1275.0,72.0,37.0,51.4,35.0,48.6,548.0,3386.0,1922.0,72.0,38.0,16.0,42.0,22.0,719.0,125.0,2018
