playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Edouard Mendy,/edouard-mendy/profil/spieler/442531,27,GK,Senegal,12000000,7600000,Stade Reims,/stade-reims/startseite/verein/1421,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2019,4400000,31.0,1.94,right,FRA-Ligue 1,Rennes,SEN,GK,27,1992,24,24,2160.0,24.0,19.0,0.79,79.0,60.0,79.7,13.0,5.0,6.0,9.0,37.5,4.0,3.0,1.0,0.0,25.0,2020
Sergio Rico,/sergio-rico/profil/spieler/207302,27,GK,Spain,3000000,6000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2020,-3000000,29.0,1.96,right,FRA-Ligue 1,Paris S-G,ESP,GK,26,1993,10,8,810.0,9.0,9.0,1.0,36.0,28.0,75.0,5.0,1.0,2.0,5.0,62.5,0.0,0.0,0.0,0.0,,2021
Edouard Mendy,/edouard-mendy/profil/spieler/442531,28,GK,Senegal,12000000,24000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2020,-12000000,31.0,1.94,right,ENG-Premier League,Chelsea,SEN,GK,28,1992,31,31,2745.0,30.5,25.0,0.82,81.0,56.0,71.6,17.0,7.0,7.0,16.0,51.6,3.0,2.0,1.0,0.0,33.3,2021
Edouard Mendy,/edouard-mendy/profil/spieler/442531,28,GK,Senegal,12000000,24000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2020,-12000000,31.0,1.94,right,FRA-Ligue 1,Rennes,SEN,GK,28,1992,1,1,90.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Jonas Omlin,/jonas-omlin/profil/spieler/247915,26,GK,Switzerland,9000000,6000000,FC Basel 1893,/fc-basel-1893/startseite/verein/26,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2020,3000000,29.0,1.9,right,FRA-Ligue 1,Montpellier,SUI,GK,26,1994,31,31,2673.0,29.7,51.0,1.72,155.0,106.0,74.2,10.0,10.0,11.0,2.0,6.5,11.0,11.0,0.0,0.0,0.0,2021
Paul Bernardoni,/paul-bernardoni/profil/spieler/318507,23,GK,France,2500000,7500000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2020,-5000000,26.0,1.9,left,FRA-Ligue 1,Angers,FRA,GK,23,1997,38,38,3420.0,38.0,58.0,1.53,139.0,82.0,63.3,12.0,8.0,18.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5,2021
Saturnin Allagbé,/saturnin-allagbe/profil/spieler/274958,26,GK,Benin,300000,2000000,Chamois Niortais FC,/chamois-niortais-fc/startseite/verein/1161,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-1700000,29.0,1.87,right,FRA-Ligue 1,Dijon,BEN,GK,26,1993,12,12,1080.0,12.0,30.0,2.5,66.0,36.0,56.1,2.0,2.0,8.0,3.0,25.0,3.0,1.0,1.0,1.0,50.0,2021
Alfred Gomis,/alfred-gomis/profil/spieler/163568,27,GK,Senegal,2200000,10000000,Dijon FCO,/dijon-fco/startseite/verein/2969,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2020,-7800000,29.0,1.96,right,FRA-Ligue 1,Dijon,SEN,GK,26,1993,5,5,450.0,5.0,10.0,2.0,31.0,22.0,77.4,0.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2021
Alfred Gomis,/alfred-gomis/profil/spieler/163568,27,GK,Senegal,2200000,10000000,Dijon FCO,/dijon-fco/startseite/verein/2969,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2020,-7800000,29.0,1.96,right,FRA-Ligue 1,Rennes,SEN,GK,26,1993,22,22,1980.0,22.0,25.0,1.14,76.0,52.0,71.1,7.0,5.0,10.0,5.0,22.7,4.0,3.0,0.0,1.0,0.0,2021
Rúnar Alex Rúnarsson,/runar-alex-runarsson/profil/spieler/205657,25,GK,Iceland,1500000,2000000,Dijon FCO,/dijon-fco/startseite/verein/2969,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2020,-500000,28.0,1.86,right,ENG-Premier League,Arsenal,ISL,GK,25,1995,1,0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2021
