playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,nextSeason
Moussa Konaté,/moussa-konate/profil/spieler/192774,24,CF,Senegal,900000,3500000,FC Sion,/fc-sion/startseite/verein/321,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-2600000,30.0,1.83,right,FRA-Ligue 1,Amiens,SEN,FW,24.0,1993.0,27.5,8.0,6.0,1.0,4.0,3.0,3.0,23.0,13.0,20.0,10.0,2.0,8.0,3.0,11.0,11.0,0.0,2018
Bongani Zungu,/bongani-zungu/profil/spieler/240892,24,CM,South Africa,650000,2000000,Vitória Guimarães SC,/vitoria-guimaraes-sc/startseite/verein/2420,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-1350000,30.0,1.84,right,FRA-Ligue 1,Amiens,RSA,MF,24.0,1992.0,23.2,54.0,37.0,21.0,26.0,7.0,24.0,56.0,42.9,32.0,30.0,5.0,25.0,38.0,92.0,41.0,2.0,2018
Stiven Mendoza,/stiven-mendoza/profil/spieler/131101,25,LW,Colombia,1500000,1000000,Sport Club Corinthians Paulista,/corinthians-sao-paulo/startseite/verein/199,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,500000,31.0,1.72,left,FRA-Ligue 1,Amiens,COL,"FW,MF",25.0,1992.0,11.5,18.0,10.0,7.0,7.0,4.0,2.0,11.0,18.2,9.0,11.0,1.0,10.0,15.0,33.0,8.0,0.0,2018
Lassana Coulibaly,/lassana-coulibaly/profil/spieler/386552,21,CM,Mali,5000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,3000000,27.0,1.83,right,FRA-Ligue 1,Angers,MLI,MF,21.0,1996.0,9.3,26.0,17.0,13.0,10.0,3.0,10.0,35.0,28.6,25.0,15.0,1.0,14.0,8.0,34.0,10.0,0.0,2018
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,20,AM,France,9000000,1400000,Valenciennes FC,/fc-valenciennes/startseite/verein/1423,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,7600000,26.0,1.82,right,FRA-Ligue 1,Angers,FRA,MF,20.0,1996.0,17.0,21.0,11.0,9.0,8.0,4.0,8.0,27.0,29.6,19.0,21.0,2.0,19.0,20.0,41.0,7.0,0.0,2018
Jonathan Cafu,/jonathan-cafu/profil/spieler/347100,26,RW,Brazil,450000,7500000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-7050000,31.0,1.75,right,FRA-Ligue 1,Bordeaux,BRA,"FW,MF",26.0,1991.0,7.0,16.0,9.0,7.0,6.0,3.0,5.0,13.0,38.5,8.0,6.0,1.0,5.0,10.0,26.0,1.0,0.0,2018
Otávio,/otavio/profil/spieler/312314,23,DM,Brazil,6000000,5000000,Atlético Paranaense,/club-athletico-paranaense/startseite/verein/679,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,1000000,29.0,1.73,right,FRA-Ligue 1,Bordeaux,BRA,MF,23.0,1994.0,16.5,64.0,42.0,25.0,37.0,2.0,20.0,61.0,32.8,41.0,26.0,4.0,22.0,32.0,96.0,35.0,0.0,2018
Lukas Lerager,/lukas-lerager/profil/spieler/167105,23,CM,Denmark,3000000,3500000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-500000,29.0,1.88,right,FRA-Ligue 1,Bordeaux,DEN,MF,24.0,1993.0,36.5,107.0,74.0,33.0,61.0,13.0,33.0,107.0,30.8,74.0,44.0,8.0,36.0,67.0,174.0,66.0,1.0,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,ESP-La Liga,Málaga,FRA,DF,29.0,1988.0,13.8,25.0,16.0,21.0,3.0,1.0,10.0,17.0,58.8,7.0,10.0,6.0,4.0,20.0,45.0,84.0,0.0,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,FRA-Ligue 1,Bordeaux,FRA,DF,29.0,1988.0,6.3,4.0,2.0,3.0,1.0,0.0,1.0,5.0,20.0,4.0,4.0,3.0,1.0,7.0,11.0,38.0,1.0,2018
Adam Ounas,/adam-ounas/profil/spieler/400485,20,RW,Algeria,7000000,12000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2017,-5000000,26.0,1.72,left,ITA-Serie A,Napoli,ALG,FW,20.0,1996.0,1.1,4.0,3.0,0.0,2.0,2.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,22,CF,France,1000000,4000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-3000000,28.0,1.83,right,FRA-Ligue 1,Angers,FRA,FW,22.0,1995.0,11.4,13.0,9.0,2.0,6.0,5.0,1.0,5.0,20.0,4.0,4.0,0.0,4.0,2.0,15.0,6.0,0.0,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,22,CF,France,1000000,4000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-3000000,28.0,1.83,right,FRA-Ligue 1,Caen,FRA,FW,22.0,1995.0,8.1,4.0,2.0,2.0,1.0,1.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,2.0,6.0,2.0,0.0,2018
Thomas Touré,/thomas-toure/profil/spieler/187392,23,LW,Cote d'Ivoire,200000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-2800000,29.0,1.75,right,FRA-Ligue 1,Angers,CIV,MF,23.0,1993.0,1.4,2.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,5.0,0.0,5.0,1.0,3.0,0.0,0.0,2018
Thomas Touré,/thomas-toure/profil/spieler/187392,23,LW,Cote d'Ivoire,200000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-2800000,29.0,1.75,right,FRA-Ligue 1,Bordeaux,CIV,FW,23.0,1993.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018
Mauro Arambarri,/mauro-arambarri/profil/spieler/290249,21,CM,Uruguay,9000000,1000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,CA Boston River,/ca-boston-river/startseite/verein/18074,out,2017,8000000,27.0,1.75,right,ESP-La Liga,Getafe,URU,MF,21.0,1995.0,23.6,56.0,41.0,19.0,30.0,7.0,14.0,47.0,29.8,33.0,26.0,3.0,23.0,25.0,81.0,36.0,0.0,2018
Alexander Djiku,/alexander-djiku/profil/spieler/250844,22,CB,Ghana,8000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,SM Caen,/sm-caen/startseite/verein/1162,in,2017,6000000,28.0,1.82,right,FRA-Ligue 1,Caen,GHA,DF,22.0,1994.0,28.0,65.0,43.0,52.0,11.0,2.0,25.0,52.0,48.1,27.0,34.0,5.0,29.0,57.0,122.0,155.0,2.0,2018
Stef Peeters,/stef-peeters/profil/spieler/208542,25,CM,Belgium,900000,1350000,Sint-Truidense VV,/vv-st-truiden/startseite/verein/475,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-450000,31.0,1.88,left,FRA-Ligue 1,Caen,BEL,MF,25.0,1992.0,12.3,22.0,11.0,6.0,14.0,2.0,6.0,31.0,19.4,25.0,17.0,3.0,14.0,7.0,29.0,11.0,0.0,2018
Jan Repas,/jan-repas/profil/spieler/245083,20,CM,Slovenia,700000,1000000,NK Domzale,/nk-domzale/startseite/verein/6248,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-300000,26.0,1.71,right,FRA-Ligue 1,Caen,SVN,"MF,FW",20.0,1997.0,10.0,14.0,11.0,5.0,5.0,4.0,4.0,18.0,22.2,14.0,10.0,0.0,10.0,7.0,21.0,3.0,0.0,2018
Timo Stavitski,/timo-stavitski/profil/spieler/363717,18,RW,Finland,100000,600000,Rovaniemen Palloseura,/rovaniemen-palloseura/startseite/verein/3776,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-500000,23.0,1.8,right,FRA-Ligue 1,Caen,FIN,"MF,FW",18.0,1999.0,4.5,4.0,3.0,1.0,1.0,2.0,1.0,16.0,6.3,15.0,7.0,0.0,7.0,3.0,7.0,1.0,0.0,2018
Benjamin Jeannot,/benjamin-jeannot/profil/spieler/111048,25,CF,France,300000,2000000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1700000,31.0,1.83,right,FRA-Ligue 1,Dijon,FRA,FW,25.0,1992.0,15.6,12.0,7.0,5.0,6.0,1.0,1.0,13.0,7.7,12.0,9.0,3.0,6.0,6.0,18.0,26.0,0.0,2018
Wesley Lautoa,/wesley-lautoa/profil/spieler/154199,29,CB,Neukaledonien,0,1500000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1500000,35.0,1.84,left,FRA-Ligue 1,Dijon,NCL,"DF,MF",29.0,1987.0,6.9,17.0,13.0,11.0,6.0,0.0,6.0,12.0,50.0,6.0,10.0,4.0,6.0,19.0,36.0,24.0,1.0,2018
Marcus Thuram,/marcus-thuram/profil/spieler/318528,19,CF,France,32000000,600000,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,31400000,25.0,1.92,right,FRA-Ligue 1,Guingamp,FRA,FW,19.0,1997.0,21.4,20.0,15.0,6.0,10.0,4.0,6.0,25.0,24.0,19.0,14.0,0.0,14.0,5.0,25.0,12.0,0.0,2018
Pedro Rebocho,/pedro-rebocho/profil/spieler/197860,22,LB,Portugal,700000,550000,SL Benfica,/benfica-lissabon/startseite/verein/294,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,150000,28.0,1.71,left,FRA-Ligue 1,Guingamp,POR,DF,22.0,1995.0,19.1,29.0,22.0,18.0,8.0,3.0,12.0,28.0,42.9,16.0,20.0,6.0,14.0,19.0,48.0,76.0,0.0,2018
Lebogang Phiri,/lebogang-phiri/profil/spieler/253316,22,CM,South Africa,400000,225000,Bröndby IF,/brondby-if/startseite/verein/206,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,175000,28.0,1.73,right,FRA-Ligue 1,Guingamp,RSA,MF,22.0,1994.0,11.5,28.0,17.0,14.0,12.0,2.0,11.0,43.0,25.6,32.0,9.0,2.0,7.0,19.0,47.0,13.0,0.0,2018
Alexandre Mendy,/alexandre-mendy/profil/spieler/290561,23,CF,Guinea-Bissau,2500000,600000,EA Guingamp,/ea-guingamp/startseite/verein/855,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,1900000,29.0,1.84,right,FRA-Ligue 1,Bordeaux,GNB,FW,23.0,1994.0,8.8,4.0,4.0,1.0,2.0,1.0,1.0,6.0,16.7,5.0,5.0,1.0,4.0,1.0,5.0,4.0,0.0,2018
Baissama Sankoh,/baissama-sankoh/profil/spieler/171557,25,DM,Guinea,0,500000,EA Guingamp,/ea-guingamp/startseite/verein/855,SM Caen,/sm-caen/startseite/verein/1162,out,2017,-500000,31.0,1.8,right,FRA-Ligue 1,Caen,GUI,"MF,DF",25.0,1992.0,17.1,27.0,19.0,8.0,18.0,1.0,8.0,28.0,28.6,20.0,20.0,8.0,12.0,25.0,52.0,64.0,1.0,2018
Nicolas Pépé,/nicolas-pepe/profil/spieler/343052,22,RW,Cote d'Ivoire,18000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,0,28.0,1.83,left,FRA-Ligue 1,Lille,CIV,"FW,MF",22.0,1995.0,31.6,30.0,18.0,14.0,11.0,5.0,11.0,42.0,26.2,31.0,23.0,0.0,23.0,10.0,40.0,20.0,0.0,2018
Thiago Maia,/thiago-maia/profil/spieler/294873,20,DM,Brazil,6000000,14000000,Santos FC,/fc-santos/startseite/verein/221,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-8000000,26.0,1.79,left,FRA-Ligue 1,Lille,BRA,"MF,DF",20.0,1997.0,27.4,55.0,40.0,26.0,26.0,3.0,15.0,61.0,24.6,46.0,32.0,10.0,22.0,61.0,116.0,47.0,1.0,2018
Luiz Araújo,/luiz-araujo/profil/spieler/435485,21,RW,Brazil,6000000,10500000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4500000,27.0,1.75,left,FRA-Ligue 1,Lille,BRA,"FW,MF",21.0,1996.0,22.4,41.0,31.0,23.0,17.0,1.0,10.0,47.0,21.3,37.0,24.0,0.0,24.0,16.0,57.0,11.0,1.0,2018
Thiago Mendes,/thiago-mendes/profil/spieler/135617,25,DM,Brazil,5000000,9000000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,31.0,1.77,right,FRA-Ligue 1,Lille,BRA,MF,25.0,1992.0,25.5,25.0,16.0,10.0,11.0,4.0,5.0,23.0,21.7,18.0,21.0,3.0,18.0,25.0,50.0,29.0,0.0,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Dijon,POR,MF,22.0,1994.0,15.5,25.0,14.0,10.0,11.0,4.0,10.0,38.0,26.3,28.0,13.0,2.0,11.0,16.0,41.0,21.0,0.0,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Lille,POR,MF,22.0,1994.0,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,21.5,34.0,27.0,10.0,15.0,9.0,9.0,33.0,27.3,24.0,25.0,4.0,21.0,21.0,55.0,12.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,3.2,3.0,3.0,0.0,1.0,2.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,21.5,34.0,27.0,10.0,15.0,9.0,9.0,33.0,27.3,24.0,25.0,4.0,21.0,21.0,55.0,12.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,3.2,3.0,3.0,0.0,1.0,2.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,2018
Edgar Ié,/edgar-ie/profil/spieler/191987,23,CB,Guinea-Bissau,2400000,3500000,CF Os Belenenses,/cf-os-belenenses/startseite/verein/68608,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-1100000,29.0,1.82,right,FRA-Ligue 1,Lille,GNB,DF,23.0,1994.0,35.0,74.0,42.0,55.0,18.0,1.0,31.0,69.0,44.9,38.0,57.0,26.0,31.0,84.0,158.0,135.0,3.0,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,24,LW,Tunisia,4500000,2000000,Red Star FC,/red-star-fc/startseite/verein/1154,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,TUN,"FW,MF",25.0,1992.0,25.4,47.0,32.0,20.0,17.0,10.0,20.0,52.0,38.5,32.0,22.0,2.0,20.0,13.0,60.0,7.0,0.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,14.8,25.0,13.0,4.0,19.0,2.0,9.0,32.0,28.1,23.0,22.0,6.0,16.0,23.0,48.0,13.0,1.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,1.1,2.0,1.0,1.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,14.8,25.0,13.0,4.0,19.0,2.0,9.0,32.0,28.1,23.0,22.0,6.0,16.0,23.0,48.0,13.0,1.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,1.1,2.0,1.0,1.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,2018
Sébastien Corchia,/sebastien-corchia/profil/spieler/102744,26,RB,France,1000000,5000000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2017,-4000000,32.0,1.76,right,ESP-La Liga,Sevilla,FRA,DF,26.0,1990.0,9.1,18.0,13.0,7.0,8.0,3.0,9.0,16.0,56.3,7.0,18.0,4.0,14.0,16.0,34.0,20.0,0.0,2018
Baptiste Guillaume,/baptiste-guillaume/profil/spieler/264567,22,CF,Belgium,1200000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-800000,28.0,1.89,right,FRA-Ligue 1,Angers,BEL,"FW,MF",22.0,1995.0,5.1,4.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0,5.0,4.0,1.0,3.0,2.0,6.0,1.0,0.0,2018
Martin Terrier,/martin-terrier/profil/spieler/442891,20,LW,France,30000000,11000000,LOSC Lille,/losc-lille/startseite/verein/1082,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,19000000,26.0,1.84,right,FRA-Ligue 1,Strasbourg,FRA,"FW,MF",20.0,1997.0,18.6,42.0,30.0,16.0,23.0,3.0,9.0,28.0,32.1,19.0,11.0,1.0,10.0,14.0,56.0,6.0,0.0,2018
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,21,RW,Burkina Faso,12000000,10000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,2000000,27.0,1.81,left,FRA-Ligue 1,Lyon,BFA,FW,21.0,1995.0,25.4,32.0,20.0,7.0,20.0,5.0,10.0,35.0,28.6,25.0,24.0,3.0,21.0,39.0,71.0,31.0,1.0,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,ESP-La Liga,Real Madrid,BRA,DF,29.0,1988.0,25.1,53.0,37.0,19.0,23.0,11.0,22.0,58.0,37.9,36.0,26.0,2.0,24.0,30.0,83.0,23.0,2.0,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,FRA-Ligue 1,Lyon,BRA,DF,30.0,1987.0,34.5,27.0,25.0,16.0,10.0,1.0,9.0,25.0,36.0,16.0,32.0,18.0,14.0,57.0,84.0,235.0,4.0,2018
Ferland Mendy,/ferland-mendy/profil/spieler/291417,22,LB,France,25000000,5000000,Le Havre AC,/ac-le-havre/startseite/verein/738,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,20000000,28.0,1.8,left,FRA-Ligue 1,Lyon,FRA,DF,22.0,1995.0,23.6,45.0,28.0,29.0,13.0,3.0,20.0,31.0,64.5,11.0,18.0,5.0,13.0,25.0,70.0,43.0,0.0,2018
Kenny Tete,/kenny-tete/profil/spieler/206746,21,RB,Netherlands,15000000,4000000,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,11000000,27.0,1.8,right,FRA-Ligue 1,Lyon,NED,DF,21.0,1995.0,17.9,37.0,25.0,24.0,10.0,3.0,15.0,26.0,57.7,11.0,20.0,7.0,13.0,29.0,66.0,52.0,0.0,2018
Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720,26,CF,France,14000000,53000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2017,-39000000,32.0,1.75,right,ENG-Premier League,Arsenal,FRA,FW,26.0,1991.0,24.5,24.0,17.0,6.0,11.0,7.0,4.0,27.0,14.8,23.0,19.0,3.0,16.0,7.0,31.0,5.0,0.0,2018
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,22,CM,France,14000000,41500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2017,-27500000,28.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,MF,22.0,1994.0,17.5,33.0,22.0,8.0,18.0,7.0,14.0,32.0,43.8,18.0,13.0,3.0,10.0,16.0,49.0,8.0,0.0,2018
Maxime Gonalons,/maxime-gonalons/profil/spieler/60542,28,DM,France,900000,5000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,AS Roma,/as-rom/startseite/verein/12,out,2017,-4100000,34.0,1.87,right,ITA-Serie A,Roma,FRA,MF,28.0,1989.0,12.2,26.0,18.0,7.0,12.0,7.0,9.0,23.0,39.1,14.0,15.0,4.0,11.0,23.0,49.0,19.0,1.0,2018
Florian Thauvin,/florian-thauvin/profil/spieler/184892,24,RW,France,3500000,11000000,Newcastle United,/newcastle-united/startseite/verein/762,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-7500000,30.0,1.81,left,FRA-Ligue 1,Marseille,FRA,FW,24.0,1993.0,32.8,44.0,28.0,16.0,20.0,8.0,15.0,46.0,32.6,31.0,22.0,1.0,21.0,17.0,61.0,20.0,0.0,2018
Luiz Gustavo,/luiz-gustavo/profil/spieler/10471,29,DM,Brazil,800000,10000000,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-9200000,35.0,1.87,left,FRA-Ligue 1,Marseille,BRA,"MF,DF",30.0,1987.0,33.5,89.0,54.0,45.0,40.0,4.0,26.0,62.0,41.9,36.0,44.0,13.0,31.0,50.0,139.0,56.0,1.0,2018
Clinton N'Jie,/clinton-njie/profil/spieler/241119,23,RW,Cameroon,1200000,7000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-5800000,29.0,1.75,right,FRA-Ligue 1,Marseille,CMR,FW,23.0,1993.0,9.7,10.0,6.0,2.0,5.0,3.0,2.0,9.0,22.2,7.0,5.0,0.0,5.0,3.0,13.0,0.0,0.0,2018
Adil Rami,/adil-rami/profil/spieler/51118,31,CB,France,250000,6000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-5750000,37.0,1.91,right,FRA-Ligue 1,Marseille,FRA,DF,31.0,1985.0,32.8,39.0,29.0,22.0,15.0,2.0,22.0,41.0,53.7,19.0,25.0,19.0,6.0,45.0,84.0,163.0,3.0,2018
Steve Mandanda,/steve-mandanda/profil/spieler/23951,32,GK,France,1000000,3000000,Crystal Palace,/crystal-palace/startseite/verein/873,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-2000000,38.0,1.87,right,FRA-Ligue 1,Marseille,FRA,GK,32.0,1985.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2018
Karim Rekik,/karim-rekik/profil/spieler/182579,22,CB,Netherlands,4000000,2500000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Hertha BSC,/hertha-bsc/startseite/verein/44,out,2017,1500000,28.0,1.86,left,GER-Bundesliga,Hertha BSC,NED,DF,22.0,1994.0,25.6,38.0,29.0,32.0,6.0,0.0,24.0,26.0,92.3,2.0,27.0,11.0,16.0,28.0,66.0,116.0,2.0,2018
Emmanuel Rivière,/emmanuel-riviere/profil/spieler/61637,27,CF,Martinique,0,1100000,Newcastle United,/newcastle-united/startseite/verein/762,FC Metz,/fc-metz/startseite/verein/347,in,2017,-1100000,33.0,1.82,right,FRA-Ligue 1,Metz,FRA,FW,27.0,1990.0,22.3,10.0,3.0,1.0,6.0,3.0,1.0,12.0,8.3,11.0,8.0,0.0,8.0,2.0,12.0,5.0,0.0,2018
