playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,nextSeason
Eddy Sylvestre,/eddy-sylvestre/profil/spieler/629566,21,CM,France,500000,110000,OGC Nice,/ogc-nizza/startseite/verein/417,Standard Liège,/standard-luttich/startseite/verein/3057,out,2020,390000,23.0,1.73,left,FRA-Ligue 1,Nice,FRA,"FW,MF",20.0,1999.0,1.1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2021
Valon Berisha,/valon-berisha/profil/spieler/145115,27,CM,Kosovo,1800000,4500000,SS Lazio,/lazio-rom/startseite/verein/398,Stade Reims,/stade-reims/startseite/verein/1421,in,2020,-2700000,30.0,1.76,right,FRA-Ligue 1,Reims,KVX,MF,27.0,1993.0,18.3,40.0,23.0,19.0,17.0,4.0,11.0,47.0,23.4,36.0,14.0,2.0,12.0,25.0,65.0,21.0,1.0,2021
Anastasios Donis,/anastasios-donis/profil/spieler/243606,23,RW,Greece,750000,4000000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,Stade Reims,/stade-reims/startseite/verein/1421,in,2020,-3250000,26.0,1.78,right,FRA-Ligue 1,Reims,GRE,MF,23.0,1996.0,1.1,4.0,1.0,2.0,0.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2021
Fraser Hornby,/fraser-hornby/profil/spieler/388160,20,CF,Scotland,1000000,2000000,Everton FC U23,/fc-everton-u23/startseite/verein/9261,Stade Reims,/stade-reims/startseite/verein/1421,in,2020,-1000000,23.0,1.95,left,FRA-Ligue 1,Reims,SCO,"FW,MF",20.0,1999.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2021
Thibault De Smet,/thibault-de-smet/profil/spieler/340177,22,LB,Belgium,3000000,700000,Sint-Truidense VV,/vv-st-truiden/startseite/verein/475,Stade Reims,/stade-reims/startseite/verein/1421,in,2020,2300000,25.0,1.83,left,FRA-Ligue 1,Reims,BEL,DF,22.0,1998.0,5.5,11.0,6.0,8.0,3.0,0.0,6.0,15.0,40.0,9.0,8.0,1.0,7.0,6.0,17.0,16.0,0.0,2021
Hassane Kamara,/hassane-kamara/profil/spieler/290017,26,LB,Cote d'Ivoire,8000000,4000000,Stade Reims,/stade-reims/startseite/verein/1421,OGC Nice,/ogc-nizza/startseite/verein/417,out,2020,4000000,29.0,1.7,left,FRA-Ligue 1,Nice,CIV,"DF,FW",26.0,1994.0,32.9,65.0,39.0,40.0,16.0,9.0,27.0,49.0,55.1,22.0,39.0,12.0,27.0,55.0,120.0,61.0,1.0,2021
Lucas Paquetá,/lucas-paqueta/profil/spieler/444523,23,AM,Brazil,45000000,23440000,AC Milan,/ac-mailand/startseite/verein/5,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2020,21560000,25.0,1.8,left,FRA-Ligue 1,Lyon,BRA,MF,22.0,1997.0,25.3,70.0,36.0,30.0,28.0,12.0,23.0,66.0,34.8,43.0,28.0,3.0,25.0,20.0,90.0,16.0,1.0,2021
Karl Toko Ekambi,/karl-toko-ekambi/profil/spieler/315110,27,LW,Cameroon,8000000,11500000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2020,-3500000,30.0,1.82,right,FRA-Ligue 1,Lyon,CMR,FW,27.0,1992.0,31.2,16.0,10.0,5.0,3.0,8.0,8.0,32.0,25.0,24.0,20.0,1.0,19.0,26.0,42.0,8.0,0.0,2021
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,25,RW,Burkina Faso,12000000,18400000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Aston Villa,/aston-villa/startseite/verein/405,out,2020,-6400000,27.0,1.81,left,ENG-Premier League,Aston Villa,BFA,FW,24.0,1995.0,25.7,26.0,10.0,8.0,10.0,8.0,10.0,34.0,29.4,24.0,23.0,1.0,22.0,15.0,41.0,14.0,1.0,2021
Martin Terrier,/martin-terrier/profil/spieler/442891,23,LW,France,30000000,12000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2020,18000000,26.0,1.84,right,FRA-Ligue 1,Rennes,FRA,"FW,MF",23.0,1997.0,27.1,33.0,15.0,5.0,15.0,13.0,10.0,36.0,27.8,26.0,23.0,0.0,23.0,16.0,49.0,7.0,0.0,2021
Amine Gouiri,/amine-gouiri/profil/spieler/418659,20,CF,France,35000000,7000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,OGC Nice,/ogc-nizza/startseite/verein/417,out,2020,28000000,23.0,1.81,right,FRA-Ligue 1,Nice,FRA,"FW,MF",20.0,2000.0,30.5,31.0,18.0,7.0,16.0,8.0,10.0,41.0,24.4,31.0,22.0,6.0,16.0,17.0,48.0,23.0,0.0,2021
Kenny Tete,/kenny-tete/profil/spieler/206746,24,RB,Netherlands,15000000,3200000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Fulham FC,/fc-fulham/startseite/verein/931,out,2020,11800000,27.0,1.8,right,ENG-Premier League,Fulham,NED,"DF,MF",24.0,1995.0,16.5,48.0,30.0,27.0,16.0,5.0,10.0,18.0,55.6,8.0,14.0,5.0,9.0,27.0,75.0,49.0,0.0,2021
Kenny Tete,/kenny-tete/profil/spieler/206746,24,RB,Netherlands,15000000,3200000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Fulham FC,/fc-fulham/startseite/verein/931,out,2020,11800000,27.0,1.8,right,FRA-Ligue 1,Lyon,NED,DF,24.0,1995.0,0.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2021
Stephy Mavididi,/stephy-mavididi/profil/spieler/340328,22,LW,England,6000000,6300000,Juventus U23,/juventus-turin-u23/startseite/verein/41101,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2020,-300000,25.0,1.82,right,FRA-Ligue 1,Montpellier,ENG,"FW,MF",22.0,1998.0,22.6,18.0,5.0,7.0,10.0,1.0,8.0,23.0,34.8,15.0,12.0,0.0,12.0,14.0,32.0,6.0,0.0,2021
Jonas Omlin,/jonas-omlin/profil/spieler/247915,26,GK,Switzerland,9000000,6000000,FC Basel 1893,/fc-basel-1893/startseite/verein/26,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2020,3000000,29.0,1.9,right,FRA-Ligue 1,Montpellier,SUI,GK,26.0,1994.0,29.7,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,2021
Kenny Lala,/kenny-lala/profil/spieler/174196,29,RB,France,1500000,500000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,Olympiacos Piraeus,/olympiakos-piraus/startseite/verein/683,out,2020,1000000,31.0,1.78,right,FRA-Ligue 1,Strasbourg,FRA,DF,28.0,1991.0,20.4,22.0,13.0,13.0,8.0,1.0,11.0,22.0,50.0,11.0,12.0,6.0,6.0,23.0,45.0,33.0,1.0,2021
Krépin Diatta,/krepin-diatta/profil/spieler/490426,21,RW,Senegal,15000000,16700000,Club Brugge KV,/fc-brugge/startseite/verein/2282,AS Monaco,/as-monaco/startseite/verein/162,in,2020,-1700000,24.0,1.75,right,FRA-Ligue 1,Monaco,SEN,"MF,DF",21.0,1999.0,4.3,4.0,3.0,1.0,1.0,2.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,4.0,8.0,1.0,0.0,2021
