league,season,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,url,nextSeason
ENG-Premier League,2017,Tottenham,25,25.8,38,3420,90,100,38.0,418,,,108,0,157,2.03,74,36,38,1.0,64.7,33.9,30.8,0.81,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,2018
ENG-Premier League,2017,Watford,29,27.9,38,3420,90,100,38.0,418,,,111,0,155,1.08,44,64,-20,-0.53,45.0,51.8,-6.8,-0.18,/en/squads/2abfe087/2017-2018/Watford-Stats,2018
ENG-Premier League,2017,West Brom,24,29.1,38,3420,90,100,38.0,418,,,108,0,157,0.82,31,56,-25,-0.66,36.5,47.9,-11.4,-0.3,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats,2018
ENG-Premier League,2017,West Ham,27,28.0,38,3420,90,100,38.0,418,,,97,0,167,1.11,48,68,-20,-0.53,36.7,55.1,-18.4,-0.48,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats,2018
ENG-Premier League,2018,Arsenal,28,26.7,38,3420,90,100,38.0,418,83.0,,113,26,153,1.84,73,51,22,0.58,60.1,54.2,5.9,0.15,/en/squads/18bb7c10/2018-2019/Arsenal-Stats,2019
ENG-Premier League,2018,Bournemouth,28,26.6,38,3420,90,100,38.0,418,86.0,,104,17,162,1.18,56,70,-14,-0.37,53.3,57.2,-3.9,-0.1,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,2019
ENG-Premier League,2018,Brighton,21,27.4,38,3420,90,100,38.0,418,84.0,,99,22,167,0.95,35,60,-25,-0.66,35.3,59.1,-23.8,-0.63,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,2019
ENG-Premier League,2018,Burnley,23,28.0,38,3420,90,100,38.0,418,86.0,,86,18,180,1.05,45,68,-23,-0.61,44.4,62.1,-17.7,-0.47,/en/squads/943e8050/2018-2019/Burnley-Stats,2019
ENG-Premier League,2018,Cardiff City,25,27.7,38,3420,90,100,38.0,418,85.0,,109,18,157,0.89,34,69,-35,-0.92,42.4,61.5,-19.1,-0.5,/en/squads/75fae011/2018-2019/Cardiff-City-Stats,2019
ENG-Premier League,2018,Chelsea,24,27.3,38,3420,90,100,38.0,418,85.0,,113,20,153,1.89,63,39,24,0.63,58.6,36.4,22.2,0.58,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,2019
ENG-Premier League,2018,Crystal Palace,26,27.4,38,3420,90,100,38.0,418,87.0,,92,14,174,1.29,51,53,-2,-0.05,47.6,50.1,-2.5,-0.07,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,2019
ENG-Premier League,2018,Everton,23,25.7,38,3420,90,100,38.0,418,85.0,,111,16,155,1.42,54,46,8,0.21,49.7,45.7,4.0,0.1,/en/squads/d3fd31cc/2018-2019/Everton-Stats,2019
ENG-Premier League,2018,Fulham,28,26.0,38,3420,90,100,38.0,418,84.0,,108,22,158,0.68,34,81,-47,-1.24,41.3,68.2,-26.8,-0.71,/en/squads/fd962109/2018-2019/Fulham-Stats,2019
ENG-Premier League,2018,Huddersfield,31,26.2,38,3420,90,100,38.0,418,84.0,,107,22,159,0.42,22,76,-54,-1.42,28.8,60.9,-32.2,-0.85,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,2019
