league,season,team,players_used,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,url,nextSeason
ESP-La Liga,2021,Alavés,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,/en/squads/8d6fd021/2021-2022/Alaves-Stats,2022
ESP-La Liga,2021,Athletic Club,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,2022
ESP-La Liga,2021,Atlético Madrid,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,2022
ESP-La Liga,2021,Barcelona,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,/en/squads/206d90db/2021-2022/Barcelona-Stats,2022
ESP-La Liga,2021,Betis,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,/en/squads/fc536746/2021-2022/Real-Betis-Stats,2022
ESP-La Liga,2021,Celta Vigo,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats,2022
ESP-La Liga,2021,Cádiz,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,/en/squads/ee7c297c/2021-2022/Cadiz-Stats,2022
ESP-La Liga,2021,Elche,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,/en/squads/6c8b07df/2021-2022/Elche-Stats,2022
ESP-La Liga,2021,Espanyol,34,38.0,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287,/en/squads/a8661628/2021-2022/Espanyol-Stats,2022
ESP-La Liga,2021,Getafe,31,38.0,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299,/en/squads/7848bd64/2021-2022/Getafe-Stats,2022
ESP-La Liga,2021,Granada,32,38.0,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295,/en/squads/a0435291/2021-2022/Granada-Stats,2022
ESP-La Liga,2021,Levante,31,38.0,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311,/en/squads/9800b6a1/2021-2022/Levante-Stats,2022
ESP-La Liga,2021,Mallorca,33,38.0,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311,/en/squads/2aa12281/2021-2022/Mallorca-Stats,2022
ESP-La Liga,2021,Osasuna,29,38.0,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309,/en/squads/03c57e2b/2021-2022/Osasuna-Stats,2022
ESP-La Liga,2021,Rayo Vallecano,28,38.0,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats,2022
ESP-La Liga,2021,Real Madrid,31,38.0,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats,2022
ESP-La Liga,2021,Real Sociedad,32,38.0,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats,2022
ESP-La Liga,2021,Sevilla,33,38.0,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305,/en/squads/ad2be733/2021-2022/Sevilla-Stats,2022
ESP-La Liga,2021,Valencia,34,38.0,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289,/en/squads/dcc91a7b/2021-2022/Valencia-Stats,2022
ESP-La Liga,2021,Villarreal,29,38.0,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396,/en/squads/2a8183b3/2021-2022/Villarreal-Stats,2022
ESP-La Liga,2022,Almería,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,/en/squads/78ecf4bb/Almeria-Stats,2023
ESP-La Liga,2022,Athletic Club,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,/en/squads/2b390eca/Athletic-Club-Stats,2023
ESP-La Liga,2022,Atlético Madrid,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,/en/squads/db3b9613/Atletico-Madrid-Stats,2023
ESP-La Liga,2022,Barcelona,29,38.0,24725,22828,1799,565,133,205,744,710,244,82,83,2,21293,98,340,/en/squads/206d90db/Barcelona-Stats,2023
ESP-La Liga,2022,Betis,30,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,/en/squads/fc536746/Real-Betis-Stats,2023
ESP-La Liga,2022,Celta Vigo,26,38.0,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,/en/squads/f25da7fb/Celta-Vigo-Stats,2023
ESP-La Liga,2022,Cádiz,38,38.0,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,/en/squads/ee7c297c/Cadiz-Stats,2023
ESP-La Liga,2022,Elche,32,38.0,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,/en/squads/6c8b07df/Elche-Stats,2023
ESP-La Liga,2022,Espanyol,33,38.0,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,/en/squads/a8661628/Espanyol-Stats,2023
ESP-La Liga,2022,Getafe,25,38.0,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,/en/squads/7848bd64/Getafe-Stats,2023
ESP-La Liga,2022,Girona,29,38.0,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,/en/squads/9024a00a/Girona-Stats,2023
ESP-La Liga,2022,Mallorca,31,38.0,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,/en/squads/2aa12281/Mallorca-Stats,2023
ESP-La Liga,2022,Osasuna,26,38.0,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,/en/squads/03c57e2b/Osasuna-Stats,2023
ESP-La Liga,2022,Rayo Vallecano,28,38.0,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,/en/squads/98e8af82/Rayo-Vallecano-Stats,2023
ESP-La Liga,2022,Real Madrid,26,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,/en/squads/53a2f082/Real-Madrid-Stats,2023
ESP-La Liga,2022,Real Sociedad,30,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,/en/squads/e31d1cd9/Real-Sociedad-Stats,2023
ESP-La Liga,2022,Sevilla,35,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,/en/squads/ad2be733/Sevilla-Stats,2023
ESP-La Liga,2022,Valencia,28,38.0,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,/en/squads/dcc91a7b/Valencia-Stats,2023
ESP-La Liga,2022,Valladolid,36,38.0,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,/en/squads/17859612/Valladolid-Stats,2023
ESP-La Liga,2022,Villarreal,32,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,/en/squads/2a8183b3/Villarreal-Stats,2023
FRA-Ligue 1,2017,Amiens,30,38.0,15624,13590,1965,535,40,110,590,837,140,50,67,0,11213,69,346,/en/squads/25622401/2017-2018/Amiens-Stats,2018
FRA-Ligue 1,2017,Angers,27,38.0,17004,14902,2043,502,57,106,653,976,169,97,50,0,12795,59,381,/en/squads/69236f98/2017-2018/Angers-Stats,2018
FRA-Ligue 1,2017,Bordeaux,31,38.0,18593,16547,1970,518,61,186,736,882,179,94,54,0,14603,76,392,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,2018
FRA-Ligue 1,2017,Caen,26,38.0,16218,14169,1973,483,22,213,971,908,202,78,106,6,11621,76,381,/en/squads/74229020/2017-2018/Caen-Stats,2018
FRA-Ligue 1,2017,Dijon,26,38.0,17343,15289,1981,540,59,190,567,857,153,61,47,3,13255,73,326,/en/squads/8dfb7350/2017-2018/Dijon-Stats,2018
FRA-Ligue 1,2017,Guingamp,23,38.0,17950,15798,2052,592,25,174,727,867,190,85,76,6,13835,100,355,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,2018
FRA-Ligue 1,2017,Lille,25,38.0,20060,18073,1900,496,61,137,614,805,171,69,74,1,16258,87,377,/en/squads/cb188c0c/2017-2018/Lille-Stats,2018
FRA-Ligue 1,2017,Lyon,26,38.0,20965,19005,1880,540,74,119,572,816,182,102,60,0,17480,80,357,/en/squads/d53c0b06/2017-2018/Lyon-Stats,2018
FRA-Ligue 1,2017,Marseille,26,38.0,21066,19057,1931,521,116,159,864,834,243,109,83,4,17221,78,337,/en/squads/5725cc7b/2017-2018/Marseille-Stats,2018
FRA-Ligue 1,2017,Metz,36,38.0,16957,14872,2029,540,18,258,701,884,173,68,86,1,12673,56,385,/en/squads/f83960ae/2017-2018/Metz-Stats,2018
FRA-Ligue 1,2017,Monaco,32,38.0,18393,16296,2024,584,68,151,764,839,195,82,67,2,14444,73,337,/en/squads/fd6114db/2017-2018/Monaco-Stats,2018
FRA-Ligue 1,2017,Montpellier,23,38.0,17725,15597,2045,578,47,228,849,943,185,42,122,0,13612,83,394,/en/squads/281b0e73/2017-2018/Montpellier-Stats,2018
FRA-Ligue 1,2017,Nantes,30,38.0,16263,14232,1946,425,24,143,789,926,175,49,111,1,11823,85,365,/en/squads/d7a486cd/2017-2018/Nantes-Stats,2018
FRA-Ligue 1,2017,Nice,31,38.0,23523,21602,1858,570,40,278,572,672,203,71,115,1,20210,63,348,/en/squads/132ebc33/2017-2018/Nice-Stats,2018
FRA-Ligue 1,2017,Paris S-G,28,38.0,26436,24471,1872,553,216,228,682,736,254,80,55,6,23215,93,380,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,2018
FRA-Ligue 1,2017,Rennes,28,38.0,17996,15811,2096,588,52,215,766,916,217,95,86,2,13834,89,345,/en/squads/b3072e00/2017-2018/Rennes-Stats,2018
FRA-Ligue 1,2017,Saint-Étienne,30,38.0,19124,16922,2112,532,37,145,657,990,182,69,70,4,15064,90,412,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,2018
FRA-Ligue 1,2017,Strasbourg,25,38.0,16942,14846,2020,498,63,207,776,909,183,78,94,1,12776,76,353,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,2018
FRA-Ligue 1,2017,Toulouse,25,38.0,15755,13527,2153,622,28,126,822,932,177,97,62,4,11368,75,404,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,2018
FRA-Ligue 1,2017,Troyes,25,38.0,16326,14215,2048,519,38,139,689,910,165,75,49,2,12006,63,390,/en/squads/54195385/2017-2018/Troyes-Stats,2018
FRA-Ligue 1,2018,Amiens,26,38.0,16189,14079,2045,576,30,88,586,916,137,51,66,1,11932,65,324,/en/squads/25622401/2018-2019/Amiens-Stats,2019
FRA-Ligue 1,2018,Angers,24,38.0,16772,14829,1892,510,37,93,628,823,166,84,72,1,12957,51,325,/en/squads/69236f98/2018-2019/Angers-Stats,2019
FRA-Ligue 1,2018,Bordeaux,33,38.0,18571,16552,1959,539,47,154,658,834,168,99,52,2,14526,60,382,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,2019
FRA-Ligue 1,2018,Caen,26,38.0,15516,13480,1986,555,19,209,647,895,126,47,65,1,11472,50,311,/en/squads/74229020/2018-2019/Caen-Stats,2019
FRA-Ligue 1,2018,Dijon,26,38.0,17019,15043,1917,487,33,171,606,828,167,70,63,2,13027,59,327,/en/squads/8dfb7350/2018-2019/Dijon-Stats,2019
FRA-Ligue 1,2018,Guingamp,30,38.0,15728,13649,2025,505,15,140,809,916,194,111,57,4,11355,54,348,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,2019
FRA-Ligue 1,2018,Lille,25,38.0,18325,16325,1961,579,76,118,575,872,164,57,90,2,14521,39,329,/en/squads/cb188c0c/2018-2019/Lille-Stats,2019
FRA-Ligue 1,2018,Lyon,25,38.0,22585,20651,1840,482,92,136,684,767,227,113,62,4,19007,94,351,/en/squads/d53c0b06/2018-2019/Lyon-Stats,2019
FRA-Ligue 1,2018,Marseille,24,38.0,19944,17923,1975,516,69,127,827,897,225,97,92,3,15952,46,334,/en/squads/5725cc7b/2018-2019/Marseille-Stats,2019
FRA-Ligue 1,2018,Monaco,42,38.0,18035,15923,2057,570,50,153,748,916,195,90,73,1,14098,55,371,/en/squads/fd6114db/2018-2019/Monaco-Stats,2019
FRA-Ligue 1,2018,Montpellier,25,38.0,17733,15701,1974,525,23,208,749,908,171,70,82,1,13573,58,373,/en/squads/281b0e73/2018-2019/Montpellier-Stats,2019
FRA-Ligue 1,2018,Nantes,33,38.0,17765,15636,2052,540,26,151,725,931,182,89,61,1,13321,77,381,/en/squads/d7a486cd/2018-2019/Nantes-Stats,2019
FRA-Ligue 1,2018,Nice,30,38.0,21274,19383,1851,590,30,173,495,692,172,61,83,1,18039,40,312,/en/squads/132ebc33/2018-2019/Nice-Stats,2019
FRA-Ligue 1,2018,Nîmes,23,38.0,15574,13382,2152,555,33,145,736,1009,202,78,105,7,11364,40,343,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats,2019
FRA-Ligue 1,2018,Paris S-G,30,38.0,25100,23350,1658,469,186,151,588,633,237,112,42,11,21887,92,300,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats,2019
FRA-Ligue 1,2018,Reims,27,38.0,15680,13708,1893,510,48,178,633,848,164,93,47,6,11567,79,327,/en/squads/7fdd64e0/2018-2019/Reims-Stats,2019
FRA-Ligue 1,2018,Rennes,28,38.0,17863,15889,1913,482,44,179,663,861,191,114,42,2,14148,61,341,/en/squads/b3072e00/2018-2019/Rennes-Stats,2019
FRA-Ligue 1,2018,Saint-Étienne,29,38.0,19106,17039,2007,524,44,178,770,857,224,72,108,4,15061,60,342,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats,2019
FRA-Ligue 1,2018,Strasbourg,26,38.0,18749,16765,1941,458,31,332,719,898,157,71,59,2,14722,43,381,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats,2019
FRA-Ligue 1,2018,Toulouse,29,38.0,16989,14931,1989,531,43,110,629,822,158,61,79,4,12893,69,333,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats,2019
FRA-Ligue 1,2019,Amiens,27,28.0,12850,11356,1457,350,28,91,463,669,108,53,28,0,9685,37,229,/en/squads/25622401/2019-2020/Amiens-Stats,2020
FRA-Ligue 1,2019,Angers,26,28.0,13458,12001,1429,351,15,97,550,649,146,48,85,2,10518,28,232,/en/squads/69236f98/2019-2020/Angers-Stats,2020
FRA-Ligue 1,2019,Bordeaux,26,28.0,15092,13672,1380,389,35,93,425,546,137,83,42,0,12252,40,204,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,2020
FRA-Ligue 1,2019,Brest,24,28.0,14206,12692,1479,332,32,146,520,722,117,63,28,1,11054,35,245,/en/squads/fb08dbb3/2019-2020/Brest-Stats,2020
FRA-Ligue 1,2019,Dijon,28,28.0,13029,11560,1437,380,30,90,451,622,121,43,57,3,10073,32,213,/en/squads/8dfb7350/2019-2020/Dijon-Stats,2020
FRA-Ligue 1,2019,Lille,25,28.0,14278,12765,1453,387,47,113,528,657,154,61,70,1,11263,60,259,/en/squads/cb188c0c/2019-2020/Lille-Stats,2020
FRA-Ligue 1,2019,Lyon,27,28.0,15983,14622,1335,353,39,114,495,604,129,68,27,1,13273,26,218,/en/squads/d53c0b06/2019-2020/Lyon-Stats,2020
FRA-Ligue 1,2019,Marseille,23,28.0,14767,13347,1397,381,37,132,499,648,151,49,73,1,11918,23,200,/en/squads/5725cc7b/2019-2020/Marseille-Stats,2020
FRA-Ligue 1,2019,Metz,24,28.0,12493,11124,1338,366,15,80,447,572,119,53,46,1,9568,31,203,/en/squads/f83960ae/2019-2020/Metz-Stats,2020
FRA-Ligue 1,2019,Monaco,28,28.0,14506,13101,1361,404,52,104,510,541,132,44,67,1,11667,44,235,/en/squads/fd6114db/2019-2020/Monaco-Stats,2020
FRA-Ligue 1,2019,Montpellier,27,28.0,12825,11351,1432,418,19,147,614,592,130,66,51,4,9713,42,257,/en/squads/281b0e73/2019-2020/Montpellier-Stats,2020
FRA-Ligue 1,2019,Nantes,29,28.0,13673,12190,1439,383,17,102,464,649,150,68,57,3,10578,44,233,/en/squads/d7a486cd/2019-2020/Nantes-Stats,2020
FRA-Ligue 1,2019,Nice,31,28.0,15644,14277,1345,401,24,120,395,519,131,51,51,3,13394,22,192,/en/squads/132ebc33/2019-2020/Nice-Stats,2020
FRA-Ligue 1,2019,Nîmes,28,28.0,11253,9597,1617,455,8,116,544,733,143,54,70,8,8100,39,225,/en/squads/1cbf5f9e/2019-2020/Nimes-Stats,2020
FRA-Ligue 1,2019,Paris S-G,31,27.0,19009,17723,1229,317,89,113,520,514,181,90,39,4,16726,57,185,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,2020
FRA-Ligue 1,2019,Reims,26,28.0,13260,11748,1467,412,30,130,539,653,143,31,86,4,10325,45,220,/en/squads/7fdd64e0/2019-2020/Reims-Stats,2020
FRA-Ligue 1,2019,Rennes,26,28.0,13199,11752,1407,403,24,120,478,629,124,64,47,1,10388,40,208,/en/squads/b3072e00/2019-2020/Rennes-Stats,2020
FRA-Ligue 1,2019,Saint-Étienne,31,28.0,13149,11633,1473,375,24,119,563,678,140,87,36,2,10048,43,227,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats,2020
FRA-Ligue 1,2019,Strasbourg,25,27.0,12842,11488,1321,342,23,215,579,592,129,46,60,0,10044,33,205,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats,2020
FRA-Ligue 1,2019,Toulouse,30,28.0,12290,10842,1418,341,15,60,534,582,123,43,72,0,9333,30,214,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats,2020
FRA-Ligue 1,2020,Angers,31,38.0,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355,/en/squads/69236f98/2020-2021/Angers-Stats,2021
FRA-Ligue 1,2020,Bordeaux,28,38.0,19490,17533,1908,534,16,146,609,814,174,81,58,0,15862,49,318,/en/squads/123f3efe/2020-2021/Bordeaux-Stats,2021
FRA-Ligue 1,2020,Brest,26,38.0,19407,17412,1936,489,19,147,720,859,181,98,40,0,15437,59,298,/en/squads/fb08dbb3/2020-2021/Brest-Stats,2021
FRA-Ligue 1,2020,Dijon,33,38.0,17901,15908,1939,502,17,113,569,832,146,68,71,0,13949,54,314,/en/squads/8dfb7350/2020-2021/Dijon-Stats,2021
FRA-Ligue 1,2020,Lens,27,38.0,18957,17084,1824,491,18,200,760,781,194,85,81,0,15078,49,332,/en/squads/fd4e0f7d/2020-2021/Lens-Stats,2021
FRA-Ligue 1,2020,Lille,21,38.0,21892,20037,1791,466,31,173,637,841,184,87,84,5,17886,64,316,/en/squads/cb188c0c/2020-2021/Lille-Stats,2021
FRA-Ligue 1,2020,Lorient,27,38.0,17085,15172,1867,480,21,110,606,800,176,62,89,1,13171,46,287,/en/squads/d2c87802/2020-2021/Lorient-Stats,2021
FRA-Ligue 1,2020,Lyon,29,38.0,21396,19477,1856,479,36,135,710,814,232,54,88,2,17685,63,319,/en/squads/d53c0b06/2020-2021/Lyon-Stats,2021
FRA-Ligue 1,2020,Marseille,31,38.0,20532,18515,1965,572,17,182,647,840,174,95,66,2,16481,52,344,/en/squads/5725cc7b/2020-2021/Marseille-Stats,2021
FRA-Ligue 1,2020,Metz,27,38.0,16956,15135,1771,495,26,163,659,712,161,54,64,4,13167,50,292,/en/squads/f83960ae/2020-2021/Metz-Stats,2021
FRA-Ligue 1,2020,Monaco,30,38.0,21991,20044,1877,513,32,174,746,823,218,96,92,3,17738,70,300,/en/squads/fd6114db/2020-2021/Monaco-Stats,2021
FRA-Ligue 1,2020,Montpellier,25,38.0,16620,14667,1905,477,12,194,807,817,184,68,95,4,12720,48,308,/en/squads/281b0e73/2020-2021/Montpellier-Stats,2021
FRA-Ligue 1,2020,Nantes,25,38.0,16543,14546,1943,569,19,114,678,846,178,106,65,1,12329,54,305,/en/squads/d7a486cd/2020-2021/Nantes-Stats,2021
FRA-Ligue 1,2020,Nice,31,38.0,21589,19731,1818,500,16,169,599,759,168,91,45,0,18110,40,309,/en/squads/132ebc33/2020-2021/Nice-Stats,2021
FRA-Ligue 1,2020,Nîmes,33,38.0,16714,14592,2072,594,13,167,617,902,161,68,68,5,12696,50,291,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats,2021
FRA-Ligue 1,2020,Paris S-G,33,38.0,26137,24439,1633,456,55,106,695,666,218,104,44,3,22941,65,265,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats,2021
FRA-Ligue 1,2020,Reims,29,38.0,17170,15309,1800,454,11,155,539,758,145,68,64,0,13535,61,229,/en/squads/7fdd64e0/2020-2021/Reims-Stats,2021
FRA-Ligue 1,2020,Rennes,32,38.0,23914,22015,1865,527,22,186,764,804,198,90,91,0,20011,34,305,/en/squads/b3072e00/2020-2021/Rennes-Stats,2021
FRA-Ligue 1,2020,Saint-Étienne,40,38.0,17667,15587,2031,523,12,174,779,949,191,82,83,3,13610,49,338,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats,2021
FRA-Ligue 1,2020,Strasbourg,26,38.0,17175,15254,1882,451,8,265,713,873,165,73,72,0,13120,39,338,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats,2021
FRA-Ligue 1,2021,Angers,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292,/en/squads/69236f98/2021-2022/Angers-Stats,2022
FRA-Ligue 1,2021,Bordeaux,39,38.0,17385,15441,1886,464,52,176,611,815,150,80,47,1,13552,58,315,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,2022
FRA-Ligue 1,2021,Brest,25,38.0,16506,14535,1924,484,20,156,710,846,171,95,56,0,12684,47,288,/en/squads/fb08dbb3/2021-2022/Brest-Stats,2022
FRA-Ligue 1,2021,Clermont Foot,28,38.0,19560,17599,1908,526,28,156,713,828,179,76,60,1,15713,53,332,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,2022
FRA-Ligue 1,2021,Lens,28,38.0,20178,18428,1692,388,51,172,699,718,213,70,106,0,16573,58,295,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,2022
FRA-Ligue 1,2021,Lille,26,38.0,18926,16958,1879,471,47,186,621,828,201,79,90,0,15086,89,354,/en/squads/cb188c0c/2021-2022/Lille-Stats,2022
FRA-Ligue 1,2021,Lorient,29,38.0,16818,14950,1813,441,40,163,588,803,162,63,55,2,13156,55,291,/en/squads/d2c87802/2021-2022/Lorient-Stats,2022
FRA-Ligue 1,2021,Lyon,30,38.0,23388,21522,1804,491,95,139,571,782,188,85,60,2,19787,62,313,/en/squads/d53c0b06/2021-2022/Lyon-Stats,2022
FRA-Ligue 1,2021,Marseille,27,38.0,24524,22709,1755,538,57,176,619,692,217,100,81,0,21253,60,306,/en/squads/5725cc7b/2021-2022/Marseille-Stats,2022
FRA-Ligue 1,2021,Metz,36,38.0,15688,13854,1786,476,34,137,581,729,142,43,76,0,12069,48,299,/en/squads/f83960ae/2021-2022/Metz-Stats,2022
FRA-Ligue 1,2021,Monaco,27,38.0,20559,18632,1833,448,77,150,705,805,220,99,78,0,16300,94,331,/en/squads/fd6114db/2021-2022/Monaco-Stats,2022
FRA-Ligue 1,2021,Montpellier,26,38.0,17804,15757,1994,484,36,155,697,868,178,62,74,2,13951,53,313,/en/squads/281b0e73/2021-2022/Montpellier-Stats,2022
FRA-Ligue 1,2021,Nantes,26,38.0,16481,14568,1858,422,20,140,731,864,198,75,97,1,12580,55,280,/en/squads/d7a486cd/2021-2022/Nantes-Stats,2022
FRA-Ligue 1,2021,Nice,27,38.0,19832,18037,1742,440,37,101,742,766,196,94,75,1,16159,53,305,/en/squads/132ebc33/2021-2022/Nice-Stats,2022
FRA-Ligue 1,2021,Paris S-G,36,38.0,26660,24940,1627,488,94,170,459,623,201,80,34,2,23831,93,278,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,2022
FRA-Ligue 1,2021,Reims,35,38.0,15811,13914,1821,498,14,181,629,780,166,63,77,1,12097,76,315,/en/squads/7fdd64e0/2021-2022/Reims-Stats,2022
FRA-Ligue 1,2021,Rennes,28,38.0,21263,19478,1726,436,41,199,698,766,222,61,132,0,17605,59,308,/en/squads/b3072e00/2021-2022/Rennes-Stats,2022
FRA-Ligue 1,2021,Saint-Étienne,39,38.0,17876,15857,1968,520,39,214,697,868,178,82,65,3,13880,51,329,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,2022
FRA-Ligue 1,2021,Strasbourg,26,38.0,18653,16798,1794,449,47,212,797,807,180,37,121,2,14576,61,296,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,2022
FRA-Ligue 1,2021,Troyes,35,38.0,16828,14916,1859,534,26,163,708,750,161,113,35,0,13093,53,313,/en/squads/54195385/2021-2022/Troyes-Stats,2022
FRA-Ligue 1,2022,Ajaccio,36,38.0,15286,13368,1855,562,39,57,631,795,126,42,65,0,11216,63,349,/en/squads/7a54bb4f/Ajaccio-Stats,2023
FRA-Ligue 1,2022,Angers,33,38.0,17463,15689,1727,483,40,92,584,705,164,98,42,0,14103,47,294,/en/squads/69236f98/Angers-Stats,2023
FRA-Ligue 1,2022,Auxerre,33,38.0,15989,14213,1728,491,31,210,617,712,135,56,57,0,12386,48,305,/en/squads/5ae09109/Auxerre-Stats,2023
FRA-Ligue 1,2022,Brest,29,38.0,16452,14545,1848,525,30,162,755,754,178,82,81,2,12486,59,339,/en/squads/fb08dbb3/Brest-Stats,2023
FRA-Ligue 1,2022,Clermont Foot,28,38.0,17961,16060,1849,642,31,105,564,658,155,73,48,4,14212,52,373,/en/squads/d9676424/Clermont-Foot-Stats,2023
FRA-Ligue 1,2022,Lens,29,38.0,21203,19476,1665,556,53,111,791,623,204,80,87,1,17809,62,311,/en/squads/fd4e0f7d/Lens-Stats,2023
FRA-Ligue 1,2022,Lille,26,38.0,22826,20992,1770,555,56,124,624,718,217,81,76,1,19266,64,398,/en/squads/cb188c0c/Lille-Stats,2023
FRA-Ligue 1,2022,Lorient,30,38.0,18087,16255,1783,540,48,55,434,658,145,60,52,2,14837,49,334,/en/squads/d2c87802/Lorient-Stats,2023
FRA-Ligue 1,2022,Lyon,29,38.0,22698,20857,1784,521,65,101,649,758,184,71,68,0,18956,57,395,/en/squads/d53c0b06/Lyon-Stats,2023
FRA-Ligue 1,2022,Marseille,30,38.0,20689,18914,1707,448,72,149,751,723,209,107,50,0,16817,68,359,/en/squads/5725cc7b/Marseille-Stats,2023
FRA-Ligue 1,2022,Monaco,27,38.0,18378,16574,1720,457,46,137,661,730,166,80,72,1,14414,84,356,/en/squads/fd6114db/Monaco-Stats,2023
FRA-Ligue 1,2022,Montpellier,31,38.0,16221,14249,1901,555,38,123,673,749,195,85,87,2,12420,71,319,/en/squads/281b0e73/Montpellier-Stats,2023
FRA-Ligue 1,2022,Nantes,29,38.0,17169,15386,1729,462,17,121,820,725,196,77,89,0,13283,54,313,/en/squads/d7a486cd/Nantes-Stats,2023
FRA-Ligue 1,2022,Nice,34,38.0,20784,19059,1674,442,53,93,690,656,193,88,60,0,17325,51,368,/en/squads/132ebc33/Nice-Stats,2023
FRA-Ligue 1,2022,Paris S-G,26,38.0,26476,24872,1527,458,149,109,399,537,204,74,61,0,23694,77,368,/en/squads/e2d8892c/Paris-Saint-Germain-Stats,2023
