league,season,team,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url,nextSeason
ESP-La Liga,2021,Villarreal,29,56.8,38.0,24258,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,78519,42169,790,483,240,570,332,16415,1683,/en/squads/2a8183b3/2021-2022/Villarreal-Stats,2022
ESP-La Liga,2022,Almería,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080,/en/squads/78ecf4bb/Almeria-Stats,2023
ESP-La Liga,2022,Athletic Club,26,51.6,38.0,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801,/en/squads/2b390eca/Athletic-Club-Stats,2023
ESP-La Liga,2022,Atlético Madrid,27,50.6,38.0,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67404,35788,730,473,200,486,277,16705,1557,/en/squads/db3b9613/Atletico-Madrid-Stats,2023
ESP-La Liga,2022,Barcelona,29,64.3,38.0,28406,2019,6756,13998,7881,1152,28404,801,396,49.4,321,40.1,18798,101309,55608,963,784,279,546,325,21132,2166,/en/squads/206d90db/Barcelona-Stats,2023
ESP-La Liga,2022,Betis,30,50.6,38.0,22480,2329,7273,10221,5227,718,22471,770,365,47.4,311,40.4,12640,63649,31063,620,492,156,564,353,14567,1259,/en/squads/fc536746/Real-Betis-Stats,2023
ESP-La Liga,2022,Celta Vigo,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393,/en/squads/f25da7fb/Celta-Vigo-Stats,2023
ESP-La Liga,2022,Cádiz,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960,/en/squads/ee7c297c/Cadiz-Stats,2023
ESP-La Liga,2022,Elche,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185,/en/squads/6c8b07df/Elche-Stats,2023
ESP-La Liga,2022,Espanyol,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135,/en/squads/a8661628/Espanyol-Stats,2023
ESP-La Liga,2022,Getafe,25,39.9,38.0,17947,1980,5769,8366,3992,589,17939,456,217,47.6,189,41.4,8694,41812,20506,365,292,78,504,268,9604,989,/en/squads/7848bd64/Getafe-Stats,2023
ESP-La Liga,2022,Girona,29,51.3,38.0,22397,2619,7918,9753,4932,761,22388,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364,/en/squads/9024a00a/Girona-Stats,2023
ESP-La Liga,2022,Mallorca,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935,/en/squads/2aa12281/Mallorca-Stats,2023
ESP-La Liga,2022,Osasuna,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58263,28888,545,416,128,590,316,12580,1338,/en/squads/03c57e2b/Osasuna-Stats,2023
ESP-La Liga,2022,Rayo Vallecano,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377,/en/squads/98e8af82/Rayo-Vallecano-Stats,2023
ESP-La Liga,2022,Real Madrid,26,60.9,38.0,28884,2415,7781,12859,8464,1151,28872,971,475,48.9,379,39.0,19025,100381,53186,1008,735,338,490,297,21956,2000,/en/squads/53a2f082/Real-Madrid-Stats,2023
ESP-La Liga,2022,Real Sociedad,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463,/en/squads/e31d1cd9/Real-Sociedad-Stats,2023
ESP-La Liga,2022,Sevilla,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13542,67133,32550,558,520,122,515,312,15242,1497,/en/squads/ad2be733/Sevilla-Stats,2023
ESP-La Liga,2022,Valencia,28,52.0,38.0,21621,2061,6446,9155,6255,822,21613,747,352,47.1,307,41.1,12239,69490,37661,786,630,166,555,338,13469,1457,/en/squads/dcc91a7b/Valencia-Stats,2023
ESP-La Liga,2022,Valladolid,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233,/en/squads/17859612/Valladolid-Stats,2023
ESP-La Liga,2022,Villarreal,32,56.9,38.0,23815,2621,7659,10213,6179,911,23808,871,435,49.9,345,39.6,14391,81455,45472,846,570,239,552,343,16363,1617,/en/squads/2a8183b3/Villarreal-Stats,2023
FRA-Ligue 1,2017,Amiens,30,43.3,38.0,20018,2439,6991,9639,3654,466,20014,610,397,65.1,213,34.9,9683,51732,26943,547,391,96,618,503,11130,1166,/en/squads/25622401/2017-2018/Amiens-Stats,2018
FRA-Ligue 1,2017,Angers,27,45.1,38.0,21050,1782,6337,10116,4834,617,21046,607,379,62.4,227,37.4,12273,64643,33954,699,576,133,542,490,12704,1415,/en/squads/69236f98/2017-2018/Angers-Stats,2018
FRA-Ligue 1,2017,Bordeaux,31,50.6,38.0,22726,1934,6596,11172,5229,698,22720,766,459,59.9,306,39.9,13614,77645,41801,875,641,180,605,426,14458,1479,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,2018
FRA-Ligue 1,2017,Caen,26,45.5,38.0,20574,1955,6173,9973,4670,519,20566,469,306,65.2,163,34.8,8601,58298,29429,598,429,70,634,463,11493,1521,/en/squads/74229020/2017-2018/Caen-Stats,2018
FRA-Ligue 1,2017,Dijon,26,48.4,38.0,21535,2428,7256,10204,4355,596,21530,624,441,70.7,183,29.3,12293,69377,37697,659,507,121,571,444,13134,1311,/en/squads/8dfb7350/2017-2018/Dijon-Stats,2018
FRA-Ligue 1,2017,Guingamp,23,49.7,38.0,21955,2047,6472,10576,5151,655,21948,618,400,64.7,218,35.3,11195,63291,32949,763,480,162,581,441,13726,1507,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,2018
FRA-Ligue 1,2017,Lille,25,53.8,38.0,24106,2127,7536,11843,5036,590,24104,823,576,70.0,247,30.0,13671,81470,43767,831,652,155,642,552,16131,1562,/en/squads/cb188c0c/2017-2018/Lille-Stats,2018
FRA-Ligue 1,2017,Lyon,26,55.6,38.0,25260,2055,6689,13383,5498,809,25253,865,560,64.7,305,35.3,16147,89572,48974,949,730,228,649,499,17387,1659,/en/squads/d53c0b06/2017-2018/Lyon-Stats,2018
FRA-Ligue 1,2017,Marseille,26,57.8,38.0,25443,1958,6985,12861,5929,869,25435,786,534,67.9,252,32.1,16887,87315,45809,947,738,201,548,461,17137,1576,/en/squads/5725cc7b/2017-2018/Marseille-Stats,2018
FRA-Ligue 1,2017,Metz,36,45.5,38.0,21038,1991,6573,10038,4684,569,21034,623,356,57.1,267,42.9,11876,58611,28287,589,465,111,583,313,12563,1502,/en/squads/f83960ae/2017-2018/Metz-Stats,2018
FRA-Ligue 1,2017,Monaco,32,50.9,38.0,22769,1938,6057,11653,5301,725,22762,639,351,54.9,289,45.2,12709,67945,38000,735,535,145,592,385,14344,1723,/en/squads/fd6114db/2017-2018/Monaco-Stats,2018
FRA-Ligue 1,2017,Montpellier,23,47.0,38.0,21927,1885,6284,10753,5161,619,21925,623,382,61.3,241,38.7,10798,65719,35037,749,580,138,571,392,13508,1558,/en/squads/281b0e73/2017-2018/Montpellier-Stats,2018
FRA-Ligue 1,2017,Nantes,30,43.7,38.0,20754,2223,6529,9260,5182,624,20749,542,343,63.3,198,36.5,10454,53153,27871,559,484,96,602,459,11702,1387,/en/squads/d7a486cd/2017-2018/Nantes-Stats,2018
FRA-Ligue 1,2017,Nice,31,58.1,38.0,27199,2242,8464,14058,4905,689,27190,747,504,67.5,243,32.5,14431,79816,46037,841,544,209,506,428,20102,1617,/en/squads/132ebc33/2017-2018/Nice-Stats,2018
FRA-Ligue 1,2017,Paris S-G,28,66.3,38.0,30058,1874,6979,16329,7012,1152,30049,938,638,68.0,299,31.9,19365,105764,58666,1044,783,267,499,433,23093,2053,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,2018
FRA-Ligue 1,2017,Rennes,28,49.9,38.0,22282,1780,6011,11258,5245,591,22274,592,352,59.5,239,40.4,11279,60795,31842,619,493,123,636,417,13736,1494,/en/squads/b3072e00/2017-2018/Rennes-Stats,2018
FRA-Ligue 1,2017,Saint-Étienne,30,51.3,38.0,23221,2380,7484,11156,4803,629,23210,584,371,63.5,212,36.3,11918,64790,35403,732,458,142,496,489,14957,1539,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,2018
FRA-Ligue 1,2017,Strasbourg,25,49.1,38.0,21120,2068,6908,9914,4565,628,21113,634,380,59.9,253,39.9,11625,64793,34272,658,514,103,612,397,12676,1277,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,2018
FRA-Ligue 1,2017,Toulouse,25,45.7,38.0,19949,2014,6033,9255,4919,645,19938,682,392,57.5,290,42.5,10978,60752,32174,667,451,130,582,402,11258,1455,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,2018
FRA-Ligue 1,2017,Troyes,25,42.6,38.0,20604,2283,7268,8954,4605,533,20601,568,311,54.8,257,45.2,10688,60803,31385,564,413,108,558,393,11937,1325,/en/squads/54195385/2017-2018/Troyes-Stats,2018
FRA-Ligue 1,2018,Amiens,26,46.5,38.0,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,518,388,85,645,402,11837,1256,/en/squads/25622401/2018-2019/Amiens-Stats,2019
FRA-Ligue 1,2018,Angers,24,43.3,38.0,21132,1925,6496,10339,4543,649,21122,561,316,56.3,245,43.7,10395,59303,31790,700,537,134,611,446,12834,1304,/en/squads/69236f98/2018-2019/Angers-Stats,2019
FRA-Ligue 1,2018,Bordeaux,33,50.1,38.0,22991,2210,7383,11299,4566,556,22985,657,345,52.5,312,47.5,12741,69799,37229,742,532,140,606,427,14411,1364,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,2019
FRA-Ligue 1,2018,Caen,26,44.0,38.0,20025,2201,6881,9794,3563,450,20021,535,268,50.1,267,49.9,9667,53957,26317,500,405,66,656,412,11381,1008,/en/squads/74229020/2018-2019/Caen-Stats,2019
FRA-Ligue 1,2018,Dijon,26,47.9,38.0,21354,2162,6625,10126,4857,598,21350,602,350,58.1,252,41.9,11125,67253,35482,677,515,115,603,383,12929,1328,/en/squads/8dfb7350/2018-2019/Dijon-Stats,2019
FRA-Ligue 1,2018,Guingamp,30,44.1,38.0,19990,1856,5712,9693,4825,680,19984,573,354,61.8,219,38.2,9165,59010,29292,645,489,139,605,475,11242,1377,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,2019
FRA-Ligue 1,2018,Lille,25,51.4,38.0,22423,1942,6276,11493,4899,672,22410,632,365,57.8,267,42.2,12898,73225,39974,757,648,172,550,461,14412,1448,/en/squads/cb188c0c/2018-2019/Lille-Stats,2019
FRA-Ligue 1,2018,Lyon,25,60.4,38.0,26905,1993,6483,14139,6516,1008,26895,764,463,60.6,301,39.4,17306,95052,52811,977,708,255,601,454,18891,2073,/en/squads/d53c0b06/2018-2019/Lyon-Stats,2019
FRA-Ligue 1,2018,Marseille,24,55.2,38.0,24294,1972,6839,12198,5526,787,24289,655,355,54.2,299,45.6,14818,78072,41164,809,639,159,570,366,15837,1461,/en/squads/5725cc7b/2018-2019/Marseille-Stats,2019
FRA-Ligue 1,2018,Monaco,42,49.8,38.0,22263,1881,6325,10873,5284,694,22258,574,292,50.9,282,49.1,12649,70228,39454,773,547,134,640,350,14006,1612,/en/squads/fd6114db/2018-2019/Monaco-Stats,2019
FRA-Ligue 1,2018,Montpellier,25,48.0,38.0,22177,2056,6793,10466,5110,659,22174,563,303,53.8,260,46.2,10848,60471,30342,601,426,127,600,387,13466,1485,/en/squads/281b0e73/2018-2019/Montpellier-Stats,2019
FRA-Ligue 1,2018,Nantes,33,50.1,38.0,22164,2063,6408,10385,5599,691,22156,507,280,55.2,227,44.8,11768,58910,31689,656,509,131,645,396,13223,1464,/en/squads/d7a486cd/2018-2019/Nantes-Stats,2019
FRA-Ligue 1,2018,Nice,30,54.8,38.0,25818,2474,8543,12993,4533,667,25809,927,506,54.6,421,45.4,13450,70876,39675,740,517,242,653,409,17947,1523,/en/squads/132ebc33/2018-2019/Nice-Stats,2019
FRA-Ligue 1,2018,Nîmes,23,45.7,38.0,20197,1847,6344,9054,5034,663,20191,681,362,53.2,319,46.8,10101,58854,31970,717,482,185,645,405,11265,1216,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats,2019
FRA-Ligue 1,2018,Paris S-G,30,63.7,38.0,28901,1840,6504,15314,7323,1110,28888,748,453,60.6,293,39.2,17807,95583,54256,993,746,253,501,454,21754,2190,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats,2019
FRA-Ligue 1,2018,Reims,27,43.6,38.0,20060,2151,7361,8846,4127,608,20058,588,319,54.3,269,45.7,10123,61064,32182,593,398,123,603,338,11495,1253,/en/squads/7fdd64e0/2018-2019/Reims-Stats,2019
FRA-Ligue 1,2018,Rennes,28,50.6,38.0,22207,1905,6565,10831,5086,673,22197,768,390,50.8,378,49.2,12496,73573,39806,884,602,180,611,373,14057,1514,/en/squads/b3072e00/2018-2019/Rennes-Stats,2019
FRA-Ligue 1,2018,Saint-Étienne,29,52.5,38.0,23367,2117,7531,10997,5066,769,23362,569,314,55.2,255,44.8,11618,64033,34375,753,492,177,518,407,14974,1530,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats,2019
FRA-Ligue 1,2018,Strasbourg,26,50.1,38.0,22722,2144,7076,10905,4953,565,22716,515,286,55.5,229,44.5,13141,68647,37582,683,549,109,591,399,14623,1449,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats,2019
FRA-Ligue 1,2018,Toulouse,29,48.2,38.0,21560,2377,6780,10135,4892,662,21549,695,366,52.7,328,47.2,11336,63368,34445,684,513,159,696,447,12795,1446,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats,2019
FRA-Ligue 1,2019,Amiens,27,45.6,28.0,15949,1587,4731,8179,3192,350,15944,409,244,59.7,165,40.3,7853,42492,21131,384,299,82,543,358,9610,999,/en/squads/25622401/2019-2020/Amiens-Stats,2020
FRA-Ligue 1,2019,Angers,26,45.3,28.0,16445,1346,5096,7662,3853,511,16444,479,291,60.8,187,39.0,7730,42925,23294,542,385,127,455,344,10448,1080,/en/squads/69236f98/2019-2020/Angers-Stats,2020
FRA-Ligue 1,2019,Bordeaux,26,53.6,28.0,18253,1724,5742,9723,2955,385,18251,507,273,53.8,233,46.0,10991,52483,26706,441,350,101,457,285,12191,989,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,2020
FRA-Ligue 1,2019,Brest,24,49.8,28.0,17263,2041,6000,7885,3546,470,17258,364,209,57.4,155,42.6,9330,48143,25023,415,307,66,464,283,10983,1133,/en/squads/fb08dbb3/2019-2020/Brest-Stats,2020
FRA-Ligue 1,2019,Dijon,28,46.5,28.0,16323,1848,5938,7538,3047,489,16322,543,312,57.5,231,42.5,8571,49178,25530,513,372,112,469,303,10015,897,/en/squads/8dfb7350/2019-2020/Dijon-Stats,2020
FRA-Ligue 1,2019,Lille,25,52.9,28.0,17279,1255,4060,9261,4127,551,17271,522,307,58.8,215,41.2,9397,52108,27799,544,429,136,442,300,11171,1066,/en/squads/cb188c0c/2019-2020/Lille-Stats,2020
FRA-Ligue 1,2019,Lyon,27,56.2,28.0,19207,1629,5456,9834,4080,558,19201,578,341,59.0,237,41.0,11551,60851,32940,563,442,142,484,293,13191,1196,/en/squads/d53c0b06/2019-2020/Lyon-Stats,2020
FRA-Ligue 1,2019,Marseille,23,53.5,28.0,18065,1485,5084,8972,4199,516,18059,510,316,62.0,194,38.0,11047,59654,31913,639,468,139,441,298,11831,1099,/en/squads/5725cc7b/2019-2020/Marseille-Stats,2020
FRA-Ligue 1,2019,Metz,24,45.3,28.0,15860,1638,5207,7745,3123,368,15856,561,337,60.1,224,39.9,7743,50513,25532,578,463,105,461,302,9502,840,/en/squads/f83960ae/2019-2020/Metz-Stats,2020
FRA-Ligue 1,2019,Monaco,28,50.9,28.0,17559,1547,4862,8731,4142,656,17555,500,308,61.6,192,38.4,10067,56025,31702,646,416,155,401,259,11605,1295,/en/squads/fd6114db/2019-2020/Monaco-Stats,2020
FRA-Ligue 1,2019,Montpellier,27,47.6,28.0,15917,1628,5080,7394,3597,463,15912,449,218,48.6,231,51.4,7983,43243,23427,425,297,79,461,192,9652,1096,/en/squads/281b0e73/2019-2020/Montpellier-Stats,2020
FRA-Ligue 1,2019,Nantes,29,48.0,28.0,16839,1459,5037,8268,3742,477,16837,561,322,57.4,238,42.4,9108,51561,26102,548,434,136,474,305,10514,1028,/en/squads/d7a486cd/2019-2020/Nantes-Stats,2020
FRA-Ligue 1,2019,Nice,31,54.6,28.0,18875,1893,6345,9323,3417,458,18870,626,364,58.1,262,41.9,10225,55202,31327,499,394,139,479,281,13324,1255,/en/squads/132ebc33/2019-2020/Nice-Stats,2020
FRA-Ligue 1,2019,Nîmes,28,45.0,28.0,14493,1345,4519,6626,3515,486,14491,469,233,49.7,236,50.3,7068,39938,21216,421,295,91,465,250,8049,953,/en/squads/1cbf5f9e/2019-2020/Nimes-Stats,2020
FRA-Ligue 1,2019,Paris S-G,31,65.2,27.0,21903,1328,4729,12011,5325,855,21895,675,406,60.1,268,39.7,13031,67065,37548,711,568,194,410,233,16642,1669,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,2020
FRA-Ligue 1,2019,Reims,26,48.9,28.0,16410,1640,6000,7221,3385,488,16405,519,301,58.0,218,42.0,8780,53250,29387,597,375,114,459,231,10261,1035,/en/squads/7fdd64e0/2019-2020/Reims-Stats,2020
FRA-Ligue 1,2019,Rennes,26,49.6,28.0,16431,1665,5490,7998,3138,456,16426,488,261,53.5,227,46.5,9926,53981,28245,557,389,107,435,263,10319,929,/en/squads/b3072e00/2019-2020/Rennes-Stats,2020
FRA-Ligue 1,2019,Saint-Étienne,31,48.2,28.0,16336,1527,5344,7827,3335,434,16331,485,289,59.6,196,40.4,8001,50278,27056,515,352,96,476,296,9974,969,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats,2020
FRA-Ligue 1,2019,Strasbourg,25,49.6,27.0,15640,1461,4811,7586,3427,469,15636,426,257,60.3,169,39.7,9288,49549,26561,492,388,80,440,255,9971,973,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats,2020
FRA-Ligue 1,2019,Toulouse,30,44.2,28.0,15562,1755,5101,7114,3522,492,15556,471,287,60.9,184,39.1,8756,48343,26213,556,379,96,475,293,9271,945,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats,2020
FRA-Ligue 1,2020,Angers,31,46.4,38.0,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418,/en/squads/69236f98/2020-2021/Angers-Stats,2021
FRA-Ligue 1,2020,Bordeaux,28,49.8,38.0,23564,2361,7808,11547,4454,603,23560,679,391,57.6,287,42.3,13778,70213,34273,644,459,156,614,396,15747,1291,/en/squads/123f3efe/2020-2021/Bordeaux-Stats,2021
FRA-Ligue 1,2020,Brest,26,49.3,38.0,23400,2617,8252,10194,5202,723,23396,613,383,62.5,230,37.5,13831,71207,37159,685,479,132,561,285,15317,1421,/en/squads/fb08dbb3/2020-2021/Brest-Stats,2021
FRA-Ligue 1,2020,Dijon,33,46.2,38.0,21991,2520,8132,10172,3924,497,21986,673,385,57.2,288,42.8,12524,61818,30406,528,414,91,654,366,13867,1197,/en/squads/8dfb7350/2020-2021/Dijon-Stats,2021
FRA-Ligue 1,2020,Lens,27,51.1,38.0,23098,2044,6791,11442,5083,678,23086,636,363,57.1,273,42.9,13085,75523,42321,743,499,122,620,348,14953,1553,/en/squads/fd4e0f7d/2020-2021/Lens-Stats,2021
FRA-Ligue 1,2020,Lille,21,53.8,38.0,25941,1898,6831,13326,6020,726,25936,705,408,57.9,297,42.1,15631,76909,39867,713,620,168,622,380,17767,1647,/en/squads/cb188c0c/2020-2021/Lille-Stats,2021
FRA-Ligue 1,2020,Lorient,27,44.6,38.0,21346,1961,7224,10270,4119,511,21336,635,361,56.9,274,43.1,11510,58448,29360,572,440,112,618,349,13048,1158,/en/squads/d2c87802/2020-2021/Lorient-Stats,2021
FRA-Ligue 1,2020,Lyon,29,54.9,38.0,25612,2063,6883,12335,6638,1100,25602,813,479,58.9,334,41.1,15200,75840,41485,805,622,245,633,326,17594,1980,/en/squads/d53c0b06/2020-2021/Lyon-Stats,2021
FRA-Ligue 1,2020,Marseille,31,53.6,38.0,24581,2364,7705,12328,4779,650,24574,582,321,55.2,261,44.8,14356,68585,36113,606,409,140,571,312,16362,1490,/en/squads/5725cc7b/2020-2021/Marseille-Stats,2021
FRA-Ligue 1,2020,Metz,27,45.2,38.0,21372,2166,7340,10088,4182,529,21361,678,381,56.2,297,43.8,12250,68808,34671,744,541,135,695,381,13076,1210,/en/squads/f83960ae/2020-2021/Metz-Stats,2021
FRA-Ligue 1,2020,Monaco,30,55.8,38.0,25954,2018,7190,13087,5926,922,25939,570,308,54.0,262,46.0,14599,75884,40603,757,511,159,608,304,17644,1738,/en/squads/fd6114db/2020-2021/Monaco-Stats,2021
FRA-Ligue 1,2020,Montpellier,25,45.7,38.0,20691,2266,6960,9216,4734,708,20686,587,299,50.9,288,49.1,11189,60028,30977,616,451,131,590,300,12604,1299,/en/squads/281b0e73/2020-2021/Montpellier-Stats,2021
FRA-Ligue 1,2020,Nantes,25,43.9,38.0,20862,1950,6158,10114,4807,668,20853,678,378,55.8,300,44.2,10858,57143,28588,656,456,183,615,368,12249,1342,/en/squads/d7a486cd/2020-2021/Nantes-Stats,2021
FRA-Ligue 1,2020,Nice,31,54.3,38.0,25536,2558,8505,12382,4888,695,25529,741,440,59.4,301,40.6,16018,86587,47287,784,510,168,664,366,18000,1517,/en/squads/132ebc33/2020-2021/Nice-Stats,2021
FRA-Ligue 1,2020,Nîmes,33,44.4,38.0,21040,2456,7793,9153,4316,583,21032,616,320,51.9,296,48.1,11514,58681,30411,520,353,126,645,362,12585,1187,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats,2021
FRA-Ligue 1,2020,Paris S-G,33,63.1,38.0,29991,2001,7025,15634,7568,1066,29978,847,489,57.7,358,42.3,18932,96108,52004,909,784,235,577,348,22801,2063,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats,2021
FRA-Ligue 1,2020,Reims,29,44.9,38.0,21328,2485,8192,9133,4259,579,21322,669,371,55.5,298,44.5,12006,68417,36558,698,463,148,610,277,13431,1240,/en/squads/7fdd64e0/2020-2021/Reims-Stats,2021
FRA-Ligue 1,2020,Rennes,32,59.1,38.0,27736,1884,7185,14192,6569,843,27733,673,406,60.3,265,39.4,16447,80258,41778,741,590,172,610,287,19906,1873,/en/squads/b3072e00/2020-2021/Rennes-Stats,2021
FRA-Ligue 1,2020,Saint-Étienne,40,48.3,38.0,22250,2127,7692,10314,4483,676,22241,802,432,53.9,370,46.1,12175,67924,33886,616,437,130,715,363,13520,1218,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats,2021
FRA-Ligue 1,2020,Strasbourg,26,45.7,38.0,21128,2036,6803,9871,4693,702,21116,508,299,58.9,209,41.1,11460,61363,29759,538,386,93,645,330,13021,1283,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats,2021
FRA-Ligue 1,2021,Angers,30,48.4,38.0,23137,2186,7994,10916,4487,585,23128,839,401,47.8,438,52.2,14880,78280,37894,659,500,152,727,373,15213,1335,/en/squads/69236f98/2021-2022/Angers-Stats,2022
FRA-Ligue 1,2021,Bordeaux,39,47.4,38.0,21609,2364,7619,10032,4195,649,21605,657,355,54.0,302,46.0,13243,71815,35359,609,410,139,676,313,13416,1253,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,2022
FRA-Ligue 1,2021,Brest,25,43.9,38.0,20760,2287,6773,9255,4953,692,20752,640,315,49.2,325,50.8,12273,69969,33743,666,490,155,664,312,12570,1335,/en/squads/fb08dbb3/2021-2022/Brest-Stats,2022
FRA-Ligue 1,2021,Clermont Foot,28,50.0,38.0,23488,2137,8082,10780,4860,676,23485,599,327,54.6,272,45.4,14941,76251,36491,617,419,142,618,410,15584,1352,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,2022
FRA-Ligue 1,2021,Lens,28,50.7,38.0,24163,2058,6639,12383,5399,748,24158,594,345,58.1,250,42.1,15515,88191,47289,763,564,142,617,336,16448,1680,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,2022
FRA-Ligue 1,2021,Lille,26,50.8,38.0,23068,2112,6990,11083,5263,793,23063,620,313,50.5,306,49.4,14302,79012,40425,725,540,183,655,347,14980,1472,/en/squads/cb188c0c/2021-2022/Lille-Stats,2022
FRA-Ligue 1,2021,Lorient,29,44.4,38.0,21037,2054,6869,10009,4373,597,21034,597,307,51.4,290,48.6,12358,64255,31731,569,446,126,644,332,13060,1251,/en/squads/d2c87802/2021-2022/Lorient-Stats,2022
FRA-Ligue 1,2021,Lyon,30,58.4,38.0,27712,2276,7862,13801,6302,913,27704,814,489,60.1,325,39.9,18559,92512,45471,781,625,207,704,408,19671,1739,/en/squads/d53c0b06/2021-2022/Lyon-Stats,2022
FRA-Ligue 1,2021,Marseille,27,61.7,38.0,27998,1932,7517,14192,6507,861,27988,573,307,53.6,266,46.4,19841,101736,52302,762,630,200,569,328,21071,1854,/en/squads/5725cc7b/2021-2022/Marseille-Stats,2022
FRA-Ligue 1,2021,Metz,36,42.9,38.0,20273,2201,7342,9598,3595,412,20272,609,334,54.8,275,45.2,12090,68592,32106,572,464,90,710,364,11964,1004,/en/squads/f83960ae/2021-2022/Metz-Stats,2022
FRA-Ligue 1,2021,Monaco,27,54.1,38.0,24599,2002,6595,12120,6112,936,24590,652,366,56.1,286,43.9,15043,79820,40906,750,546,189,654,321,16188,1855,/en/squads/fd6114db/2021-2022/Monaco-Stats,2022
FRA-Ligue 1,2021,Montpellier,26,48.2,38.0,21921,2665,7961,9658,4518,574,21917,590,316,53.6,274,46.4,13539,71134,35564,604,424,95,648,340,13818,1269,/en/squads/281b0e73/2021-2022/Montpellier-Stats,2022
FRA-Ligue 1,2021,Nantes,26,43.9,38.0,20769,1992,6238,9782,4964,703,20764,676,333,49.3,343,50.7,11889,64267,30486,607,467,173,587,352,12477,1319,/en/squads/d7a486cd/2021-2022/Nantes-Stats,2022
FRA-Ligue 1,2021,Nice,27,51.5,38.0,23930,2031,6830,12258,5096,752,23920,699,387,55.4,310,44.3,15574,85662,42891,732,580,150,635,349,16009,1458,/en/squads/132ebc33/2021-2022/Nice-Stats,2022
FRA-Ligue 1,2021,Paris S-G,36,63.0,38.0,30477,2211,7261,15653,7791,1017,30469,872,490,56.2,381,43.7,21529,108747,56045,877,815,236,554,348,23683,2032,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,2022
